D_TEMPORAL_0;D_TERRITORIO_0;D_ARE_INSCRIPCION_0;D_SEXO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
2016;04;1;00;04;Andaluces;622.0;A
2016;04;1;00;11;Andaluces;5.0;A
2016;04;1;00;14;Andaluces;4.0;A
2016;04;1;00;18;Andaluces;27.0;A
2016;04;1;00;21;Andaluces;1.0;A
2016;04;1;00;23;Andaluces;8.0;A
2016;04;1;00;29;Andaluces;8.0;A
2016;04;1;00;41;Andaluces;6.0;A
2016;04;1;00;C01;Andaluces;681.0;A
2016;04;1;00;C02;Andaluces;128.0;A
2016;04;1;00;66;Andaluces;2417.0;A
2016;04;1;00;NC000;Andaluces;1.0;A
2016;04;1;00;00;Andaluces;3227.0;A
2016;04;1;01;04;Andaluces;343.0;A
2016;04;1;01;11;Andaluces;5.0;A
2016;04;1;01;14;Andaluces;4.0;A
2016;04;1;01;18;Andaluces;15.0;A
2016;04;1;01;21;Andaluces;1.0;A
2016;04;1;01;23;Andaluces;2.0;A
2016;04;1;01;29;Andaluces;5.0;A
2016;04;1;01;41;Andaluces;3.0;A
2016;04;1;01;C01;Andaluces;378.0;A
2016;04;1;01;C02;Andaluces;67.0;A
2016;04;1;01;66;Andaluces;1207.0;A
2016;04;1;01;NC000;Andaluces;1.0;A
2016;04;1;01;00;Andaluces;1653.0;A
2016;04;1;06;04;Andaluces;279.0;A
2016;04;1;06;11;Andaluces;;A
2016;04;1;06;14;Andaluces;;A
2016;04;1;06;18;Andaluces;12.0;A
2016;04;1;06;21;Andaluces;;A
2016;04;1;06;23;Andaluces;6.0;A
2016;04;1;06;29;Andaluces;3.0;A
2016;04;1;06;41;Andaluces;3.0;A
2016;04;1;06;C01;Andaluces;303.0;A
2016;04;1;06;C02;Andaluces;61.0;A
2016;04;1;06;66;Andaluces;1210.0;A
2016;04;1;06;NC000;Andaluces;;A
2016;04;1;06;00;Andaluces;1574.0;A
2016;11;1;00;04;Andaluces;;A
2016;11;1;00;11;Andaluces;1197.0;A
2016;11;1;00;14;Andaluces;13.0;A
2016;11;1;00;18;Andaluces;8.0;A
2016;11;1;00;21;Andaluces;6.0;A
2016;11;1;00;23;Andaluces;5.0;A
2016;11;1;00;29;Andaluces;16.0;A
2016;11;1;00;41;Andaluces;54.0;A
2016;11;1;00;C01;Andaluces;1299.0;A
2016;11;1;00;C02;Andaluces;185.0;A
2016;11;1;00;66;Andaluces;1025.0;A
2016;11;1;00;NC000;Andaluces;;A
2016;11;1;00;00;Andaluces;2509.0;A
2016;11;1;01;04;Andaluces;;A
2016;11;1;01;11;Andaluces;647.0;A
2016;11;1;01;14;Andaluces;6.0;A
2016;11;1;01;18;Andaluces;7.0;A
2016;11;1;01;21;Andaluces;4.0;A
2016;11;1;01;23;Andaluces;3.0;A
2016;11;1;01;29;Andaluces;6.0;A
2016;11;1;01;41;Andaluces;26.0;A
2016;11;1;01;C01;Andaluces;699.0;A
2016;11;1;01;C02;Andaluces;93.0;A
2016;11;1;01;66;Andaluces;493.0;A
2016;11;1;01;NC000;Andaluces;;A
2016;11;1;01;00;Andaluces;1285.0;A
2016;11;1;06;04;Andaluces;;A
2016;11;1;06;11;Andaluces;550.0;A
2016;11;1;06;14;Andaluces;7.0;A
2016;11;1;06;18;Andaluces;1.0;A
2016;11;1;06;21;Andaluces;2.0;A
2016;11;1;06;23;Andaluces;2.0;A
2016;11;1;06;29;Andaluces;10.0;A
2016;11;1;06;41;Andaluces;28.0;A
2016;11;1;06;C01;Andaluces;600.0;A
2016;11;1;06;C02;Andaluces;92.0;A
2016;11;1;06;66;Andaluces;532.0;A
2016;11;1;06;NC000;Andaluces;;A
2016;11;1;06;00;Andaluces;1224.0;A
2016;14;1;00;04;Andaluces;;A
2016;14;1;00;11;Andaluces;6.0;A
2016;14;1;00;14;Andaluces;538.0;A
2016;14;1;00;18;Andaluces;8.0;A
2016;14;1;00;21;Andaluces;;A
2016;14;1;00;23;Andaluces;5.0;A
2016;14;1;00;29;Andaluces;6.0;A
2016;14;1;00;41;Andaluces;10.0;A
2016;14;1;00;C01;Andaluces;573.0;A
2016;14;1;00;C02;Andaluces;69.0;A
2016;14;1;00;66;Andaluces;505.0;A
2016;14;1;00;NC000;Andaluces;;A
2016;14;1;00;00;Andaluces;1147.0;A
2016;14;1;01;04;Andaluces;;A
2016;14;1;01;11;Andaluces;2.0;A
2016;14;1;01;14;Andaluces;286.0;A
2016;14;1;01;18;Andaluces;5.0;A
2016;14;1;01;21;Andaluces;;A
2016;14;1;01;23;Andaluces;3.0;A
2016;14;1;01;29;Andaluces;1.0;A
2016;14;1;01;41;Andaluces;4.0;A
2016;14;1;01;C01;Andaluces;301.0;A
2016;14;1;01;C02;Andaluces;43.0;A
2016;14;1;01;66;Andaluces;253.0;A
2016;14;1;01;NC000;Andaluces;;A
2016;14;1;01;00;Andaluces;597.0;A
2016;14;1;06;04;Andaluces;;A
2016;14;1;06;11;Andaluces;4.0;A
2016;14;1;06;14;Andaluces;252.0;A
2016;14;1;06;18;Andaluces;3.0;A
2016;14;1;06;21;Andaluces;;A
2016;14;1;06;23;Andaluces;2.0;A
2016;14;1;06;29;Andaluces;5.0;A
