D_TEMPORAL_0;D_SEXO_0;D_TERRITORIO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
1998;00;C02;04;Andaluces;1723.2017583;A
1998;00;C02;11;Andaluces;2518.7001171;A
1998;00;C02;14;Andaluces;6857.1663312;A
1998;00;C02;18;Andaluces;4052.2394702;A
1998;00;C02;21;Andaluces;797.9774701;A
1998;00;C02;23;Andaluces;5794.7179179;A
1998;00;C02;29;Andaluces;2548.4090088;A
1998;00;C02;41;Andaluces;3242.877034;A
1998;00;C02;C01;Andaluces;27535.2891076;A
1998;00;C03;04;Andaluces;447.7933811;A
1998;00;C03;11;Andaluces;927.9380051;A
1998;00;C03;14;Andaluces;3215.1018522;A
1998;00;C03;18;Andaluces;1798.2603832;A
1998;00;C03;21;Andaluces;597.9606047;A
1998;00;C03;23;Andaluces;3190.3739123;A
1998;00;C03;29;Andaluces;2090.5342023;A
1998;00;C03;41;Andaluces;1306.6513486;A
1998;00;C03;C01;Andaluces;13574.6136895;A
1998;00;C04;04;Andaluces;3200.5617188;A
1998;00;C04;11;Andaluces;7644.6196366;A
1998;00;C04;14;Andaluces;10369.0607548;A
1998;00;C04;18;Andaluces;24301.6463686;A
1998;00;C04;21;Andaluces;3321.6728705;A
1998;00;C04;23;Andaluces;13407.653096;A
1998;00;C04;29;Andaluces;5631.349954;A
1998;00;C04;41;Andaluces;13586.2802516;A
1998;00;C04;C01;Andaluces;81462.8446509;A
1998;00;C05;04;Andaluces;1360.3995675;A
1998;00;C05;11;Andaluces;8824.6835459;A
1998;00;C05;14;Andaluces;3466.1553251;A
1998;00;C05;18;Andaluces;3733.6830586;A
1998;00;C05;21;Andaluces;1472.7374658;A
1998;00;C05;23;Andaluces;2215.2874571;A
1998;00;C05;29;Andaluces;4340.0466174;A
1998;00;C05;41;Andaluces;6378.9084949;A
1998;00;C05;C01;Andaluces;31791.9015323;A
1998;00;C06;04;Andaluces;151.9990356;A
1998;00;C06;11;Andaluces;1163.0398777;A
1998;00;C06;14;Andaluces;555.0359794;A
1998;00;C06;18;Andaluces;469.0231064;A
1998;00;C06;21;Andaluces;547.9987908;A
1998;00;C06;23;Andaluces;850.0292376;A
1998;00;C06;29;Andaluces;787.9928475;A
1998;00;C06;41;Andaluces;759.0043572;A
1998;00;C06;C01;Andaluces;5284.1232322;A
1998;00;C07;04;Andaluces;1184.2708094;A
1998;00;C07;11;Andaluces;2205.3722992;A
1998;00;C07;14;Andaluces;7582.3152607;A
1998;00;C07;18;Andaluces;3198.9382069;A
1998;00;C07;21;Andaluces;1072.987609;A
1998;00;C07;23;Andaluces;9637.5587369;A
1998;00;C07;29;Andaluces;2141.5258673;A
1998;00;C07;41;Andaluces;3198.5770144;A
1998;00;C07;C01;Andaluces;30221.5458038;A
1998;00;C08;04;Andaluces;878.3788364;A
1998;00;C08;11;Andaluces;2233.1217737;A
1998;00;C08;14;Andaluces;3102.6393004;A
1998;00;C08;18;Andaluces;2513.3659045;A
1998;00;C08;21;Andaluces;1010.0873791;A
1998;00;C08;23;Andaluces;3897.5170053;A
1998;00;C08;29;Andaluces;2060.0624139;A
1998;00;C08;41;Andaluces;2850.2635936;A
1998;00;C08;C01;Andaluces;18545.4362069;A
1998;00;C09;04;Andaluces;91445.2497353;A
1998;00;C09;11;Andaluces;44837.8058016;A
1998;00;C09;14;Andaluces;148116.4998514;A
1998;00;C09;18;Andaluces;159034.592201;A
1998;00;C09;21;Andaluces;29155.2339894;A
1998;00;C09;23;Andaluces;148898.4957986;A
1998;00;C09;29;Andaluces;73890.4178885;A
1998;00;C09;41;Andaluces;104527.7914745;A
1998;00;C09;C01;Andaluces;799906.0867403;A
1998;00;C10;04;Andaluces;16460.1441503;A
1998;00;C10;11;Andaluces;15433.954045;A
1998;00;C10;14;Andaluces;37072.9938973;A
1998;00;C10;18;Andaluces;41271.5692577;A
1998;00;C10;21;Andaluces;4447.1169348;A
1998;00;C10;23;Andaluces;71864.2600248;A
1998;00;C10;29;Andaluces;14243.4789049;A
1998;00;C10;41;Andaluces;21357.3044796;A
1998;00;C10;C01;Andaluces;222150.8216944;A
1998;00;C11;04;Andaluces;433.2077842;A
