D_TEMPORAL_0;D_EDAD_0;D_SEXO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
1998;00;00;04;Andaluces;142391.7153883;A
1998;00;00;11;Andaluces;130082.9919656;A
1998;00;00;14;Andaluces;303442.048069;A
1998;00;00;18;Andaluces;289025.4971601;A
1998;00;00;21;Andaluces;61693.4522259;A
1998;00;00;23;Andaluces;381472.3020892;A
1998;00;00;29;Andaluces;150093.3015534;A
1998;00;00;41;Andaluces;211938.0535596;A
1998;00;00;C01;Andaluces;1670139.3620111;A
1998;00;01;04;Andaluces;65287.6235898;A
1998;00;01;11;Andaluces;63004.2724781;A
1998;00;01;14;Andaluces;145065.805583;A
1998;00;01;18;Andaluces;139398.4322669;A
1998;00;01;21;Andaluces;29149.8669651;A
1998;00;01;23;Andaluces;182231.8159998;A
1998;00;01;29;Andaluces;72360.1473955;A
1998;00;01;41;Andaluces;102548.4060918;A
1998;00;01;C01;Andaluces;799046.37037;A
1998;00;06;04;Andaluces;77104.0917985;A
1998;00;06;11;Andaluces;67078.7194875;A
1998;00;06;14;Andaluces;158376.242486;A
1998;00;06;18;Andaluces;149627.0648932;A
1998;00;06;21;Andaluces;32543.5852608;A
1998;00;06;23;Andaluces;199240.4860894;A
1998;00;06;29;Andaluces;77733.1541579;A
1998;00;06;41;Andaluces;109389.6474678;A
1998;00;06;C01;Andaluces;871092.9916411;A
1998;000004;00;04;Andaluces;432.6486488;A
1998;000004;00;11;Andaluces;1333.3210514;A
1998;000004;00;14;Andaluces;850.4308629;A
1998;000004;00;18;Andaluces;1196.3911632;A
1998;000004;00;21;Andaluces;221.8275574;A
1998;000004;00;23;Andaluces;847.9074423;A
1998;000004;00;29;Andaluces;960.3498439;A
1998;000004;00;41;Andaluces;1319.6180417;A
1998;000004;00;C01;Andaluces;7162.4946116;A
1998;000004;01;04;Andaluces;219.6506989;A
1998;000004;01;11;Andaluces;666.2128994;A
1998;000004;01;14;Andaluces;422.5364639;A
1998;000004;01;18;Andaluces;590.7414693;A
