D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
2009;C01;00;04;Andaluces;10466.0;A
2009;C01;00;11;Andaluces;10992.0;A
2009;C01;00;14;Andaluces;8459.0;A
2009;C01;00;18;Andaluces;15153.0;A
2009;C01;00;21;Andaluces;2911.0;A
2009;C01;00;23;Andaluces;5486.0;A
2009;C01;00;29;Andaluces;12490.0;A
2009;C01;00;41;Andaluces;11619.0;A
2009;C01;00;C01;Andaluces;77576.0;A
2009;C01;00;C02;Andaluces;5449.0;A
2009;C01;00;66;Andaluces;85898.0;A
2009;C01;00;NC000;Andaluces;2955.0;A
2009;C01;00;00;Andaluces;171878.0;A
2009;C01;01;04;Andaluces;5034.0;A
2009;C01;01;11;Andaluces;5224.0;A
2009;C01;01;14;Andaluces;4239.0;A
2009;C01;01;18;Andaluces;7406.0;A
2009;C01;01;21;Andaluces;1438.0;A
2009;C01;01;23;Andaluces;2676.0;A
2009;C01;01;29;Andaluces;6077.0;A
2009;C01;01;41;Andaluces;5565.0;A
2009;C01;01;C01;Andaluces;37659.0;A
2009;C01;01;C02;Andaluces;2576.0;A
2009;C01;01;66;Andaluces;42612.0;A
2009;C01;01;NC000;Andaluces;1513.0;A
2009;C01;01;00;Andaluces;84360.0;A
2009;C01;06;04;Andaluces;5432.0;A
2009;C01;06;11;Andaluces;5768.0;A
2009;C01;06;14;Andaluces;4220.0;A
2009;C01;06;18;Andaluces;7747.0;A
2009;C01;06;21;Andaluces;1473.0;A
2009;C01;06;23;Andaluces;2810.0;A
2009;C01;06;29;Andaluces;6413.0;A
2009;C01;06;41;Andaluces;6054.0;A
2009;C01;06;C01;Andaluces;39917.0;A
2009;C01;06;C02;Andaluces;2873.0;A
2009;C01;06;66;Andaluces;43286.0;A
2009;C01;06;NC000;Andaluces;1442.0;A
2009;C01;06;00;Andaluces;87518.0;A
2009;04;00;04;Andaluces;10281.0;A
2009;04;00;11;Andaluces;10.0;A
2009;04;00;14;Andaluces;20.0;A
2009;04;00;18;Andaluces;123.0;A
2009;04;00;21;Andaluces;6.0;A
2009;04;00;23;Andaluces;20.0;A
2009;04;00;29;Andaluces;31.0;A
2009;04;00;41;Andaluces;21.0;A
2009;04;00;C01;Andaluces;10512.0;A
2009;04;00;C02;Andaluces;496.0;A
2009;04;00;66;Andaluces;14631.0;A
2009;04;00;NC000;Andaluces;422.0;A
2009;04;00;00;Andaluces;26061.0;A
2009;04;01;04;Andaluces;4942.0;A
2009;04;01;11;Andaluces;4.0;A
2009;04;01;14;Andaluces;12.0;A
2009;04;01;18;Andaluces;63.0;A
2009;04;01;21;Andaluces;4.0;A
2009;04;01;23;Andaluces;8.0;A
2009;04;01;29;Andaluces;21.0;A
2009;04;01;41;Andaluces;10.0;A
2009;04;01;C01;Andaluces;5064.0;A
2009;04;01;C02;Andaluces;258.0;A
2009;04;01;66;Andaluces;7002.0;A
2009;04;01;NC000;Andaluces;225.0;A
2009;04;01;00;Andaluces;12549.0;A
2009;04;06;04;Andaluces;5339.0;A
2009;04;06;11;Andaluces;6.0;A
2009;04;06;14;Andaluces;8.0;A
2009;04;06;18;Andaluces;60.0;A
2009;04;06;21;Andaluces;2.0;A
2009;04;06;23;Andaluces;12.0;A
2009;04;06;29;Andaluces;10.0;A
2009;04;06;41;Andaluces;11.0;A
2009;04;06;C01;Andaluces;5448.0;A
2009;04;06;C02;Andaluces;238.0;A
2009;04;06;66;Andaluces;7629.0;A
2009;04;06;NC000;Andaluces;197.0;A
2009;04;06;00;Andaluces;13512.0;A
2009;11;00;04;Andaluces;12.0;A
2009;11;00;11;Andaluces;10426.0;A
2009;11;00;14;Andaluces;45.0;A
2009;11;00;18;Andaluces;59.0;A
2009;11;00;21;Andaluces;27.0;A
2009;11;00;23;Andaluces;33.0;A
2009;11;00;29;Andaluces;175.0;A
2009;11;00;41;Andaluces;219.0;A
2009;11;00;C01;Andaluces;10996.0;A
2009;11;00;C02;Andaluces;800.0;A
2009;11;00;66;Andaluces;9545.0;A
2009;11;00;NC000;Andaluces;296.0;A
2009;11;00;00;Andaluces;21637.0;A
2009;11;01;04;Andaluces;5.0;A
2009;11;01;11;Andaluces;4939.0;A
2009;11;01;14;Andaluces;19.0;A
2009;11;01;18;Andaluces;28.0;A
2009;11;01;21;Andaluces;11.0;A
2009;11;01;23;Andaluces;16.0;A
2009;11;01;29;Andaluces;86.0;A
2009;11;01;41;Andaluces;92.0;A
2009;11;01;C01;Andaluces;5196.0;A
2009;11;01;C02;Andaluces;378.0;A
2009;11;01;66;Andaluces;4783.0;A
2009;11;01;NC000;Andaluces;158.0;A
2009;11;01;00;Andaluces;10515.0;A
2009;11;06;04;Andaluces;7.0;A
2009;11;06;11;Andaluces;5487.0;A
2009;11;06;14;Andaluces;26.0;A
2009;11;06;18;Andaluces;31.0;A
2009;11;06;21;Andaluces;16.0;A
2009;11;06;23;Andaluces;17.0;A
2009;11;06;29;Andaluces;89.0;A
2009;11;06;41;Andaluces;127.0;A
2009;11;06;C01;Andaluces;5800.0;A
2009;11;06;C02;Andaluces;422.0;A
2009;11;06;66;Andaluces;4762.0;A
2009;11;06;NC000;Andaluces;138.0;A
2009;11;06;00;Andaluces;11122.0;A
2009;14;00;04;Andaluces;14.0;A
2009;14;00;11;Andaluces;14.0;A
2009;14;00;14;Andaluces;8000.0;A
2009;14;00;18;Andaluces;44.0;A
2009;14;00;21;Andaluces;12.0;A
2009;14;00;23;Andaluces;49.0;A
2009;14;00;29;Andaluces;29.0;A
2009;14;00;41;Andaluces;68.0;A
2009;14;00;C01;Andaluces;8230.0;A
2009;14;00;C02;Andaluces;396.0;A
2009;14;00;66;Andaluces;6226.0;A
2009;14;00;NC000;Andaluces;226.0;A
2009;14;00;00;Andaluces;15078.0;A
2009;14;01;04;Andaluces;8.0;A
2009;14;01;11;Andaluces;8.0;A
2009;14;01;14;Andaluces;4009.0;A
2009;14;01;18;Andaluces;19.0;A
2009;14;01;21;Andaluces;5.0;A
2009;14;01;23;Andaluces;22.0;A
2009;14;01;29;Andaluces;12.0;A
2009;14;01;41;Andaluces;27.0;A
2009;14;01;C01;Andaluces;4110.0;A
2009;14;01;C02;Andaluces;185.0;A
2009;14;01;66;Andaluces;3189.0;A
2009;14;01;NC000;Andaluces;116.0;A
2009;14;01;00;Andaluces;7600.0;A
2009;14;06;04;Andaluces;6.0;A
2009;14;06;11;Andaluces;6.0;A
2009;14;06;14;Andaluces;3991.0;A
2009;14;06;18;Andaluces;25.0;A
2009;14;06;21;Andaluces;7.0;A
2009;14;06;23;Andaluces;27.0;A
2009;14;06;29;Andaluces;17.0;A
2009;14;06;41;Andaluces;41.0;A
2009;14;06;C01;Andaluces;4120.0;A
2009;14;06;C02;Andaluces;211.0;A
2009;14;06;66;Andaluces;3037.0;A
2009;14;06;NC000;Andaluces;110.0;A
2009;14;06;00;Andaluces;7478.0;A
2009;18;00;04;Andaluces;77.0;A
2009;18;00;11;Andaluces;46.0;A
2009;18;00;14;Andaluces;32.0;A
2009;18;00;18;Andaluces;14600.0;A
2009;18;00;21;Andaluces;9.0;A
2009;18;00;23;Andaluces;129.0;A
2009;18;00;29;Andaluces;73.0;A
2009;18;00;41;Andaluces;50.0;A
2009;18;00;C01;Andaluces;15016.0;A
2009;18;00;C02;Andaluces;739.0;A
2009;18;00;66;Andaluces;17639.0;A
2009;18;00;NC000;Andaluces;677.0;A
2009;18;00;00;Andaluces;34071.0;A
2009;18;01;04;Andaluces;24.0;A
2009;18;01;11;Andaluces;24.0;A
2009;18;01;14;Andaluces;15.0;A
2009;18;01;18;Andaluces;7149.0;A
2009;18;01;21;Andaluces;4.0;A
2009;18;01;23;Andaluces;62.0;A
2009;18;01;29;Andaluces;30.0;A
2009;18;01;41;Andaluces;21.0;A
2009;18;01;C01;Andaluces;7329.0;A
2009;18;01;C02;Andaluces;333.0;A
2009;18;01;66;Andaluces;8616.0;A
2009;18;01;NC000;Andaluces;353.0;A
2009;18;01;00;Andaluces;16631.0;A
2009;18;06;04;Andaluces;53.0;A
2009;18;06;11;Andaluces;22.0;A
2009;18;06;14;Andaluces;17.0;A
2009;18;06;18;Andaluces;7451.0;A
2009;18;06;21;Andaluces;5.0;A
2009;18;06;23;Andaluces;67.0;A
2009;18;06;29;Andaluces;43.0;A
2009;18;06;41;Andaluces;29.0;A
2009;18;06;C01;Andaluces;7687.0;A
2009;18;06;C02;Andaluces;406.0;A
2009;18;06;66;Andaluces;9023.0;A
2009;18;06;NC000;Andaluces;324.0;A
2009;18;06;00;Andaluces;17440.0;A
2009;21;00;04;Andaluces;3.0;A
2009;21;00;11;Andaluces;15.0;A
2009;21;00;14;Andaluces;10.0;A
2009;21;00;18;Andaluces;3.0;A
2009;21;00;21;Andaluces;2684.0;A
2009;21;00;23;Andaluces;3.0;A
2009;21;00;29;Andaluces;5.0;A
2009;21;00;41;Andaluces;63.0;A
2009;21;00;C01;Andaluces;2786.0;A
2009;21;00;C02;Andaluces;202.0;A
2009;21;00;66;Andaluces;2653.0;A
2009;21;00;NC000;Andaluces;67.0;A
2009;21;00;00;Andaluces;5708.0;A
2009;21;01;04;Andaluces;2.0;A
2009;21;01;11;Andaluces;10.0;A
2009;21;01;14;Andaluces;5.0;A
2009;21;01;18;Andaluces;;A
2009;21;01;21;Andaluces;1335.0;A
2009;21;01;23;Andaluces;1.0;A
2009;21;01;29;Andaluces;2.0;A
2009;21;01;41;Andaluces;35.0;A
2009;21;01;C01;Andaluces;1390.0;A
2009;21;01;C02;Andaluces;97.0;A
2009;21;01;66;Andaluces;1340.0;A
2009;21;01;NC000;Andaluces;34.0;A
2009;21;01;00;Andaluces;2861.0;A
2009;21;06;04;Andaluces;1.0;A
2009;21;06;11;Andaluces;5.0;A
2009;21;06;14;Andaluces;5.0;A
2009;21;06;18;Andaluces;3.0;A
2009;21;06;21;Andaluces;1349.0;A
2009;21;06;23;Andaluces;2.0;A
2009;21;06;29;Andaluces;3.0;A
2009;21;06;41;Andaluces;28.0;A
2009;21;06;C01;Andaluces;1396.0;A
2009;21;06;C02;Andaluces;105.0;A
2009;21;06;66;Andaluces;1313.0;A
2009;21;06;NC000;Andaluces;33.0;A
2009;21;06;00;Andaluces;2847.0;A
2009;23;00;04;Andaluces;8.0;A
2009;23;00;11;Andaluces;5.0;A
2009;23;00;14;Andaluces;29.0;A
2009;23;00;18;Andaluces;50.0;A
2009;23;00;21;Andaluces;4.0;A
2009;23;00;23;Andaluces;5085.0;A
2009;23;00;29;Andaluces;16.0;A
2009;23;00;41;Andaluces;14.0;A
2009;23;00;C01;Andaluces;5211.0;A
2009;23;00;C02;Andaluces;206.0;A
2009;23;00;66;Andaluces;3990.0;A
2009;23;00;NC000;Andaluces;180.0;A
2009;23;00;00;Andaluces;9587.0;A
2009;23;01;04;Andaluces;6.0;A
2009;23;01;11;Andaluces;3.0;A
2009;23;01;14;Andaluces;17.0;A
2009;23;01;18;Andaluces;21.0;A
2009;23;01;21;Andaluces;1.0;A
2009;23;01;23;Andaluces;2491.0;A
2009;23;01;29;Andaluces;10.0;A
2009;23;01;41;Andaluces;8.0;A
2009;23;01;C01;Andaluces;2557.0;A
2009;23;01;C02;Andaluces;112.0;A
2009;23;01;66;Andaluces;2010.0;A
2009;23;01;NC000;Andaluces;82.0;A
2009;23;01;00;Andaluces;4761.0;A
2009;23;06;04;Andaluces;2.0;A
2009;23;06;11;Andaluces;2.0;A
2009;23;06;14;Andaluces;12.0;A
2009;23;06;18;Andaluces;29.0;A
2009;23;06;21;Andaluces;3.0;A
2009;23;06;23;Andaluces;2594.0;A
2009;23;06;29;Andaluces;6.0;A
2009;23;06;41;Andaluces;6.0;A
2009;23;06;C01;Andaluces;2654.0;A
2009;23;06;C02;Andaluces;94.0;A
2009;23;06;66;Andaluces;1980.0;A
2009;23;06;NC000;Andaluces;98.0;A
2009;23;06;00;Andaluces;4826.0;A
2009;29;00;04;Andaluces;37.0;A
2009;29;00;11;Andaluces;259.0;A
2009;29;00;14;Andaluces;189.0;A
2009;29;00;18;Andaluces;193.0;A
2009;29;00;21;Andaluces;14.0;A
2009;29;00;23;Andaluces;95.0;A
2009;29;00;29;Andaluces;12072.0;A
2009;29;00;41;Andaluces;162.0;A
2009;29;00;C01;Andaluces;13021.0;A
2009;29;00;C02;Andaluces;1604.0;A
2009;29;00;66;Andaluces;19449.0;A
2009;29;00;NC000;Andaluces;649.0;A
2009;29;00;00;Andaluces;34723.0;A
2009;29;01;04;Andaluces;26.0;A
2009;29;01;11;Andaluces;126.0;A
2009;29;01;14;Andaluces;91.0;A
2009;29;01;18;Andaluces;85.0;A
2009;29;01;21;Andaluces;8.0;A
2009;29;01;23;Andaluces;42.0;A
2009;29;01;29;Andaluces;5877.0;A
2009;29;01;41;Andaluces;85.0;A
2009;29;01;C01;Andaluces;6340.0;A
2009;29;01;C02;Andaluces;735.0;A
2009;29;01;66;Andaluces;9790.0;A
2009;29;01;NC000;Andaluces;345.0;A
2009;29;01;00;Andaluces;17210.0;A
2009;29;06;04;Andaluces;11.0;A
2009;29;06;11;Andaluces;133.0;A
2009;29;06;14;Andaluces;98.0;A
2009;29;06;18;Andaluces;108.0;A
2009;29;06;21;Andaluces;6.0;A
2009;29;06;23;Andaluces;53.0;A
2009;29;06;29;Andaluces;6195.0;A
2009;29;06;41;Andaluces;77.0;A
2009;29;06;C01;Andaluces;6681.0;A
2009;29;06;C02;Andaluces;869.0;A
2009;29;06;66;Andaluces;9659.0;A
2009;29;06;NC000;Andaluces;304.0;A
2009;29;06;00;Andaluces;17513.0;A
2009;41;00;04;Andaluces;34.0;A
2009;41;00;11;Andaluces;217.0;A
2009;41;00;14;Andaluces;134.0;A
2009;41;00;18;Andaluces;81.0;A
2009;41;00;21;Andaluces;155.0;A
2009;41;00;23;Andaluces;72.0;A
2009;41;00;29;Andaluces;89.0;A
2009;41;00;41;Andaluces;11022.0;A
2009;41;00;C01;Andaluces;11804.0;A
2009;41;00;C02;Andaluces;1006.0;A
2009;41;00;66;Andaluces;11765.0;A
2009;41;00;NC000;Andaluces;438.0;A
2009;41;00;00;Andaluces;25013.0;A
2009;41;01;04;Andaluces;21.0;A
2009;41;01;11;Andaluces;110.0;A
2009;41;01;14;Andaluces;71.0;A
2009;41;01;18;Andaluces;41.0;A
2009;41;01;21;Andaluces;70.0;A
2009;41;01;23;Andaluces;34.0;A
2009;41;01;29;Andaluces;39.0;A
2009;41;01;41;Andaluces;5287.0;A
2009;41;01;C01;Andaluces;5673.0;A
2009;41;01;C02;Andaluces;478.0;A
2009;41;01;66;Andaluces;5882.0;A
2009;41;01;NC000;Andaluces;200.0;A
2009;41;01;00;Andaluces;12233.0;A
2009;41;06;04;Andaluces;13.0;A
2009;41;06;11;Andaluces;107.0;A
2009;41;06;14;Andaluces;63.0;A
2009;41;06;18;Andaluces;40.0;A
2009;41;06;21;Andaluces;85.0;A
2009;41;06;23;Andaluces;38.0;A
2009;41;06;29;Andaluces;50.0;A
2009;41;06;41;Andaluces;5735.0;A
2009;41;06;C01;Andaluces;6131.0;A
2009;41;06;C02;Andaluces;528.0;A
2009;41;06;66;Andaluces;5883.0;A
2009;41;06;NC000;Andaluces;238.0;A
2009;41;06;00;Andaluces;12780.0;A
2010;C01;00;04;Andaluces;10406.0;A
2010;C01;00;11;Andaluces;11012.0;A
2010;C01;00;14;Andaluces;8404.0;A
2010;C01;00;18;Andaluces;15033.0;A
2010;C01;00;21;Andaluces;2915.0;A
2010;C01;00;23;Andaluces;5462.0;A
2010;C01;00;29;Andaluces;12674.0;A
2010;C01;00;41;Andaluces;11699.0;A
2010;C01;00;C01;Andaluces;77605.0;A
2010;C01;00;C02;Andaluces;5586.0;A
2010;C01;00;66;Andaluces;97191.0;A
2010;C01;00;NC000;Andaluces;2546.0;A
2010;C01;00;00;Andaluces;182928.0;A
2010;C01;01;04;Andaluces;4988.0;A
2010;C01;01;11;Andaluces;5229.0;A
2010;C01;01;14;Andaluces;4200.0;A
2010;C01;01;18;Andaluces;7350.0;A
2010;C01;01;21;Andaluces;1433.0;A
2010;C01;01;23;Andaluces;2671.0;A
2010;C01;01;29;Andaluces;6170.0;A
2010;C01;01;41;Andaluces;5586.0;A
2010;C01;01;C01;Andaluces;37627.0;A
2010;C01;01;C02;Andaluces;2669.0;A
2010;C01;01;66;Andaluces;48218.0;A
2010;C01;01;NC000;Andaluces;1300.0;A
2010;C01;01;00;Andaluces;89814.0;A
2010;C01;06;04;Andaluces;5418.0;A
2010;C01;06;11;Andaluces;5783.0;A
2010;C01;06;14;Andaluces;4204.0;A
2010;C01;06;18;Andaluces;7683.0;A
2010;C01;06;21;Andaluces;1482.0;A
2010;C01;06;23;Andaluces;2791.0;A
2010;C01;06;29;Andaluces;6504.0;A
2010;C01;06;41;Andaluces;6113.0;A
2010;C01;06;C01;Andaluces;39978.0;A
2010;C01;06;C02;Andaluces;2917.0;A
2010;C01;06;66;Andaluces;48973.0;A
2010;C01;06;NC000;Andaluces;1246.0;A
2010;C01;06;00;Andaluces;93114.0;A
2010;04;00;04;Andaluces;10218.0;A
2010;04;00;11;Andaluces;11.0;A
2010;04;00;14;Andaluces;18.0;A
2010;04;00;18;Andaluces;123.0;A
2010;04;00;21;Andaluces;7.0;A
2010;04;00;23;Andaluces;22.0;A
2010;04;00;29;Andaluces;32.0;A
2010;04;00;41;Andaluces;21.0;A
2010;04;00;C01;Andaluces;10452.0;A
2010;04;00;C02;Andaluces;523.0;A
2010;04;00;66;Andaluces;17002.0;A
2010;04;00;NC000;Andaluces;357.0;A
2010;04;00;00;Andaluces;28334.0;A
2010;04;01;04;Andaluces;4893.0;A
2010;04;01;11;Andaluces;4.0;A
2010;04;01;14;Andaluces;9.0;A
2010;04;01;18;Andaluces;64.0;A
2010;04;01;21;Andaluces;4.0;A
2010;04;01;23;Andaluces;10.0;A
2010;04;01;29;Andaluces;20.0;A
2010;04;01;41;Andaluces;12.0;A
2010;04;01;C01;Andaluces;5016.0;A
2010;04;01;C02;Andaluces;267.0;A
2010;04;01;66;Andaluces;8152.0;A
2010;04;01;NC000;Andaluces;188.0;A
2010;04;01;00;Andaluces;13623.0;A
2010;04;06;04;Andaluces;5325.0;A
2010;04;06;11;Andaluces;7.0;A
2010;04;06;14;Andaluces;9.0;A
2010;04;06;18;Andaluces;59.0;A
2010;04;06;21;Andaluces;3.0;A
2010;04;06;23;Andaluces;12.0;A
2010;04;06;29;Andaluces;12.0;A
2010;04;06;41;Andaluces;9.0;A
2010;04;06;C01;Andaluces;5436.0;A
2010;04;06;C02;Andaluces;256.0;A
2010;04;06;66;Andaluces;8850.0;A
2010;04;06;NC000;Andaluces;169.0;A
2010;04;06;00;Andaluces;14711.0;A
2010;11;00;04;Andaluces;16.0;A
2010;11;00;11;Andaluces;10441.0;A
2010;11;00;14;Andaluces;44.0;A
2010;11;00;18;Andaluces;61.0;A
2010;11;00;21;Andaluces;26.0;A
2010;11;00;23;Andaluces;32.0;A
2010;11;00;29;Andaluces;172.0;A
2010;11;00;41;Andaluces;230.0;A
2010;11;00;C01;Andaluces;11022.0;A
2010;11;00;C02;Andaluces;821.0;A
2010;11;00;66;Andaluces;10669.0;A
2010;11;00;NC000;Andaluces;263.0;A
2010;11;00;00;Andaluces;22775.0;A
2010;11;01;04;Andaluces;8.0;A
2010;11;01;11;Andaluces;4947.0;A
2010;11;01;14;Andaluces;18.0;A
2010;11;01;18;Andaluces;30.0;A
2010;11;01;21;Andaluces;9.0;A
2010;11;01;23;Andaluces;15.0;A
2010;11;01;29;Andaluces;87.0;A
2010;11;01;41;Andaluces;99.0;A
2010;11;01;C01;Andaluces;5213.0;A
2010;11;01;C02;Andaluces;390.0;A
2010;11;01;66;Andaluces;5342.0;A
2010;11;01;NC000;Andaluces;142.0;A
2010;11;01;00;Andaluces;11087.0;A
2010;11;06;04;Andaluces;8.0;A
2010;11;06;11;Andaluces;5494.0;A
2010;11;06;14;Andaluces;26.0;A
2010;11;06;18;Andaluces;31.0;A
2010;11;06;21;Andaluces;17.0;A
2010;11;06;23;Andaluces;17.0;A
2010;11;06;29;Andaluces;85.0;A
2010;11;06;41;Andaluces;131.0;A
2010;11;06;C01;Andaluces;5809.0;A
2010;11;06;C02;Andaluces;431.0;A
2010;11;06;66;Andaluces;5327.0;A
2010;11;06;NC000;Andaluces;121.0;A
2010;11;06;00;Andaluces;11688.0;A
2010;14;00;04;Andaluces;14.0;A
2010;14;00;11;Andaluces;15.0;A
2010;14;00;14;Andaluces;7942.0;A
2010;14;00;18;Andaluces;44.0;A
2010;14;00;21;Andaluces;11.0;A
2010;14;00;23;Andaluces;50.0;A
2010;14;00;29;Andaluces;25.0;A
2010;14;00;41;Andaluces;66.0;A
2010;14;00;C01;Andaluces;8167.0;A
2010;14;00;C02;Andaluces;387.0;A
2010;14;00;66;Andaluces;6904.0;A
2010;14;00;NC000;Andaluces;205.0;A
2010;14;00;00;Andaluces;15663.0;A
2010;14;01;04;Andaluces;8.0;A
2010;14;01;11;Andaluces;9.0;A
2010;14;01;14;Andaluces;3976.0;A
2010;14;01;18;Andaluces;19.0;A
2010;14;01;21;Andaluces;5.0;A
2010;14;01;23;Andaluces;23.0;A
2010;14;01;29;Andaluces;11.0;A
2010;14;01;41;Andaluces;26.0;A
2010;14;01;C01;Andaluces;4077.0;A
2010;14;01;C02;Andaluces;177.0;A
