D_TEMPORAL_0;D_TERRITORIO_1;D_TERRITORIO_0;D_SEXO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
2009;66;C01;00;04;Andaluces;10466.0;A
2009;66;C01;00;11;Andaluces;10992.0;A
2009;66;C01;00;14;Andaluces;8459.0;A
2009;66;C01;00;18;Andaluces;15153.0;A
2009;66;C01;00;21;Andaluces;2911.0;A
2009;66;C01;00;23;Andaluces;5486.0;A
2009;66;C01;00;29;Andaluces;12490.0;A
2009;66;C01;00;41;Andaluces;11619.0;A
2009;66;C01;00;C01;Andaluces;77576.0;A
2009;66;C01;00;C02;Andaluces;5449.0;A
2009;66;C01;00;66;Andaluces;85898.0;A
2009;66;C01;00;NC000;Andaluces;2955.0;A
2009;66;C01;00;00;Andaluces;171878.0;A
2009;66;04;00;04;Andaluces;10281.0;A
2009;66;04;00;11;Andaluces;10.0;A
2009;66;04;00;14;Andaluces;20.0;A
2009;66;04;00;18;Andaluces;123.0;A
2009;66;04;00;21;Andaluces;6.0;A
2009;66;04;00;23;Andaluces;20.0;A
2009;66;04;00;29;Andaluces;31.0;A
2009;66;04;00;41;Andaluces;21.0;A
2009;66;04;00;C01;Andaluces;10512.0;A
2009;66;04;00;C02;Andaluces;496.0;A
2009;66;04;00;66;Andaluces;14631.0;A
2009;66;04;00;NC000;Andaluces;422.0;A
2009;66;04;00;00;Andaluces;26061.0;A
2009;66;11;00;04;Andaluces;12.0;A
2009;66;11;00;11;Andaluces;10426.0;A
2009;66;11;00;14;Andaluces;45.0;A
2009;66;11;00;18;Andaluces;59.0;A
2009;66;11;00;21;Andaluces;27.0;A
2009;66;11;00;23;Andaluces;33.0;A
2009;66;11;00;29;Andaluces;175.0;A
2009;66;11;00;41;Andaluces;219.0;A
2009;66;11;00;C01;Andaluces;10996.0;A
2009;66;11;00;C02;Andaluces;800.0;A
2009;66;11;00;66;Andaluces;9545.0;A
2009;66;11;00;NC000;Andaluces;296.0;A
2009;66;11;00;00;Andaluces;21637.0;A
2009;66;14;00;04;Andaluces;14.0;A
2009;66;14;00;11;Andaluces;14.0;A
2009;66;14;00;14;Andaluces;8000.0;A
2009;66;14;00;18;Andaluces;44.0;A
2009;66;14;00;21;Andaluces;12.0;A
2009;66;14;00;23;Andaluces;49.0;A
2009;66;14;00;29;Andaluces;29.0;A
2009;66;14;00;41;Andaluces;68.0;A
2009;66;14;00;C01;Andaluces;8230.0;A
2009;66;14;00;C02;Andaluces;396.0;A
2009;66;14;00;66;Andaluces;6226.0;A
2009;66;14;00;NC000;Andaluces;226.0;A
2009;66;14;00;00;Andaluces;15078.0;A
2009;66;18;00;04;Andaluces;77.0;A
2009;66;18;00;11;Andaluces;46.0;A
2009;66;18;00;14;Andaluces;32.0;A
2009;66;18;00;18;Andaluces;14600.0;A
2009;66;18;00;21;Andaluces;9.0;A
2009;66;18;00;23;Andaluces;129.0;A
2009;66;18;00;29;Andaluces;73.0;A
2009;66;18;00;41;Andaluces;50.0;A
2009;66;18;00;C01;Andaluces;15016.0;A
2009;66;18;00;C02;Andaluces;739.0;A
2009;66;18;00;66;Andaluces;17639.0;A
2009;66;18;00;NC000;Andaluces;677.0;A
2009;66;18;00;00;Andaluces;34071.0;A
2009;66;21;00;04;Andaluces;3.0;A
2009;66;21;00;11;Andaluces;15.0;A
2009;66;21;00;14;Andaluces;10.0;A
2009;66;21;00;18;Andaluces;3.0;A
2009;66;21;00;21;Andaluces;2684.0;A
2009;66;21;00;23;Andaluces;3.0;A
2009;66;21;00;29;Andaluces;5.0;A
2009;66;21;00;41;Andaluces;63.0;A
2009;66;21;00;C01;Andaluces;2786.0;A
2009;66;21;00;C02;Andaluces;202.0;A
