TEMPORAL;LUGARNACIMIEN;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2009;45230;_T;ES611;ANDALUCES;10281.0;A
2009;45230;_T;ES612;ANDALUCES;12.0;A
2009;45230;_T;ES613;ANDALUCES;14.0;A
2009;45230;_T;ES614;ANDALUCES;77.0;A
2009;45230;_T;ES615;ANDALUCES;3.0;A
2009;45230;_T;ES616;ANDALUCES;8.0;A
2009;45230;_T;ES617;ANDALUCES;37.0;A
2009;45230;_T;ES618;ANDALUCES;34.0;A
2009;45230;_T;ES61;ANDALUCES;10466.0;A
2009;45230;_T;ES24;ANDALUCES;1113.0;A
2009;45230;_T;3676;ANDALUCES;11579.0;A
2009;45230;M;ES611;ANDALUCES;4942.0;A
2009;45230;M;ES612;ANDALUCES;5.0;A
2009;45230;M;ES613;ANDALUCES;8.0;A
2009;45230;M;ES614;ANDALUCES;24.0;A
2009;45230;M;ES615;ANDALUCES;2.0;A
2009;45230;M;ES616;ANDALUCES;6.0;A
2009;45230;M;ES617;ANDALUCES;26.0;A
2009;45230;M;ES618;ANDALUCES;21.0;A
2009;45230;M;ES61;ANDALUCES;5034.0;A
2009;45230;M;ES24;ANDALUCES;571.0;A
2009;45230;M;3676;ANDALUCES;5605.0;A
2009;45230;F;ES611;ANDALUCES;5339.0;A
2009;45230;F;ES612;ANDALUCES;7.0;A
2009;45230;F;ES613;ANDALUCES;6.0;A
2009;45230;F;ES614;ANDALUCES;53.0;A
2009;45230;F;ES615;ANDALUCES;1.0;A
2009;45230;F;ES616;ANDALUCES;2.0;A
2009;45230;F;ES617;ANDALUCES;11.0;A
2009;45230;F;ES618;ANDALUCES;13.0;A
2009;45230;F;ES61;ANDALUCES;5432.0;A
2009;45230;F;ES24;ANDALUCES;542.0;A
2009;45230;F;3676;ANDALUCES;5974.0;A
2009;45276;_T;ES611;ANDALUCES;10.0;A
2009;45276;_T;ES612;ANDALUCES;10426.0;A
2009;45276;_T;ES613;ANDALUCES;14.0;A
2009;45276;_T;ES614;ANDALUCES;46.0;A
2009;45276;_T;ES615;ANDALUCES;15.0;A
2009;45276;_T;ES616;ANDALUCES;5.0;A
2009;45276;_T;ES617;ANDALUCES;259.0;A
2009;45276;_T;ES618;ANDALUCES;217.0;A
2009;45276;_T;ES61;ANDALUCES;10992.0;A
2009;45276;_T;ES24;ANDALUCES;1192.0;A
2009;45276;_T;3676;ANDALUCES;12184.0;A
2009;45276;M;ES611;ANDALUCES;4.0;A
2009;45276;M;ES612;ANDALUCES;4939.0;A
2009;45276;M;ES613;ANDALUCES;8.0;A
2009;45276;M;ES614;ANDALUCES;24.0;A
2009;45276;M;ES615;ANDALUCES;10.0;A
2009;45276;M;ES616;ANDALUCES;3.0;A
2009;45276;M;ES617;ANDALUCES;126.0;A
2009;45276;M;ES618;ANDALUCES;110.0;A
2009;45276;M;ES61;ANDALUCES;5224.0;A
2009;45276;M;ES24;ANDALUCES;570.0;A
2009;45276;M;3676;ANDALUCES;5794.0;A
2009;45276;F;ES611;ANDALUCES;6.0;A
2009;45276;F;ES612;ANDALUCES;5487.0;A
2009;45276;F;ES613;ANDALUCES;6.0;A
2009;45276;F;ES614;ANDALUCES;22.0;A
2009;45276;F;ES615;ANDALUCES;5.0;A
2009;45276;F;ES616;ANDALUCES;2.0;A
2009;45276;F;ES617;ANDALUCES;133.0;A
2009;45276;F;ES618;ANDALUCES;107.0;A
2009;45276;F;ES61;ANDALUCES;5768.0;A
2009;45276;F;ES24;ANDALUCES;622.0;A
2009;45276;F;3676;ANDALUCES;6390.0;A
2009;45354;_T;ES611;ANDALUCES;20.0;A
2009;45354;_T;ES612;ANDALUCES;45.0;A
2009;45354;_T;ES613;ANDALUCES;8000.0;A
2009;45354;_T;ES614;ANDALUCES;32.0;A
2009;45354;_T;ES615;ANDALUCES;10.0;A
2009;45354;_T;ES616;ANDALUCES;29.0;A
2009;45354;_T;ES617;ANDALUCES;189.0;A
2009;45354;_T;ES618;ANDALUCES;134.0;A
2009;45354;_T;ES61;ANDALUCES;8459.0;A
2009;45354;_T;ES24;ANDALUCES;1729.0;A
2009;45354;_T;3676;ANDALUCES;10188.0;A
2009;45354;M;ES611;ANDALUCES;12.0;A
2009;45354;M;ES612;ANDALUCES;19.0;A
2009;45354;M;ES613;ANDALUCES;4009.0;A
2009;45354;M;ES614;ANDALUCES;15.0;A
2009;45354;M;ES615;ANDALUCES;5.0;A
2009;45354;M;ES616;ANDALUCES;17.0;A
2009;45354;M;ES617;ANDALUCES;91.0;A
2009;45354;M;ES618;ANDALUCES;71.0;A
2009;45354;M;ES61;ANDALUCES;4239.0;A
2009;45354;M;ES24;ANDALUCES;820.0;A
2009;45354;M;3676;ANDALUCES;5059.0;A
2009;45354;F;ES611;ANDALUCES;8.0;A
2009;45354;F;ES612;ANDALUCES;26.0;A
2009;45354;F;ES613;ANDALUCES;3991.0;A
2009;45354;F;ES614;ANDALUCES;17.0;A
2009;45354;F;ES615;ANDALUCES;5.0;A
2009;45354;F;ES616;ANDALUCES;12.0;A
2009;45354;F;ES617;ANDALUCES;98.0;A
2009;45354;F;ES618;ANDALUCES;63.0;A
2009;45354;F;ES61;ANDALUCES;4220.0;A
2009;45354;F;ES24;ANDALUCES;909.0;A
2009;45354;F;3676;ANDALUCES;5129.0;A
2009;45576;_T;ES611;ANDALUCES;123.0;A
2009;45576;_T;ES612;ANDALUCES;59.0;A
2009;45576;_T;ES613;ANDALUCES;44.0;A
2009;45576;_T;ES614;ANDALUCES;14600.0;A
2009;45576;_T;ES615;ANDALUCES;3.0;A
2009;45576;_T;ES616;ANDALUCES;50.0;A
2009;45576;_T;ES617;ANDALUCES;193.0;A
2009;45576;_T;ES618;ANDALUCES;81.0;A
2009;45576;_T;ES61;ANDALUCES;15153.0;A
2009;45576;_T;ES24;ANDALUCES;1737.0;A
2009;45576;_T;3676;ANDALUCES;16890.0;A
2009;45576;M;ES611;ANDALUCES;63.0;A
2009;45576;M;ES612;ANDALUCES;28.0;A
2009;45576;M;ES613;ANDALUCES;19.0;A
2009;45576;M;ES614;ANDALUCES;7149.0;A
2009;45576;M;ES616;ANDALUCES;21.0;A
2009;45576;M;ES617;ANDALUCES;85.0;A
2009;45576;M;ES618;ANDALUCES;41.0;A
2009;45576;M;ES61;ANDALUCES;7406.0;A
2009;45576;M;ES24;ANDALUCES;885.0;A
2009;45576;M;3676;ANDALUCES;8291.0;A
2009;45576;F;ES611;ANDALUCES;60.0;A
2009;45576;F;ES612;ANDALUCES;31.0;A
2009;45576;F;ES613;ANDALUCES;25.0;A
2009;45576;F;ES614;ANDALUCES;7451.0;A
2009;45576;F;ES615;ANDALUCES;3.0;A
2009;45576;F;ES616;ANDALUCES;29.0;A
2009;45576;F;ES617;ANDALUCES;108.0;A
2009;45576;F;ES618;ANDALUCES;40.0;A
2009;45576;F;ES61;ANDALUCES;7747.0;A
2009;45576;F;ES24;ANDALUCES;852.0;A
2009;45576;F;3676;ANDALUCES;8599.0;A
2009;45657;_T;ES611;ANDALUCES;6.0;A
2009;45657;_T;ES612;ANDALUCES;27.0;A
2009;45657;_T;ES613;ANDALUCES;12.0;A
2009;45657;_T;ES614;ANDALUCES;9.0;A
2009;45657;_T;ES615;ANDALUCES;2684.0;A
2009;45657;_T;ES616;ANDALUCES;4.0;A
2009;45657;_T;ES617;ANDALUCES;14.0;A
2009;45657;_T;ES618;ANDALUCES;155.0;A
2009;45657;_T;ES61;ANDALUCES;2911.0;A
2009;45657;_T;ES24;ANDALUCES;415.0;A
2009;45657;_T;3676;ANDALUCES;3326.0;A
2009;45657;M;ES611;ANDALUCES;4.0;A
2009;45657;M;ES612;ANDALUCES;11.0;A
2009;45657;M;ES613;ANDALUCES;5.0;A
2009;45657;M;ES614;ANDALUCES;4.0;A
2009;45657;M;ES615;ANDALUCES;1335.0;A
2009;45657;M;ES616;ANDALUCES;1.0;A
2009;45657;M;ES617;ANDALUCES;8.0;A
2009;45657;M;ES618;ANDALUCES;70.0;A
2009;45657;M;ES61;ANDALUCES;1438.0;A
2009;45657;M;ES24;ANDALUCES;206.0;A
2009;45657;M;3676;ANDALUCES;1644.0;A
2009;45657;F;ES611;ANDALUCES;2.0;A
2009;45657;F;ES612;ANDALUCES;16.0;A
2009;45657;F;ES613;ANDALUCES;7.0;A
2009;45657;F;ES614;ANDALUCES;5.0;A
2009;45657;F;ES615;ANDALUCES;1349.0;A
2009;45657;F;ES616;ANDALUCES;3.0;A
2009;45657;F;ES617;ANDALUCES;6.0;A
2009;45657;F;ES618;ANDALUCES;85.0;A
2009;45657;F;ES61;ANDALUCES;1473.0;A
2009;45657;F;ES24;ANDALUCES;209.0;A
2009;45657;F;3676;ANDALUCES;1682.0;A
2009;45765;_T;ES611;ANDALUCES;20.0;A
2009;45765;_T;ES612;ANDALUCES;33.0;A
2009;45765;_T;ES613;ANDALUCES;49.0;A
2009;45765;_T;ES614;ANDALUCES;129.0;A
2009;45765;_T;ES615;ANDALUCES;3.0;A
2009;45765;_T;ES616;ANDALUCES;5085.0;A
2009;45765;_T;ES617;ANDALUCES;95.0;A
2009;45765;_T;ES618;ANDALUCES;72.0;A
2009;45765;_T;ES61;ANDALUCES;5486.0;A
2009;45765;_T;ES24;ANDALUCES;1899.0;A
2009;45765;_T;3676;ANDALUCES;7385.0;A
2009;45765;M;ES611;ANDALUCES;8.0;A
2009;45765;M;ES612;ANDALUCES;16.0;A
2009;45765;M;ES613;ANDALUCES;22.0;A
2009;45765;M;ES614;ANDALUCES;62.0;A
2009;45765;M;ES615;ANDALUCES;1.0;A
2009;45765;M;ES616;ANDALUCES;2491.0;A
2009;45765;M;ES617;ANDALUCES;42.0;A
2009;45765;M;ES618;ANDALUCES;34.0;A
2009;45765;M;ES61;ANDALUCES;2676.0;A
2009;45765;M;ES24;ANDALUCES;896.0;A
2009;45765;M;3676;ANDALUCES;3572.0;A
2009;45765;F;ES611;ANDALUCES;12.0;A
2009;45765;F;ES612;ANDALUCES;17.0;A
2009;45765;F;ES613;ANDALUCES;27.0;A
2009;45765;F;ES614;ANDALUCES;67.0;A
2009;45765;F;ES615;ANDALUCES;2.0;A
2009;45765;F;ES616;ANDALUCES;2594.0;A
2009;45765;F;ES617;ANDALUCES;53.0;A
2009;45765;F;ES618;ANDALUCES;38.0;A
2009;45765;F;ES61;ANDALUCES;2810.0;A
2009;45765;F;ES24;ANDALUCES;1003.0;A
2009;45765;F;3676;ANDALUCES;3813.0;A
2009;45873;_T;ES611;ANDALUCES;31.0;A
2009;45873;_T;ES612;ANDALUCES;175.0;A
2009;45873;_T;ES613;ANDALUCES;29.0;A
2009;45873;_T;ES614;ANDALUCES;73.0;A
2009;45873;_T;ES615;ANDALUCES;5.0;A
2009;45873;_T;ES616;ANDALUCES;16.0;A
2009;45873;_T;ES617;ANDALUCES;12072.0;A
