TEMPORAL;TERRITORIO;ARE_INSCRIPCION;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
2016;04;;00;04;;622.0;A
2016;04;;00;11;;5.0;A
2016;04;;00;14;;4.0;A
2016;04;;00;18;;27.0;A
2016;04;;00;21;;1.0;A
2016;04;;00;23;;8.0;A
2016;04;;00;29;;8.0;A
2016;04;;00;41;;6.0;A
2016;04;;00;C01;;681.0;A
2016;04;;00;C02;;128.0;A
2016;04;;00;66;;2417.0;A
2016;04;;00;NC000;;1.0;A
2016;04;;00;00;;3227.0;A
2016;04;;01;04;;343.0;A
2016;04;;01;11;;5.0;A
2016;04;;01;14;;4.0;A
2016;04;;01;18;;15.0;A
2016;04;;01;21;;1.0;A
2016;04;;01;23;;2.0;A
2016;04;;01;29;;5.0;A
2016;04;;01;41;;3.0;A
2016;04;;01;C01;;378.0;A
2016;04;;01;C02;;67.0;A
2016;04;;01;66;;1207.0;A
2016;04;;01;NC000;;1.0;A
2016;04;;01;00;;1653.0;A
2016;04;;06;04;;279.0;A
2016;04;;06;18;;12.0;A
2016;04;;06;23;;6.0;A
2016;04;;06;29;;3.0;A
2016;04;;06;41;;3.0;A
2016;04;;06;C01;;303.0;A
2016;04;;06;C02;;61.0;A
2016;04;;06;66;;1210.0;A
2016;04;;06;00;;1574.0;A
2016;11;;00;11;;1197.0;A
2016;11;;00;14;;13.0;A
2016;11;;00;18;;8.0;A
2016;11;;00;21;;6.0;A
2016;11;;00;23;;5.0;A
2016;11;;00;29;;16.0;A
2016;11;;00;41;;54.0;A
2016;11;;00;C01;;1299.0;A
2016;11;;00;C02;;185.0;A
2016;11;;00;66;;1025.0;A
2016;11;;00;00;;2509.0;A
2016;11;;01;11;;647.0;A
2016;11;;01;14;;6.0;A
2016;11;;01;18;;7.0;A
2016;11;;01;21;;4.0;A
2016;11;;01;23;;3.0;A
2016;11;;01;29;;6.0;A
2016;11;;01;41;;26.0;A
2016;11;;01;C01;;699.0;A
2016;11;;01;C02;;93.0;A
2016;11;;01;66;;493.0;A
2016;11;;01;00;;1285.0;A
2016;11;;06;11;;550.0;A
2016;11;;06;14;;7.0;A
2016;11;;06;18;;1.0;A
2016;11;;06;21;;2.0;A
2016;11;;06;23;;2.0;A
2016;11;;06;29;;10.0;A
2016;11;;06;41;;28.0;A
2016;11;;06;C01;;600.0;A
2016;11;;06;C02;;92.0;A
2016;11;;06;66;;532.0;A
2016;11;;06;00;;1224.0;A
2016;14;;00;11;;6.0;A
2016;14;;00;14;;538.0;A
2016;14;;00;18;;8.0;A
2016;14;;00;23;;5.0;A
2016;14;;00;29;;6.0;A
2016;14;;00;41;;10.0;A
2016;14;;00;C01;;573.0;A
2016;14;;00;C02;;69.0;A
2016;14;;00;66;;505.0;A
2016;14;;00;00;;1147.0;A
2016;14;;01;11;;2.0;A
2016;14;;01;14;;286.0;A
2016;14;;01;18;;5.0;A
2016;14;;01;23;;3.0;A
2016;14;;01;29;;1.0;A
2016;14;;01;41;;4.0;A
2016;14;;01;C01;;301.0;A
2016;14;;01;C02;;43.0;A
2016;14;;01;66;;253.0;A
2016;14;;01;00;;597.0;A
2016;14;;06;11;;4.0;A
2016;14;;06;14;;252.0;A
2016;14;;06;18;;3.0;A
2016;14;;06;23;;2.0;A
2016;14;;06;29;;5.0;A
2016;14;;06;41;;6.0;A
2016;14;;06;C01;;272.0;A
2016;14;;06;C02;;26.0;A
2016;14;;06;66;;252.0;A
2016;14;;06;00;;550.0;A
2016;18;;00;04;;18.0;A
2016;18;;00;11;;16.0;A
2016;18;;00;14;;11.0;A
2016;18;;00;18;;1058.0;A
2016;18;;00;21;;1.0;A
2016;18;;00;23;;19.0;A
2016;18;;00;29;;16.0;A
2016;18;;00;41;;16.0;A
2016;18;;00;C01;;1155.0;A
2016;18;;00;C02;;170.0;A
2016;18;;00;66;;2560.0;A
2016;18;;00;00;;3885.0;A
2016;18;;01;04;;8.0;A
2016;18;;01;11;;7.0;A
2016;18;;01;14;;6.0;A
2016;18;;01;18;;572.0;A
2016;18;;01;21;;1.0;A
2016;18;;01;23;;8.0;A
2016;18;;01;29;;6.0;A
2016;18;;01;41;;9.0;A
2016;18;;01;C01;;617.0;A
2016;18;;01;C02;;91.0;A
2016;18;;01;66;;1247.0;A
2016;18;;01;00;;1955.0;A
2016;18;;06;04;;10.0;A
2016;18;;06;11;;9.0;A
2016;18;;06;14;;5.0;A
2016;18;;06;18;;486.0;A
2016;18;;06;23;;11.0;A
2016;18;;06;29;;10.0;A
2016;18;;06;41;;7.0;A
2016;18;;06;C01;;538.0;A
2016;18;;06;C02;;79.0;A
2016;18;;06;66;;1313.0;A
2016;18;;06;00;;1930.0;A
2016;21;;00;11;;4.0;A
2016;21;;00;14;;3.0;A
2016;21;;00;18;;2.0;A
2016;21;;00;21;;297.0;A
2016;21;;00;23;;2.0;A
2016;21;;00;29;;4.0;A
2016;21;;00;41;;20.0;A
2016;21;;00;C01;;332.0;A
2016;21;;00;C02;;33.0;A
2016;21;;00;66;;286.0;A
2016;21;;00;00;;651.0;A
2016;21;;01;11;;2.0;A
2016;21;;01;14;;2.0;A
2016;21;;01;21;;158.0;A
2016;21;;01;29;;2.0;A
2016;21;;01;41;;11.0;A
2016;21;;01;C01;;175.0;A
2016;21;;01;C02;;21.0;A
2016;21;;01;66;;146.0;A
2016;21;;01;00;;342.0;A
2016;21;;06;11;;2.0;A
2016;21;;06;14;;1.0;A
2016;21;;06;18;;2.0;A
2016;21;;06;21;;139.0;A
2016;21;;06;23;;2.0;A
2016;21;;06;29;;2.0;A
2016;21;;06;41;;9.0;A
2016;21;;06;C01;;157.0;A
2016;21;;06;C02;;12.0;A
2016;21;;06;66;;140.0;A
2016;21;;06;00;;309.0;A
2016;23;;00;04;;1.0;A
2016;23;;00;11;;3.0;A
2016;23;;00;14;;5.0;A
2016;23;;00;18;;12.0;A
2016;23;;00;23;;461.0;A
2016;23;;00;29;;2.0;A
2016;23;;00;41;;2.0;A
2016;23;;00;C01;;486.0;A
2016;23;;00;C02;;55.0;A
2016;23;;00;66;;499.0;A
2016;23;;00;NC000;;2.0;A
2016;23;;00;00;;1042.0;A
2016;23;;01;04;;1.0;A
2016;23;;01;11;;3.0;A
2016;23;;01;14;;2.0;A
2016;23;;01;18;;7.0;A
2016;23;;01;23;;241.0;A
2016;23;;01;41;;2.0;A
2016;23;;01;C01;;256.0;A
2016;23;;01;C02;;30.0;A
2016;23;;01;66;;256.0;A
2016;23;;01;NC000;;1.0;A
2016;23;;01;00;;543.0;A
2016;23;;06;14;;3.0;A
2016;23;;06;18;;5.0;A
2016;23;;06;23;;220.0;A
2016;23;;06;29;;2.0;A
2016;23;;06;C01;;230.0;A
2016;23;;06;C02;;25.0;A
2016;23;;06;66;;243.0;A
