TEMPORAL;SEXO;TERRITORIO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
1998;00;C02;04;;1723.2017583;A
1998;00;C02;11;;2518.7001171;A
1998;00;C02;14;;6857.1663312;A
1998;00;C02;18;;4052.2394702;A
1998;00;C02;21;;797.9774701;A
1998;00;C02;23;;5794.7179179;A
1998;00;C02;29;;2548.4090088;A
1998;00;C02;41;;3242.877034;A
1998;00;C02;C01;;27535.2891076;A
1998;00;C03;04;;447.7933811;A
1998;00;C03;11;;927.9380051;A
1998;00;C03;14;;3215.1018522;A
1998;00;C03;18;;1798.2603832;A
1998;00;C03;21;;597.9606047;A
1998;00;C03;23;;3190.3739123;A
1998;00;C03;29;;2090.5342023;A
1998;00;C03;41;;1306.6513486;A
1998;00;C03;C01;;13574.6136895;A
1998;00;C04;04;;3200.5617188;A
1998;00;C04;11;;7644.6196366;A
1998;00;C04;14;;10369.0607548;A
1998;00;C04;18;;24301.6463686;A
1998;00;C04;21;;3321.6728705;A
1998;00;C04;23;;13407.653096;A
1998;00;C04;29;;5631.349954;A
1998;00;C04;41;;13586.2802516;A
1998;00;C04;C01;;81462.8446509;A
1998;00;C05;04;;1360.3995675;A
1998;00;C05;11;;8824.6835459;A
1998;00;C05;14;;3466.1553251;A
1998;00;C05;18;;3733.6830586;A
1998;00;C05;21;;1472.7374658;A
1998;00;C05;23;;2215.2874571;A
1998;00;C05;29;;4340.0466174;A
1998;00;C05;41;;6378.9084949;A
1998;00;C05;C01;;31791.9015323;A
1998;00;C06;04;;151.9990356;A
1998;00;C06;11;;1163.0398777;A
1998;00;C06;14;;555.0359794;A
1998;00;C06;18;;469.0231064;A
1998;00;C06;21;;547.9987908;A
1998;00;C06;23;;850.0292376;A
1998;00;C06;29;;787.9928475;A
1998;00;C06;41;;759.0043572;A
1998;00;C06;C01;;5284.1232322;A
1998;00;C07;04;;1184.2708094;A
1998;00;C07;11;;2205.3722992;A
1998;00;C07;14;;7582.3152607;A
1998;00;C07;18;;3198.9382069;A
1998;00;C07;21;;1072.987609;A
1998;00;C07;23;;9637.5587369;A
1998;00;C07;29;;2141.5258673;A
1998;00;C07;41;;3198.5770144;A
1998;00;C07;C01;;30221.5458038;A
1998;00;C08;04;;878.3788364;A
1998;00;C08;11;;2233.1217737;A
1998;00;C08;14;;3102.6393004;A
1998;00;C08;18;;2513.3659045;A
1998;00;C08;21;;1010.0873791;A
1998;00;C08;23;;3897.5170053;A
1998;00;C08;29;;2060.0624139;A
1998;00;C08;41;;2850.2635936;A
1998;00;C08;C01;;18545.4362069;A
1998;00;C09;04;;91445.2497353;A
1998;00;C09;11;;44837.8058016;A
1998;00;C09;14;;148116.4998514;A
1998;00;C09;18;;159034.592201;A
1998;00;C09;21;;29155.2339894;A
1998;00;C09;23;;148898.4957986;A
1998;00;C09;29;;73890.4178885;A
1998;00;C09;41;;104527.7914745;A
1998;00;C09;C01;;799906.0867403;A
1998;00;C10;04;;16460.1441503;A
1998;00;C10;11;;15433.954045;A
1998;00;C10;14;;37072.9938973;A
1998;00;C10;18;;41271.5692577;A
1998;00;C10;21;;4447.1169348;A
1998;00;C10;23;;71864.2600248;A
1998;00;C10;29;;14243.4789049;A
1998;00;C10;41;;21357.3044796;A
1998;00;C10;C01;;222150.8216944;A
1998;00;C11;04;;433.2077842;A
1998;00;C11;11;;1864.7561113;A
1998;00;C11;14;;3457.9630983;A
1998;00;C11;18;;1429.6433906;A
1998;00;C11;21;;2331.0828458;A
1998;00;C11;23;;1757.1529357;A
1998;00;C11;29;;1224.5776194;A
1998;00;C11;41;;6010.7893201;A
1998;00;C11;C01;;18509.1731054;A
1998;00;C12;04;;525.6095282;A
1998;00;C12;11;;3057.3358241;A
1998;00;C12;14;;1135.1242168;A
1998;00;C12;18;;1024.0447541;A
1998;00;C12;21;;737.4812419;A
1998;00;C12;23;;1197.1885453;A
1998;00;C12;29;;1204.9245789;A
1998;00;C12;41;;1578.6600337;A
1998;00;C12;C01;;10460.368723;A
1998;00;C13;04;;10087.0027025;A
1998;00;C13;11;;27262.6089624;A
1998;00;C13;14;;65634.294942;A
1998;00;C13;18;;25543.4456411;A
1998;00;C13;21;;12354.8989304;A
1998;00;C13;23;;92964.128173;A
1998;00;C13;29;;23467.5699127;A
1998;00;C13;41;;37456.0044256;A
1998;00;C13;C01;;294769.9536897;A
1998;00;C14;04;;11190.846438;A
1998;00;C14;11;;2587.9844913;A
1998;00;C14;14;;2758.0011168;A
1998;00;C14;18;;10795.9373294;A
1998;00;C14;21;;530.9919239;A
1998;00;C14;23;;6805.0194399;A
1998;00;C14;29;;1804.9495951;A
1998;00;C14;41;;2454.9423227;A
1998;00;C14;C01;;38928.6726571;A
1998;00;C15;04;;477.2132404;A
1998;00;C15;11;;1242.3016646;A
1998;00;C15;14;;1333.8031016;A
1998;00;C15;18;;1536.882129;A
1998;00;C15;21;;223.6886619;A
1998;00;C15;23;;7104.1876067;A
1998;00;C15;29;;1092.8403213;A
1998;00;C15;41;;944.7319693;A
1998;00;C15;C01;;13955.6486948;A
1998;00;C16;04;;987.9736509;A
1998;00;C16;11;;3916.1668337;A
1998;00;C16;14;;7414.6133956;A
1998;00;C16;18;;6025.7924284;A
1998;00;C16;21;;2591.724376;A
1998;00;C16;23;;10148.4729843;A
1998;00;C16;29;;8621.8057922;A
1998;00;C16;41;;4261.8895404;A
1998;00;C16;C01;;43968.4390015;A
1998;00;C17;04;;108.8683706;A
1998;00;C17;11;;401.6774451;A
1998;00;C17;14;;476.2916136;A
1998;00;C17;18;;441.4747542;A
1998;00;C17;21;;139.8177808;A
1998;00;C17;23;;1091.2658668;A
1998;00;C17;29;;401.850604;A
1998;00;C17;41;;591.4151338;A
1998;00;C17;C01;;3652.6615689;A
1998;00;C18;04;;1728.9946808;A
1998;00;C18;11;;3960.9255312;A
1998;00;C18;14;;894.9880318;A
1998;00;C18;18;;1854.9587762;A
1998;00;C18;21;;359.993351;A
1998;00;C18;23;;648.993351;A
1998;00;C18;29;;4540.9654252;A
1998;00;C18;41;;1431.9627656;A
1998;00;C18;C01;;15421.7819128;A
1998;00;108;04;;142391.7153883;A
1998;00;108;11;;130082.9919656;A
1998;00;108;14;;303442.048069;A
1998;00;108;18;;289025.4971601;A
1998;00;108;21;;61693.4522259;A
1998;00;108;23;;381472.3020892;A
1998;00;108;29;;150093.3015534;A
1998;00;108;41;;211938.0535596;A
1998;00;108;C01;;1670139.3620111;A
1998;01;C02;04;;832.7205687;A
1998;01;C02;11;;1277.3959211;A
1998;01;C02;14;;3386.3859596;A
1998;01;C02;18;;2019.8227295;A
1998;01;C02;21;;388.1062404;A
1998;01;C02;23;;2878.6840052;A
1998;01;C02;29;;1315.7585825;A
1998;01;C02;41;;1599.6539104;A
1998;01;C02;C01;;13698.5279174;A
1998;01;C03;04;;213.4180213;A
1998;01;C03;11;;428.3467522;A
1998;01;C03;14;;1561.5728995;A
1998;01;C03;18;;885.5829608;A
1998;01;C03;21;;283.3833846;A
1998;01;C03;23;;1532.4438663;A
1998;01;C03;29;;1021.5419453;A
1998;01;C03;41;;632.7876033;A
1998;01;C03;C01;;6559.0774333;A
1998;01;C04;04;;1657.5861429;A
1998;01;C04;11;;3932.6302772;A
1998;01;C04;14;;5194.3197614;A
1998;01;C04;18;;12175.6574149;A
1998;01;C04;21;;1685.9986711;A
1998;01;C04;23;;6716.4693517;A
1998;01;C04;29;;2849.6291553;A
1998;01;C04;41;;6840.7875908;A
1998;01;C04;C01;;41053.0783653;A
1998;01;C05;04;;794.6363739;A
1998;01;C05;11;;4761.5507711;A
1998;01;C05;14;;1941.6457052;A
1998;01;C05;18;;2154.9637858;A
1998;01;C05;21;;790.1284179;A
1998;01;C05;23;;1302.7387579;A
1998;01;C05;29;;2392.9975826;A
1998;01;C05;41;;3607.35109;A
1998;01;C05;C01;;17746.0124844;A
1998;01;C06;04;;75.9990356;A
1998;01;C06;11;;545.0019135;A
1998;01;C06;14;;264.990387;A
1998;01;C06;18;;254.9936675;A
1998;01;C06;21;;265.9987908;A
1998;01;C06;23;;419.9912734;A
1998;01;C06;29;;413.9976246;A
1998;01;C06;41;;366.9971068;A
1998;01;C06;C01;;2607.9697992;A
1998;01;C07;04;;543.8595492;A
1998;01;C07;11;;1007.7133284;A
1998;01;C07;14;;3600.0066288;A
1998;01;C07;18;;1547.3374461;A
1998;01;C07;21;;527.512213;A
1998;01;C07;23;;4563.7569909;A
1998;01;C07;29;;1062.2228452;A
1998;01;C07;41;;1531.3305575;A
1998;01;C07;C01;;14383.7395591;A
1998;01;C08;04;;423.2931193;A
1998;01;C08;11;;1033.3908361;A
1998;01;C08;14;;1509.963873;A
1998;01;C08;18;;1277.1141739;A
1998;01;C08;21;;463.1819591;A
1998;01;C08;23;;1879.2885893;A
1998;01;C08;29;;1005.4151645;A
1998;01;C08;41;;1368.1239279;A
1998;01;C08;C01;;8959.7716431;A
1998;01;C09;04;;41182.9741131;A
1998;01;C09;11;;21579.165492;A
1998;01;C09;14;;71220.9094589;A
1998;01;C09;18;;75973.927792;A
1998;01;C09;21;;13937.6567843;A
1998;01;C09;23;;71898.5829382;A
1998;01;C09;29;;35374.5177804;A
1998;01;C09;41;;50242.349207;A
1998;01;C09;C01;;381410.0835659;A
1998;01;C10;04;;7619.4971578;A
1998;01;C10;11;;7502.578571;A
1998;01;C10;14;;17504.1510452;A
1998;01;C10;18;;19968.0146174;A
1998;01;C10;21;;2109.6582356;A
1998;01;C10;23;;34096.4526336;A
1998;01;C10;29;;6754.0064138;A
1998;01;C10;41;;10325.2302914;A
1998;01;C10;C01;;105879.5889658;A
1998;01;C11;04;;202.869058;A
1998;01;C11;11;;877.9859941;A
1998;01;C11;14;;1717.8223961;A
1998;01;C11;18;;726.1937847;A
1998;01;C11;21;;1068.9187132;A
1998;01;C11;23;;874.5058742;A
1998;01;C11;29;;595.7229435;A
1998;01;C11;41;;2961.5601547;A
1998;01;C11;C01;;9025.5789185;A
1998;01;C12;04;;285.1065107;A
1998;01;C12;11;;1528.7702394;A
1998;01;C12;14;;625.0491392;A
1998;01;C12;18;;532.0422914;A
1998;01;C12;21;;353.7288396;A
1998;01;C12;23;;634.3654796;A
1998;01;C12;29;;607.3487073;A
1998;01;C12;41;;796.7816823;A
1998;01;C12;C01;;5363.1928895;A
1998;01;C13;04;;4738.992457;A
1998;01;C13;11;;12590.940198;A
1998;01;C13;14;;30167.1705889;A
1998;01;C13;18;;12068.384295;A
1998;01;C13;21;;5417.1635023;A
1998;01;C13;23;;42622.031916;A
1998;01;C13;29;;10850.1226055;A
1998;01;C13;41;;17401.5811712;A
1998;01;C13;C01;;135856.3867339;A
1998;01;C14;04;;5171.8775481;A
1998;01;C14;11;;1216.9885852;A
1998;01;C14;14;;1305.9916114;A
1998;01;C14;18;;4901.9108112;A
1998;01;C14;21;;247.9954587;A
1998;01;C14;23;;3300.9937697;A
1998;01;C14;29;;888.97164;A
1998;01;C14;41;;1213.9568371;A
1998;01;C14;C01;;18248.6862614;A
1998;01;C15;04;;239.9928944;A
1998;01;C15;11;;638.7484081;A
1998;01;C15;14;;663.6653054;A
1998;01;C15;18;;770.1570121;A
1998;01;C15;21;;139.7700913;A
1998;01;C15;23;;3537.3190151;A
1998;01;C15;29;;540.3365407;A
1998;01;C15;41;;470.7822349;A
1998;01;C15;C01;;7000.771502;A
1998;01;C16;04;;471.7974769;A
1998;01;C16;11;;1912.8813802;A
1998;01;C16;14;;3655.4852284;A
1998;01;C16;18;;2983.7949366;A
1998;01;C16;21;;1222.8784679;A
1998;01;C16;23;;5081.4165307;A
1998;01;C16;29;;4299.0491199;A
1998;01;C16;41;;2095.4764056;A
1998;01;C16;C01;;21722.7795462;A
1998;01;C17;04;;66.0088821;A
1998;01;C17;11;;215.2582793;A
1998;01;C17;14;;260.6875632;A
1998;01;C17;18;;236.5757718;A
1998;01;C17;21;;66.7938443;A
1998;01;C17;23;;551.781657;A
1998;01;C17;29;;216.5433192;A
1998;01;C17;41;;315.6935553;A
1998;01;C17;C01;;1929.3428722;A
1998;01;C18;04;;766.9946808;A
1998;01;C18;11;;1954.9255312;A
1998;01;C18;14;;485.9880318;A
1998;01;C18;18;;921.9587762;A
1998;01;C18;21;;180.993351;A
1998;01;C18;23;;340.993351;A
1998;01;C18;29;;2171.9654252;A
1998;01;C18;41;;777.9627656;A
1998;01;C18;C01;;7601.7819128;A
1998;01;108;04;;65287.6235898;A
1998;01;108;11;;63004.2724781;A
1998;01;108;14;;145065.805583;A
1998;01;108;18;;139398.4322669;A
1998;01;108;21;;29149.8669651;A
1998;01;108;23;;182231.8159998;A
1998;01;108;29;;72360.1473955;A
1998;01;108;41;;102548.4060918;A
1998;01;108;C01;;799046.37037;A
1998;06;C02;04;;890.4811896;A
1998;06;C02;11;;1241.304196;A
1998;06;C02;14;;3470.7803716;A
1998;06;C02;18;;2032.4167407;A
1998;06;C02;21;;409.8712297;A
1998;06;C02;23;;2916.0339127;A
1998;06;C02;29;;1232.6504263;A
1998;06;C02;41;;1643.2231236;A
1998;06;C02;C01;;13836.7611902;A
1998;06;C03;04;;234.3753598;A
1998;06;C03;11;;499.5912529;A
1998;06;C03;14;;1653.5289527;A
1998;06;C03;18;;912.6774224;A
1998;06;C03;21;;314.5772201;A
1998;06;C03;23;;1657.930046;A
1998;06;C03;29;;1068.992257;A
1998;06;C03;41;;673.8637453;A
1998;06;C03;C01;;7015.5362562;A
1998;06;C04;04;;1542.9755759;A
1998;06;C04;11;;3711.9893594;A
1998;06;C04;14;;5174.7409934;A
1998;06;C04;18;;12125.9889537;A
1998;06;C04;21;;1635.6741994;A
1998;06;C04;23;;6691.1837443;A
1998;06;C04;29;;2781.7207987;A
1998;06;C04;41;;6745.4926608;A
1998;06;C04;C01;;40409.7662856;A
1998;06;C05;04;;565.7631936;A
1998;06;C05;11;;4063.1327748;A
1998;06;C05;14;;1524.5096199;A
1998;06;C05;18;;1578.7192728;A
1998;06;C05;21;;682.6090479;A
1998;06;C05;23;;912.5486992;A
1998;06;C05;29;;1947.0490348;A
1998;06;C05;41;;2771.5574049;A
1998;06;C05;C01;;14045.8890479;A
1998;06;C06;04;;76.0;A
