TEMPORAL;EDAD;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
1998;00;00;04;;142391.7153883;A
1998;00;00;11;;130082.9919656;A
1998;00;00;14;;303442.048069;A
1998;00;00;18;;289025.4971601;A
1998;00;00;21;;61693.4522259;A
1998;00;00;23;;381472.3020892;A
1998;00;00;29;;150093.3015534;A
1998;00;00;41;;211938.0535596;A
1998;00;00;C01;;1670139.3620111;A
1998;00;01;04;;65287.6235898;A
1998;00;01;11;;63004.2724781;A
1998;00;01;14;;145065.805583;A
1998;00;01;18;;139398.4322669;A
1998;00;01;21;;29149.8669651;A
1998;00;01;23;;182231.8159998;A
1998;00;01;29;;72360.1473955;A
1998;00;01;41;;102548.4060918;A
1998;00;01;C01;;799046.37037;A
1998;00;06;04;;77104.0917985;A
1998;00;06;11;;67078.7194875;A
1998;00;06;14;;158376.242486;A
1998;00;06;18;;149627.0648932;A
1998;00;06;21;;32543.5852608;A
1998;00;06;23;;199240.4860894;A
1998;00;06;29;;77733.1541579;A
1998;00;06;41;;109389.6474678;A
1998;00;06;C01;;871092.9916411;A
1998;000004;00;04;;432.6486488;A
1998;000004;00;11;;1333.3210514;A
1998;000004;00;14;;850.4308629;A
1998;000004;00;18;;1196.3911632;A
1998;000004;00;21;;221.8275574;A
1998;000004;00;23;;847.9074423;A
1998;000004;00;29;;960.3498439;A
1998;000004;00;41;;1319.6180417;A
1998;000004;00;C01;;7162.4946116;A
1998;000004;01;04;;219.6506989;A
1998;000004;01;11;;666.2128994;A
1998;000004;01;14;;422.5364639;A
1998;000004;01;18;;590.7414693;A
1998;000004;01;21;;115.0227167;A
1998;000004;01;23;;425.309599;A
1998;000004;01;29;;487.450644;A
1998;000004;01;41;;643.7404074;A
1998;000004;01;C01;;3570.6648986;A
1998;000004;06;04;;212.9979499;A
1998;000004;06;11;;667.108152;A
1998;000004;06;14;;427.894399;A
1998;000004;06;18;;605.6496939;A
1998;000004;06;21;;106.8048407;A
1998;000004;06;23;;422.5978433;A
1998;000004;06;29;;472.8991999;A
1998;000004;06;41;;675.8776343;A
1998;000004;06;C01;;3591.829713;A
1998;005009;00;04;;837.6882532;A
1998;005009;00;11;;2367.9476172;A
1998;005009;00;14;;1647.5948765;A
1998;005009;00;18;;2060.5186238;A
1998;005009;00;21;;479.8017004;A
1998;005009;00;23;;1835.562866;A
1998;005009;00;29;;1643.6716762;A
1998;005009;00;41;;2529.31899;A
1998;005009;00;C01;;13402.1046033;A
1998;005009;01;04;;450.9277981;A
1998;005009;01;11;;1243.9867362;A
1998;005009;01;14;;847.5929875;A
1998;005009;01;18;;1041.2365961;A
1998;005009;01;21;;232.9112478;A
1998;005009;01;23;;960.5433417;A
1998;005009;01;29;;842.5102498;A
1998;005009;01;41;;1274.8910149;A
1998;005009;01;C01;;6894.5999721;A
1998;005009;06;04;;386.7604551;A
1998;005009;06;11;;1123.960881;A
1998;005009;06;14;;800.001889;A
