TEMPORAL;TERRITORIO;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
2009;ES61;_T;45230;ANDALUCES;10466.0;A
2009;ES61;_T;45276;ANDALUCES;10992.0;A
2009;ES61;_T;45354;ANDALUCES;8459.0;A
2009;ES61;_T;45576;ANDALUCES;15153.0;A
2009;ES61;_T;45657;ANDALUCES;2911.0;A
2009;ES61;_T;45765;ANDALUCES;5486.0;A
2009;ES61;_T;45873;ANDALUCES;12490.0;A
2009;ES61;_T;45980;ANDALUCES;11619.0;A
2009;ES61;_T;45981;ANDALUCES;77576.0;A
2009;ES61;_T;45984;ANDALUCES;5449.0;A
2009;ES61;_T;46350;ANDALUCES;85898.0;A
2009;ES61;_T;46352;ANDALUCES;2955.0;A
2009;ES61;_T;46351;ANDALUCES;171878.0;A
2009;ES61;M;45230;ANDALUCES;5034.0;A
2009;ES61;M;45276;ANDALUCES;5224.0;A
2009;ES61;M;45354;ANDALUCES;4239.0;A
2009;ES61;M;45576;ANDALUCES;7406.0;A
2009;ES61;M;45657;ANDALUCES;1438.0;A
2009;ES61;M;45765;ANDALUCES;2676.0;A
2009;ES61;M;45873;ANDALUCES;6077.0;A
2009;ES61;M;45980;ANDALUCES;5565.0;A
2009;ES61;M;45981;ANDALUCES;37659.0;A
2009;ES61;M;45984;ANDALUCES;2576.0;A
2009;ES61;M;46350;ANDALUCES;42612.0;A
2009;ES61;M;46352;ANDALUCES;1513.0;A
2009;ES61;M;46351;ANDALUCES;84360.0;A
2009;ES61;F;45230;ANDALUCES;5432.0;A
2009;ES61;F;45276;ANDALUCES;5768.0;A
2009;ES61;F;45354;ANDALUCES;4220.0;A
2009;ES61;F;45576;ANDALUCES;7747.0;A
2009;ES61;F;45657;ANDALUCES;1473.0;A
2009;ES61;F;45765;ANDALUCES;2810.0;A
2009;ES61;F;45873;ANDALUCES;6413.0;A
2009;ES61;F;45980;ANDALUCES;6054.0;A
2009;ES61;F;45981;ANDALUCES;39917.0;A
2009;ES61;F;45984;ANDALUCES;2873.0;A
2009;ES61;F;46350;ANDALUCES;43286.0;A
2009;ES61;F;46352;ANDALUCES;1442.0;A
2009;ES61;F;46351;ANDALUCES;87518.0;A
2009;ES611;_T;45230;ANDALUCES;10281.0;A
2009;ES611;_T;45276;ANDALUCES;10.0;A
2009;ES611;_T;45354;ANDALUCES;20.0;A
2009;ES611;_T;45576;ANDALUCES;123.0;A
2009;ES611;_T;45657;ANDALUCES;6.0;A
2009;ES611;_T;45765;ANDALUCES;20.0;A
2009;ES611;_T;45873;ANDALUCES;31.0;A
2009;ES611;_T;45980;ANDALUCES;21.0;A
2009;ES611;_T;45981;ANDALUCES;10512.0;A
2009;ES611;_T;45984;ANDALUCES;496.0;A
2009;ES611;_T;46350;ANDALUCES;14631.0;A
2009;ES611;_T;46352;ANDALUCES;422.0;A
2009;ES611;_T;46351;ANDALUCES;26061.0;A
2009;ES611;M;45230;ANDALUCES;4942.0;A
2009;ES611;M;45276;ANDALUCES;4.0;A
2009;ES611;M;45354;ANDALUCES;12.0;A
2009;ES611;M;45576;ANDALUCES;63.0;A
2009;ES611;M;45657;ANDALUCES;4.0;A
2009;ES611;M;45765;ANDALUCES;8.0;A
2009;ES611;M;45873;ANDALUCES;21.0;A
2009;ES611;M;45980;ANDALUCES;10.0;A
2009;ES611;M;45981;ANDALUCES;5064.0;A
2009;ES611;M;45984;ANDALUCES;258.0;A
2009;ES611;M;46350;ANDALUCES;7002.0;A
2009;ES611;M;46352;ANDALUCES;225.0;A
2009;ES611;M;46351;ANDALUCES;12549.0;A
2009;ES611;F;45230;ANDALUCES;5339.0;A
2009;ES611;F;45276;ANDALUCES;6.0;A
2009;ES611;F;45354;ANDALUCES;8.0;A
2009;ES611;F;45576;ANDALUCES;60.0;A
2009;ES611;F;45657;ANDALUCES;2.0;A
2009;ES611;F;45765;ANDALUCES;12.0;A
2009;ES611;F;45873;ANDALUCES;10.0;A
2009;ES611;F;45980;ANDALUCES;11.0;A
