TEMPORAL;TERRITORIO_1;TERRITORIO;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
2009;66;;00;04;;10466.0;A
2009;66;;00;11;;10992.0;A
2009;66;;00;14;;8459.0;A
2009;66;;00;18;;15153.0;A
2009;66;;00;21;;2911.0;A
2009;66;;00;23;;5486.0;A
2009;66;;00;29;;12490.0;A
2009;66;;00;41;;11619.0;A
2009;66;;00;C01;;77576.0;A
2009;66;;00;C02;;5449.0;A
2009;66;;00;66;;85898.0;A
2009;66;;00;NC000;;2955.0;A
2009;66;;00;00;;171878.0;A
2009;66;04;00;04;;10281.0;A
2009;66;04;00;11;;10.0;A
2009;66;04;00;14;;20.0;A
2009;66;04;00;18;;123.0;A
2009;66;04;00;21;;6.0;A
2009;66;04;00;23;;20.0;A
2009;66;04;00;29;;31.0;A
2009;66;04;00;41;;21.0;A
2009;66;04;00;C01;;10512.0;A
2009;66;04;00;C02;;496.0;A
2009;66;04;00;66;;14631.0;A
2009;66;04;00;NC000;;422.0;A
2009;66;04;00;00;;26061.0;A
2009;66;11;00;04;;12.0;A
2009;66;11;00;11;;10426.0;A
2009;66;11;00;14;;45.0;A
2009;66;11;00;18;;59.0;A
2009;66;11;00;21;;27.0;A
2009;66;11;00;23;;33.0;A
2009;66;11;00;29;;175.0;A
2009;66;11;00;41;;219.0;A
2009;66;11;00;C01;;10996.0;A
2009;66;11;00;C02;;800.0;A
2009;66;11;00;66;;9545.0;A
2009;66;11;00;NC000;;296.0;A
2009;66;11;00;00;;21637.0;A
2009;66;14;00;04;;14.0;A
2009;66;14;00;11;;14.0;A
2009;66;14;00;14;;8000.0;A
2009;66;14;00;18;;44.0;A
2009;66;14;00;21;;12.0;A
2009;66;14;00;23;;49.0;A
2009;66;14;00;29;;29.0;A
2009;66;14;00;41;;68.0;A
2009;66;14;00;C01;;8230.0;A
2009;66;14;00;C02;;396.0;A
2009;66;14;00;66;;6226.0;A
2009;66;14;00;NC000;;226.0;A
2009;66;14;00;00;;15078.0;A
2009;66;18;00;04;;77.0;A
2009;66;18;00;11;;46.0;A
2009;66;18;00;14;;32.0;A
2009;66;18;00;18;;14600.0;A
2009;66;18;00;21;;9.0;A
2009;66;18;00;23;;129.0;A
2009;66;18;00;29;;73.0;A
2009;66;18;00;41;;50.0;A
2009;66;18;00;C01;;15016.0;A
2009;66;18;00;C02;;739.0;A
2009;66;18;00;66;;17639.0;A
2009;66;18;00;NC000;;677.0;A
2009;66;18;00;00;;34071.0;A
2009;66;21;00;04;;3.0;A
2009;66;21;00;11;;15.0;A
2009;66;21;00;14;;10.0;A
2009;66;21;00;18;;3.0;A
2009;66;21;00;21;;2684.0;A
2009;66;21;00;23;;3.0;A
2009;66;21;00;29;;5.0;A
2009;66;21;00;41;;63.0;A
2009;66;21;00;C01;;2786.0;A
2009;66;21;00;C02;;202.0;A
2009;66;21;00;66;;2653.0;A
2009;66;21;00;NC000;;67.0;A
2009;66;21;00;00;;5708.0;A
2009;66;23;00;04;;8.0;A
2009;66;23;00;11;;5.0;A
2009;66;23;00;14;;29.0;A
2009;66;23;00;18;;50.0;A
2009;66;23;00;21;;4.0;A
2009;66;23;00;23;;5085.0;A
2009;66;23;00;29;;16.0;A
2009;66;23;00;41;;14.0;A
2009;66;23;00;C01;;5211.0;A
2009;66;23;00;C02;;206.0;A
2009;66;23;00;66;;3990.0;A
2009;66;23;00;NC000;;180.0;A
2009;66;23;00;00;;9587.0;A
2009;66;29;00;04;;37.0;A
2009;66;29;00;11;;259.0;A
2009;66;29;00;14;;189.0;A
2009;66;29;00;18;;193.0;A
2009;66;29;00;21;;14.0;A
2009;66;29;00;23;;95.0;A
2009;66;29;00;29;;12072.0;A
2009;66;29;00;41;;162.0;A
2009;66;29;00;C01;;13021.0;A
2009;66;29;00;C02;;1604.0;A
2009;66;29;00;66;;19449.0;A
2009;66;29;00;NC000;;649.0;A
2009;66;29;00;00;;34723.0;A
2009;66;41;00;04;;34.0;A
2009;66;41;00;11;;217.0;A
2009;66;41;00;14;;134.0;A
2009;66;41;00;18;;81.0;A
2009;66;41;00;21;;155.0;A
2009;66;41;00;23;;72.0;A
2009;66;41;00;29;;89.0;A
2009;66;41;00;41;;11022.0;A
2009;66;41;00;C01;;11804.0;A
2009;66;41;00;C02;;1006.0;A
2009;66;41;00;66;;11765.0;A
2009;66;41;00;NC000;;438.0;A
2009;66;41;00;00;;25013.0;A
2009;6601;;00;04;;5508.0;A
2009;6601;;00;11;;7838.0;A
2009;6601;;00;14;;6709.0;A
2009;6601;;00;18;;9101.0;A
2009;6601;;00;21;;2339.0;A
2009;6601;;00;23;;4200.0;A
2009;6601;;00;29;;8398.0;A
2009;6601;;00;41;;8261.0;A
2009;6601;;00;C01;;52354.0;A
2009;6601;;00;C02;;3815.0;A
2009;6601;;00;66;;38231.0;A
2009;6601;;00;NC000;;1725.0;A
2009;6601;;00;00;;96125.0;A
2009;6601;04;00;04;;5385.0;A
2009;6601;04;00;11;;9.0;A
2009;6601;04;00;14;;18.0;A
2009;6601;04;00;18;;89.0;A
2009;6601;04;00;21;;5.0;A
2009;6601;04;00;23;;16.0;A
2009;6601;04;00;29;;23.0;A
2009;6601;04;00;41;;18.0;A
2009;6601;04;00;C01;;5563.0;A
2009;6601;04;00;C02;;376.0;A
