D_TEMPORAL_0;D_LUGARNACIMIEN_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2009;45230;3691;2352;Andaluces;10281.0;A
2009;45230;3691;2402;Andaluces;12.0;A
2009;45230;3691;2482;Andaluces;14.0;A
2009;45230;3691;2713;Andaluces;77.0;A
2009;45230;3691;2797;Andaluces;3.0;A
2009;45230;3691;2911;Andaluces;8.0;A
2009;45230;3691;3023;Andaluces;37.0;A
2009;45230;3691;3142;Andaluces;34.0;A
2009;45230;3691;3143;Andaluces;10466.0;A
2009;45230;3691;3160;Andaluces;1113.0;A
2009;45230;3691;3676;Andaluces;11579.0;A
2009;45230;3689;2352;Andaluces;4942.0;A
2009;45230;3689;2402;Andaluces;5.0;A
2009;45230;3689;2482;Andaluces;8.0;A
2009;45230;3689;2713;Andaluces;24.0;A
2009;45230;3689;2797;Andaluces;2.0;A
2009;45230;3689;2911;Andaluces;6.0;A
2009;45230;3689;3023;Andaluces;26.0;A
2009;45230;3689;3142;Andaluces;21.0;A
2009;45230;3689;3143;Andaluces;5034.0;A
2009;45230;3689;3160;Andaluces;571.0;A
2009;45230;3689;3676;Andaluces;5605.0;A
2009;45230;3690;2352;Andaluces;5339.0;A
2009;45230;3690;2402;Andaluces;7.0;A
2009;45230;3690;2482;Andaluces;6.0;A
2009;45230;3690;2713;Andaluces;53.0;A
2009;45230;3690;2797;Andaluces;1.0;A
2009;45230;3690;2911;Andaluces;2.0;A
2009;45230;3690;3023;Andaluces;11.0;A
2009;45230;3690;3142;Andaluces;13.0;A
2009;45230;3690;3143;Andaluces;5432.0;A
2009;45230;3690;3160;Andaluces;542.0;A
2009;45230;3690;3676;Andaluces;5974.0;A
2009;45276;3691;2352;Andaluces;10.0;A
2009;45276;3691;2402;Andaluces;10426.0;A
2009;45276;3691;2482;Andaluces;14.0;A
2009;45276;3691;2713;Andaluces;46.0;A
2009;45276;3691;2797;Andaluces;15.0;A
2009;45276;3691;2911;Andaluces;5.0;A
2009;45276;3691;3023;Andaluces;259.0;A
2009;45276;3691;3142;Andaluces;217.0;A
2009;45276;3691;3143;Andaluces;10992.0;A
2009;45276;3691;3160;Andaluces;1192.0;A
2009;45276;3691;3676;Andaluces;12184.0;A
2009;45276;3689;2352;Andaluces;4.0;A
2009;45276;3689;2402;Andaluces;4939.0;A
2009;45276;3689;2482;Andaluces;8.0;A
2009;45276;3689;2713;Andaluces;24.0;A
2009;45276;3689;2797;Andaluces;10.0;A
2009;45276;3689;2911;Andaluces;3.0;A
2009;45276;3689;3023;Andaluces;126.0;A
2009;45276;3689;3142;Andaluces;110.0;A
2009;45276;3689;3143;Andaluces;5224.0;A
2009;45276;3689;3160;Andaluces;570.0;A
2009;45276;3689;3676;Andaluces;5794.0;A
2009;45276;3690;2352;Andaluces;6.0;A
2009;45276;3690;2402;Andaluces;5487.0;A
2009;45276;3690;2482;Andaluces;6.0;A
2009;45276;3690;2713;Andaluces;22.0;A
2009;45276;3690;2797;Andaluces;5.0;A
2009;45276;3690;2911;Andaluces;2.0;A
2009;45276;3690;3023;Andaluces;133.0;A
2009;45276;3690;3142;Andaluces;107.0;A
2009;45276;3690;3143;Andaluces;5768.0;A
2009;45276;3690;3160;Andaluces;622.0;A
2009;45276;3690;3676;Andaluces;6390.0;A
2009;45354;3691;2352;Andaluces;20.0;A
2009;45354;3691;2402;Andaluces;45.0;A
2009;45354;3691;2482;Andaluces;8000.0;A
2009;45354;3691;2713;Andaluces;32.0;A
2009;45354;3691;2797;Andaluces;10.0;A
2009;45354;3691;2911;Andaluces;29.0;A
2009;45354;3691;3023;Andaluces;189.0;A
2009;45354;3691;3142;Andaluces;134.0;A
2009;45354;3691;3143;Andaluces;8459.0;A
2009;45354;3691;3160;Andaluces;1729.0;A
2009;45354;3691;3676;Andaluces;10188.0;A
2009;45354;3689;2352;Andaluces;12.0;A
2009;45354;3689;2402;Andaluces;19.0;A
2009;45354;3689;2482;Andaluces;4009.0;A
2009;45354;3689;2713;Andaluces;15.0;A
2009;45354;3689;2797;Andaluces;5.0;A
2009;45354;3689;2911;Andaluces;17.0;A
2009;45354;3689;3023;Andaluces;91.0;A
2009;45354;3689;3142;Andaluces;71.0;A
2009;45354;3689;3143;Andaluces;4239.0;A
2009;45354;3689;3160;Andaluces;820.0;A
2009;45354;3689;3676;Andaluces;5059.0;A
2009;45354;3690;2352;Andaluces;8.0;A
2009;45354;3690;2402;Andaluces;26.0;A
2009;45354;3690;2482;Andaluces;3991.0;A
