D_TEMPORAL_0;D_TERRITORIO_0;D_ARE_INSCRIPCION_0;D_SEXO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
2016;2352;38453;3691;45230;Andaluces;622.0;A
2016;2352;38453;3691;45276;Andaluces;5.0;A
2016;2352;38453;3691;45354;Andaluces;4.0;A
2016;2352;38453;3691;45576;Andaluces;27.0;A
2016;2352;38453;3691;45657;Andaluces;1.0;A
2016;2352;38453;3691;45765;Andaluces;8.0;A
2016;2352;38453;3691;45873;Andaluces;8.0;A
2016;2352;38453;3691;45980;Andaluces;6.0;A
2016;2352;38453;3691;45981;Andaluces;681.0;A
2016;2352;38453;3691;45984;Andaluces;128.0;A
2016;2352;38453;3691;46350;Andaluces;2417.0;A
2016;2352;38453;3691;46352;Andaluces;1.0;A
2016;2352;38453;3691;46351;Andaluces;3227.0;A
2016;2352;38453;3689;45230;Andaluces;343.0;A
2016;2352;38453;3689;45276;Andaluces;5.0;A
2016;2352;38453;3689;45354;Andaluces;4.0;A
2016;2352;38453;3689;45576;Andaluces;15.0;A
2016;2352;38453;3689;45657;Andaluces;1.0;A
2016;2352;38453;3689;45765;Andaluces;2.0;A
2016;2352;38453;3689;45873;Andaluces;5.0;A
2016;2352;38453;3689;45980;Andaluces;3.0;A
2016;2352;38453;3689;45981;Andaluces;378.0;A
2016;2352;38453;3689;45984;Andaluces;67.0;A
2016;2352;38453;3689;46350;Andaluces;1207.0;A
2016;2352;38453;3689;46352;Andaluces;1.0;A
2016;2352;38453;3689;46351;Andaluces;1653.0;A
2016;2352;38453;3690;45230;Andaluces;279.0;A
2016;2352;38453;3690;45276;Andaluces;;A
2016;2352;38453;3690;45354;Andaluces;;A
2016;2352;38453;3690;45576;Andaluces;12.0;A
2016;2352;38453;3690;45657;Andaluces;;A
2016;2352;38453;3690;45765;Andaluces;6.0;A
2016;2352;38453;3690;45873;Andaluces;3.0;A
2016;2352;38453;3690;45980;Andaluces;3.0;A
2016;2352;38453;3690;45981;Andaluces;303.0;A
2016;2352;38453;3690;45984;Andaluces;61.0;A
2016;2352;38453;3690;46350;Andaluces;1210.0;A
2016;2352;38453;3690;46352;Andaluces;;A
2016;2352;38453;3690;46351;Andaluces;1574.0;A
2016;2402;38453;3691;45230;Andaluces;;A
2016;2402;38453;3691;45276;Andaluces;1197.0;A
2016;2402;38453;3691;45354;Andaluces;13.0;A
2016;2402;38453;3691;45576;Andaluces;8.0;A
2016;2402;38453;3691;45657;Andaluces;6.0;A
2016;2402;38453;3691;45765;Andaluces;5.0;A
2016;2402;38453;3691;45873;Andaluces;16.0;A
2016;2402;38453;3691;45980;Andaluces;54.0;A
2016;2402;38453;3691;45981;Andaluces;1299.0;A
2016;2402;38453;3691;45984;Andaluces;185.0;A
2016;2402;38453;3691;46350;Andaluces;1025.0;A
2016;2402;38453;3691;46352;Andaluces;;A
2016;2402;38453;3691;46351;Andaluces;2509.0;A
2016;2402;38453;3689;45230;Andaluces;;A
2016;2402;38453;3689;45276;Andaluces;647.0;A
2016;2402;38453;3689;45354;Andaluces;6.0;A
2016;2402;38453;3689;45576;Andaluces;7.0;A
2016;2402;38453;3689;45657;Andaluces;4.0;A
2016;2402;38453;3689;45765;Andaluces;3.0;A
2016;2402;38453;3689;45873;Andaluces;6.0;A
2016;2402;38453;3689;45980;Andaluces;26.0;A
2016;2402;38453;3689;45981;Andaluces;699.0;A
2016;2402;38453;3689;45984;Andaluces;93.0;A
2016;2402;38453;3689;46350;Andaluces;493.0;A
2016;2402;38453;3689;46352;Andaluces;;A
2016;2402;38453;3689;46351;Andaluces;1285.0;A
2016;2402;38453;3690;45230;Andaluces;;A
2016;2402;38453;3690;45276;Andaluces;550.0;A
2016;2402;38453;3690;45354;Andaluces;7.0;A
2016;2402;38453;3690;45576;Andaluces;1.0;A
2016;2402;38453;3690;45657;Andaluces;2.0;A
2016;2402;38453;3690;45765;Andaluces;2.0;A
2016;2402;38453;3690;45873;Andaluces;10.0;A
2016;2402;38453;3690;45980;Andaluces;28.0;A
2016;2402;38453;3690;45981;Andaluces;600.0;A
2016;2402;38453;3690;45984;Andaluces;92.0;A
2016;2402;38453;3690;46350;Andaluces;532.0;A
2016;2402;38453;3690;46352;Andaluces;;A
2016;2402;38453;3690;46351;Andaluces;1224.0;A
2016;2482;38453;3691;45230;Andaluces;;A
2016;2482;38453;3691;45276;Andaluces;6.0;A
2016;2482;38453;3691;45354;Andaluces;538.0;A
2016;2482;38453;3691;45576;Andaluces;8.0;A
2016;2482;38453;3691;45657;Andaluces;;A
2016;2482;38453;3691;45765;Andaluces;5.0;A
2016;2482;38453;3691;45873;Andaluces;6.0;A
2016;2482;38453;3691;45980;Andaluces;10.0;A
2016;2482;38453;3691;45981;Andaluces;573.0;A
2016;2482;38453;3691;45984;Andaluces;69.0;A
2016;2482;38453;3691;46350;Andaluces;505.0;A
2016;2482;38453;3691;46352;Andaluces;;A
2016;2482;38453;3691;46351;Andaluces;1147.0;A
2016;2482;38453;3689;45230;Andaluces;;A
2016;2482;38453;3689;45276;Andaluces;2.0;A
2016;2482;38453;3689;45354;Andaluces;286.0;A
2016;2482;38453;3689;45576;Andaluces;5.0;A
2016;2482;38453;3689;45657;Andaluces;;A
2016;2482;38453;3689;45765;Andaluces;3.0;A
2016;2482;38453;3689;45873;Andaluces;1.0;A
2016;2482;38453;3689;45980;Andaluces;4.0;A
2016;2482;38453;3689;45981;Andaluces;301.0;A
2016;2482;38453;3689;45984;Andaluces;43.0;A
2016;2482;38453;3689;46350;Andaluces;253.0;A
2016;2482;38453;3689;46352;Andaluces;;A
2016;2482;38453;3689;46351;Andaluces;597.0;A
2016;2482;38453;3690;45230;Andaluces;;A
2016;2482;38453;3690;45276;Andaluces;4.0;A
2016;2482;38453;3690;45354;Andaluces;252.0;A
2016;2482;38453;3690;45576;Andaluces;3.0;A
2016;2482;38453;3690;45657;Andaluces;;A
2016;2482;38453;3690;45765;Andaluces;2.0;A
2016;2482;38453;3690;45873;Andaluces;5.0;A
2016;2482;38453;3690;45980;Andaluces;6.0;A
2016;2482;38453;3690;45981;Andaluces;272.0;A
2016;2482;38453;3690;45984;Andaluces;26.0;A
2016;2482;38453;3690;46350;Andaluces;252.0;A
2016;2482;38453;3690;46352;Andaluces;;A
2016;2482;38453;3690;46351;Andaluces;550.0;A
2016;2713;38453;3691;45230;Andaluces;18.0;A
2016;2713;38453;3691;45276;Andaluces;16.0;A
2016;2713;38453;3691;45354;Andaluces;11.0;A
2016;2713;38453;3691;45576;Andaluces;1058.0;A
2016;2713;38453;3691;45657;Andaluces;1.0;A
2016;2713;38453;3691;45765;Andaluces;19.0;A
2016;2713;38453;3691;45873;Andaluces;16.0;A
2016;2713;38453;3691;45980;Andaluces;16.0;A
2016;2713;38453;3691;45981;Andaluces;1155.0;A
2016;2713;38453;3691;45984;Andaluces;170.0;A
2016;2713;38453;3691;46350;Andaluces;2560.0;A
2016;2713;38453;3691;46352;Andaluces;;A
2016;2713;38453;3691;46351;Andaluces;3885.0;A
2016;2713;38453;3689;45230;Andaluces;8.0;A
2016;2713;38453;3689;45276;Andaluces;7.0;A
2016;2713;38453;3689;45354;Andaluces;6.0;A
2016;2713;38453;3689;45576;Andaluces;572.0;A
2016;2713;38453;3689;45657;Andaluces;1.0;A
2016;2713;38453;3689;45765;Andaluces;8.0;A
2016;2713;38453;3689;45873;Andaluces;6.0;A
2016;2713;38453;3689;45980;Andaluces;9.0;A
2016;2713;38453;3689;45981;Andaluces;617.0;A
2016;2713;38453;3689;45984;Andaluces;91.0;A
2016;2713;38453;3689;46350;Andaluces;1247.0;A
2016;2713;38453;3689;46352;Andaluces;;A
2016;2713;38453;3689;46351;Andaluces;1955.0;A
2016;2713;38453;3690;45230;Andaluces;10.0;A
2016;2713;38453;3690;45276;Andaluces;9.0;A
2016;2713;38453;3690;45354;Andaluces;5.0;A
2016;2713;38453;3690;45576;Andaluces;486.0;A
2016;2713;38453;3690;45657;Andaluces;;A
2016;2713;38453;3690;45765;Andaluces;11.0;A
2016;2713;38453;3690;45873;Andaluces;10.0;A
2016;2713;38453;3690;45980;Andaluces;7.0;A
2016;2713;38453;3690;45981;Andaluces;538.0;A
2016;2713;38453;3690;45984;Andaluces;79.0;A
2016;2713;38453;3690;46350;Andaluces;1313.0;A
2016;2713;38453;3690;46352;Andaluces;;A
2016;2713;38453;3690;46351;Andaluces;1930.0;A
2016;2797;38453;3691;45230;Andaluces;;A
2016;2797;38453;3691;45276;Andaluces;4.0;A
2016;2797;38453;3691;45354;Andaluces;3.0;A
2016;2797;38453;3691;45576;Andaluces;2.0;A
2016;2797;38453;3691;45657;Andaluces;297.0;A
2016;2797;38453;3691;45765;Andaluces;2.0;A
2016;2797;38453;3691;45873;Andaluces;4.0;A
2016;2797;38453;3691;45980;Andaluces;20.0;A
2016;2797;38453;3691;45981;Andaluces;332.0;A
2016;2797;38453;3691;45984;Andaluces;33.0;A
2016;2797;38453;3691;46350;Andaluces;286.0;A
2016;2797;38453;3691;46352;Andaluces;;A
2016;2797;38453;3691;46351;Andaluces;651.0;A
2016;2797;38453;3689;45230;Andaluces;;A
2016;2797;38453;3689;45276;Andaluces;2.0;A
2016;2797;38453;3689;45354;Andaluces;2.0;A
2016;2797;38453;3689;45576;Andaluces;;A
2016;2797;38453;3689;45657;Andaluces;158.0;A
2016;2797;38453;3689;45765;Andaluces;;A
2016;2797;38453;3689;45873;Andaluces;2.0;A
2016;2797;38453;3689;45980;Andaluces;11.0;A
2016;2797;38453;3689;45981;Andaluces;175.0;A
2016;2797;38453;3689;45984;Andaluces;21.0;A
2016;2797;38453;3689;46350;Andaluces;146.0;A
2016;2797;38453;3689;46352;Andaluces;;A
2016;2797;38453;3689;46351;Andaluces;342.0;A
2016;2797;38453;3690;45230;Andaluces;;A
2016;2797;38453;3690;45276;Andaluces;2.0;A
2016;2797;38453;3690;45354;Andaluces;1.0;A
2016;2797;38453;3690;45576;Andaluces;2.0;A
2016;2797;38453;3690;45657;Andaluces;139.0;A
2016;2797;38453;3690;45765;Andaluces;2.0;A
2016;2797;38453;3690;45873;Andaluces;2.0;A
2016;2797;38453;3690;45980;Andaluces;9.0;A
2016;2797;38453;3690;45981;Andaluces;157.0;A
2016;2797;38453;3690;45984;Andaluces;12.0;A
2016;2797;38453;3690;46350;Andaluces;140.0;A
2016;2797;38453;3690;46352;Andaluces;;A
2016;2797;38453;3690;46351;Andaluces;309.0;A
2016;2911;38453;3691;45230;Andaluces;1.0;A
2016;2911;38453;3691;45276;Andaluces;3.0;A
2016;2911;38453;3691;45354;Andaluces;5.0;A
2016;2911;38453;3691;45576;Andaluces;12.0;A
2016;2911;38453;3691;45657;Andaluces;;A
2016;2911;38453;3691;45765;Andaluces;461.0;A
2016;2911;38453;3691;45873;Andaluces;2.0;A
2016;2911;38453;3691;45980;Andaluces;2.0;A
2016;2911;38453;3691;45981;Andaluces;486.0;A
2016;2911;38453;3691;45984;Andaluces;55.0;A
2016;2911;38453;3691;46350;Andaluces;499.0;A
2016;2911;38453;3691;46352;Andaluces;2.0;A
2016;2911;38453;3691;46351;Andaluces;1042.0;A
2016;2911;38453;3689;45230;Andaluces;1.0;A
2016;2911;38453;3689;45276;Andaluces;3.0;A
2016;2911;38453;3689;45354;Andaluces;2.0;A
2016;2911;38453;3689;45576;Andaluces;7.0;A
2016;2911;38453;3689;45657;Andaluces;;A
2016;2911;38453;3689;45765;Andaluces;241.0;A
2016;2911;38453;3689;45873;Andaluces;;A
2016;2911;38453;3689;45980;Andaluces;2.0;A
2016;2911;38453;3689;45981;Andaluces;256.0;A
2016;2911;38453;3689;45984;Andaluces;30.0;A
2016;2911;38453;3689;46350;Andaluces;256.0;A
2016;2911;38453;3689;46352;Andaluces;1.0;A
2016;2911;38453;3689;46351;Andaluces;543.0;A
2016;2911;38453;3690;45230;Andaluces;;A
2016;2911;38453;3690;45276;Andaluces;;A
2016;2911;38453;3690;45354;Andaluces;3.0;A
2016;2911;38453;3690;45576;Andaluces;5.0;A
2016;2911;38453;3690;45657;Andaluces;;A
2016;2911;38453;3690;45765;Andaluces;220.0;A
2016;2911;38453;3690;45873;Andaluces;2.0;A
2016;2911;38453;3690;45980;Andaluces;;A
2016;2911;38453;3690;45981;Andaluces;230.0;A
2016;2911;38453;3690;45984;Andaluces;25.0;A
2016;2911;38453;3690;46350;Andaluces;243.0;A
2016;2911;38453;3690;46352;Andaluces;1.0;A
2016;2911;38453;3690;46351;Andaluces;499.0;A
2016;3023;38453;3691;45230;Andaluces;10.0;A
2016;3023;38453;3691;45276;Andaluces;64.0;A
2016;3023;38453;3691;45354;Andaluces;46.0;A
2016;3023;38453;3691;45576;Andaluces;44.0;A
2016;3023;38453;3691;45657;Andaluces;6.0;A
2016;3023;38453;3691;45765;Andaluces;23.0;A
2016;3023;38453;3691;45873;Andaluces;1604.0;A
2016;3023;38453;3691;45980;Andaluces;27.0;A
2016;3023;38453;3691;45981;Andaluces;1824.0;A
2016;3023;38453;3691;45984;Andaluces;404.0;A
2016;3023;38453;3691;46350;Andaluces;3175.0;A
2016;3023;38453;3691;46352;Andaluces;;A
