D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
2009;3143;3691;45230;Andaluces;10466.0;A
2009;3143;3691;45276;Andaluces;10992.0;A
2009;3143;3691;45354;Andaluces;8459.0;A
2009;3143;3691;45576;Andaluces;15153.0;A
2009;3143;3691;45657;Andaluces;2911.0;A
2009;3143;3691;45765;Andaluces;5486.0;A
2009;3143;3691;45873;Andaluces;12490.0;A
2009;3143;3691;45980;Andaluces;11619.0;A
2009;3143;3691;45981;Andaluces;77576.0;A
2009;3143;3691;45984;Andaluces;5449.0;A
2009;3143;3691;46350;Andaluces;85898.0;A
2009;3143;3691;46352;Andaluces;2955.0;A
2009;3143;3691;46351;Andaluces;171878.0;A
2009;3143;3689;45230;Andaluces;5034.0;A
2009;3143;3689;45276;Andaluces;5224.0;A
2009;3143;3689;45354;Andaluces;4239.0;A
2009;3143;3689;45576;Andaluces;7406.0;A
2009;3143;3689;45657;Andaluces;1438.0;A
2009;3143;3689;45765;Andaluces;2676.0;A
2009;3143;3689;45873;Andaluces;6077.0;A
2009;3143;3689;45980;Andaluces;5565.0;A
2009;3143;3689;45981;Andaluces;37659.0;A
2009;3143;3689;45984;Andaluces;2576.0;A
2009;3143;3689;46350;Andaluces;42612.0;A
2009;3143;3689;46352;Andaluces;1513.0;A
2009;3143;3689;46351;Andaluces;84360.0;A
2009;3143;3690;45230;Andaluces;5432.0;A
2009;3143;3690;45276;Andaluces;5768.0;A
2009;3143;3690;45354;Andaluces;4220.0;A
2009;3143;3690;45576;Andaluces;7747.0;A
2009;3143;3690;45657;Andaluces;1473.0;A
2009;3143;3690;45765;Andaluces;2810.0;A
2009;3143;3690;45873;Andaluces;6413.0;A
2009;3143;3690;45980;Andaluces;6054.0;A
2009;3143;3690;45981;Andaluces;39917.0;A
2009;3143;3690;45984;Andaluces;2873.0;A
2009;3143;3690;46350;Andaluces;43286.0;A
2009;3143;3690;46352;Andaluces;1442.0;A
2009;3143;3690;46351;Andaluces;87518.0;A
2009;2352;3691;45230;Andaluces;10281.0;A
2009;2352;3691;45276;Andaluces;10.0;A
2009;2352;3691;45354;Andaluces;20.0;A
2009;2352;3691;45576;Andaluces;123.0;A
2009;2352;3691;45657;Andaluces;6.0;A
2009;2352;3691;45765;Andaluces;20.0;A
2009;2352;3691;45873;Andaluces;31.0;A
2009;2352;3691;45980;Andaluces;21.0;A
2009;2352;3691;45981;Andaluces;10512.0;A
2009;2352;3691;45984;Andaluces;496.0;A
2009;2352;3691;46350;Andaluces;14631.0;A
2009;2352;3691;46352;Andaluces;422.0;A
2009;2352;3691;46351;Andaluces;26061.0;A
2009;2352;3689;45230;Andaluces;4942.0;A
2009;2352;3689;45276;Andaluces;4.0;A
2009;2352;3689;45354;Andaluces;12.0;A
2009;2352;3689;45576;Andaluces;63.0;A
2009;2352;3689;45657;Andaluces;4.0;A
2009;2352;3689;45765;Andaluces;8.0;A
2009;2352;3689;45873;Andaluces;21.0;A
2009;2352;3689;45980;Andaluces;10.0;A
2009;2352;3689;45981;Andaluces;5064.0;A
2009;2352;3689;45984;Andaluces;258.0;A
2009;2352;3689;46350;Andaluces;7002.0;A
2009;2352;3689;46352;Andaluces;225.0;A
2009;2352;3689;46351;Andaluces;12549.0;A
2009;2352;3690;45230;Andaluces;5339.0;A
2009;2352;3690;45276;Andaluces;6.0;A
2009;2352;3690;45354;Andaluces;8.0;A
2009;2352;3690;45576;Andaluces;60.0;A
2009;2352;3690;45657;Andaluces;2.0;A
2009;2352;3690;45765;Andaluces;12.0;A
2009;2352;3690;45873;Andaluces;10.0;A
2009;2352;3690;45980;Andaluces;11.0;A
2009;2352;3690;45981;Andaluces;5448.0;A
2009;2352;3690;45984;Andaluces;238.0;A
2009;2352;3690;46350;Andaluces;7629.0;A
2009;2352;3690;46352;Andaluces;197.0;A
2009;2352;3690;46351;Andaluces;13512.0;A
2009;2402;3691;45230;Andaluces;12.0;A
2009;2402;3691;45276;Andaluces;10426.0;A
2009;2402;3691;45354;Andaluces;45.0;A
2009;2402;3691;45576;Andaluces;59.0;A
2009;2402;3691;45657;Andaluces;27.0;A
2009;2402;3691;45765;Andaluces;33.0;A
2009;2402;3691;45873;Andaluces;175.0;A
2009;2402;3691;45980;Andaluces;219.0;A
2009;2402;3691;45981;Andaluces;10996.0;A
2009;2402;3691;45984;Andaluces;800.0;A
2009;2402;3691;46350;Andaluces;9545.0;A
2009;2402;3691;46352;Andaluces;296.0;A
2009;2402;3691;46351;Andaluces;21637.0;A
2009;2402;3689;45230;Andaluces;5.0;A
2009;2402;3689;45276;Andaluces;4939.0;A
2009;2402;3689;45354;Andaluces;19.0;A
2009;2402;3689;45576;Andaluces;28.0;A
2009;2402;3689;45657;Andaluces;11.0;A
2009;2402;3689;45765;Andaluces;16.0;A
2009;2402;3689;45873;Andaluces;86.0;A
2009;2402;3689;45980;Andaluces;92.0;A
2009;2402;3689;45981;Andaluces;5196.0;A
2009;2402;3689;45984;Andaluces;378.0;A
2009;2402;3689;46350;Andaluces;4783.0;A
2009;2402;3689;46352;Andaluces;158.0;A
2009;2402;3689;46351;Andaluces;10515.0;A
2009;2402;3690;45230;Andaluces;7.0;A
2009;2402;3690;45276;Andaluces;5487.0;A
2009;2402;3690;45354;Andaluces;26.0;A
2009;2402;3690;45576;Andaluces;31.0;A
2009;2402;3690;45657;Andaluces;16.0;A
2009;2402;3690;45765;Andaluces;17.0;A
2009;2402;3690;45873;Andaluces;89.0;A
2009;2402;3690;45980;Andaluces;127.0;A
2009;2402;3690;45981;Andaluces;5800.0;A
2009;2402;3690;45984;Andaluces;422.0;A
2009;2402;3690;46350;Andaluces;4762.0;A
2009;2402;3690;46352;Andaluces;138.0;A
2009;2402;3690;46351;Andaluces;11122.0;A
2009;2482;3691;45230;Andaluces;14.0;A
2009;2482;3691;45276;Andaluces;14.0;A
2009;2482;3691;45354;Andaluces;8000.0;A
2009;2482;3691;45576;Andaluces;44.0;A
2009;2482;3691;45657;Andaluces;12.0;A
2009;2482;3691;45765;Andaluces;49.0;A
2009;2482;3691;45873;Andaluces;29.0;A
2009;2482;3691;45980;Andaluces;68.0;A
2009;2482;3691;45981;Andaluces;8230.0;A
2009;2482;3691;45984;Andaluces;396.0;A
