D_TEMPORAL_0;D_TERRITORIO_1;D_TERRITORIO_0;D_SEXO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
2009;3675;3143;3691;45230;Andaluces;10466.0;A
2009;3675;3143;3691;45276;Andaluces;10992.0;A
2009;3675;3143;3691;45354;Andaluces;8459.0;A
2009;3675;3143;3691;45576;Andaluces;15153.0;A
2009;3675;3143;3691;45657;Andaluces;2911.0;A
2009;3675;3143;3691;45765;Andaluces;5486.0;A
2009;3675;3143;3691;45873;Andaluces;12490.0;A
2009;3675;3143;3691;45980;Andaluces;11619.0;A
2009;3675;3143;3691;45981;Andaluces;77576.0;A
2009;3675;3143;3691;45984;Andaluces;5449.0;A
2009;3675;3143;3691;46350;Andaluces;85898.0;A
2009;3675;3143;3691;46352;Andaluces;2955.0;A
2009;3675;3143;3691;46351;Andaluces;171878.0;A
2009;3675;2352;3691;45230;Andaluces;10281.0;A
2009;3675;2352;3691;45276;Andaluces;10.0;A
2009;3675;2352;3691;45354;Andaluces;20.0;A
2009;3675;2352;3691;45576;Andaluces;123.0;A
2009;3675;2352;3691;45657;Andaluces;6.0;A
2009;3675;2352;3691;45765;Andaluces;20.0;A
2009;3675;2352;3691;45873;Andaluces;31.0;A
2009;3675;2352;3691;45980;Andaluces;21.0;A
2009;3675;2352;3691;45981;Andaluces;10512.0;A
2009;3675;2352;3691;45984;Andaluces;496.0;A
2009;3675;2352;3691;46350;Andaluces;14631.0;A
2009;3675;2352;3691;46352;Andaluces;422.0;A
2009;3675;2352;3691;46351;Andaluces;26061.0;A
2009;3675;2402;3691;45230;Andaluces;12.0;A
2009;3675;2402;3691;45276;Andaluces;10426.0;A
2009;3675;2402;3691;45354;Andaluces;45.0;A
2009;3675;2402;3691;45576;Andaluces;59.0;A
2009;3675;2402;3691;45657;Andaluces;27.0;A
2009;3675;2402;3691;45765;Andaluces;33.0;A
2009;3675;2402;3691;45873;Andaluces;175.0;A
2009;3675;2402;3691;45980;Andaluces;219.0;A
2009;3675;2402;3691;45981;Andaluces;10996.0;A
2009;3675;2402;3691;45984;Andaluces;800.0;A
2009;3675;2402;3691;46350;Andaluces;9545.0;A
2009;3675;2402;3691;46352;Andaluces;296.0;A
2009;3675;2402;3691;46351;Andaluces;21637.0;A
2009;3675;2482;3691;45230;Andaluces;14.0;A
2009;3675;2482;3691;45276;Andaluces;14.0;A
2009;3675;2482;3691;45354;Andaluces;8000.0;A
2009;3675;2482;3691;45576;Andaluces;44.0;A
2009;3675;2482;3691;45657;Andaluces;12.0;A
2009;3675;2482;3691;45765;Andaluces;49.0;A
2009;3675;2482;3691;45873;Andaluces;29.0;A
2009;3675;2482;3691;45980;Andaluces;68.0;A
2009;3675;2482;3691;45981;Andaluces;8230.0;A
2009;3675;2482;3691;45984;Andaluces;396.0;A
2009;3675;2482;3691;46350;Andaluces;6226.0;A
2009;3675;2482;3691;46352;Andaluces;226.0;A
2009;3675;2482;3691;46351;Andaluces;15078.0;A
2009;3675;2713;3691;45230;Andaluces;77.0;A
2009;3675;2713;3691;45276;Andaluces;46.0;A
2009;3675;2713;3691;45354;Andaluces;32.0;A
2009;3675;2713;3691;45576;Andaluces;14600.0;A
2009;3675;2713;3691;45657;Andaluces;9.0;A
2009;3675;2713;3691;45765;Andaluces;129.0;A
2009;3675;2713;3691;45873;Andaluces;73.0;A
2009;3675;2713;3691;45980;Andaluces;50.0;A
2009;3675;2713;3691;45981;Andaluces;15016.0;A
2009;3675;2713;3691;45984;Andaluces;739.0;A
2009;3675;2713;3691;46350;Andaluces;17639.0;A
2009;3675;2713;3691;46352;Andaluces;677.0;A
2009;3675;2713;3691;46351;Andaluces;34071.0;A
2009;3675;2797;3691;45230;Andaluces;3.0;A
2009;3675;2797;3691;45276;Andaluces;15.0;A
2009;3675;2797;3691;45354;Andaluces;10.0;A
2009;3675;2797;3691;45576;Andaluces;3.0;A
2009;3675;2797;3691;45657;Andaluces;2684.0;A
2009;3675;2797;3691;45765;Andaluces;3.0;A
