TEMPORAL;LUGARNACIMIEN;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
;;;;ANDALUCES;10281.0;A
;;;;ANDALUCES;12.0;A
;;;;ANDALUCES;14.0;A
;;;;ANDALUCES;77.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;37.0;A
;;;;ANDALUCES;34.0;A
;;;;ANDALUCES;10466.0;A
;;;;ANDALUCES;1113.0;A
;;;;ANDALUCES;11579.0;A
;;;;ANDALUCES;4942.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;24.0;A
;;;;ANDALUCES;2.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;26.0;A
;;;;ANDALUCES;21.0;A
;;;;ANDALUCES;5034.0;A
;;;;ANDALUCES;571.0;A
;;;;ANDALUCES;5605.0;A
;;;;ANDALUCES;5339.0;A
;;;;ANDALUCES;7.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;53.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;2.0;A
;;;;ANDALUCES;11.0;A
;;;;ANDALUCES;13.0;A
;;;;ANDALUCES;5432.0;A
;;;;ANDALUCES;542.0;A
;;;;ANDALUCES;5974.0;A
;;;;ANDALUCES;10.0;A
;;;;ANDALUCES;10426.0;A
;;;;ANDALUCES;14.0;A
;;;;ANDALUCES;46.0;A
;;;;ANDALUCES;15.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;259.0;A
;;;;ANDALUCES;217.0;A
;;;;ANDALUCES;10992.0;A
;;;;ANDALUCES;1192.0;A
;;;;ANDALUCES;12184.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;4939.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;24.0;A
;;;;ANDALUCES;10.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;126.0;A
;;;;ANDALUCES;110.0;A
;;;;ANDALUCES;5224.0;A
;;;;ANDALUCES;570.0;A
;;;;ANDALUCES;5794.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;5487.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;22.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;2.0;A
;;;;ANDALUCES;133.0;A
;;;;ANDALUCES;107.0;A
;;;;ANDALUCES;5768.0;A
;;;;ANDALUCES;622.0;A
;;;;ANDALUCES;6390.0;A
;;;;ANDALUCES;20.0;A
;;;;ANDALUCES;45.0;A
;;;;ANDALUCES;8000.0;A
;;;;ANDALUCES;32.0;A
;;;;ANDALUCES;10.0;A
;;;;ANDALUCES;29.0;A
;;;;ANDALUCES;189.0;A
;;;;ANDALUCES;134.0;A
;;;;ANDALUCES;8459.0;A
;;;;ANDALUCES;1729.0;A
;;;;ANDALUCES;10188.0;A
;;;;ANDALUCES;12.0;A
;;;;ANDALUCES;19.0;A
;;;;ANDALUCES;4009.0;A
;;;;ANDALUCES;15.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;17.0;A
;;;;ANDALUCES;91.0;A
;;;;ANDALUCES;71.0;A
;;;;ANDALUCES;4239.0;A
;;;;ANDALUCES;820.0;A
;;;;ANDALUCES;5059.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;26.0;A
;;;;ANDALUCES;3991.0;A
;;;;ANDALUCES;17.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;12.0;A
;;;;ANDALUCES;98.0;A
;;;;ANDALUCES;63.0;A
;;;;ANDALUCES;4220.0;A
;;;;ANDALUCES;909.0;A
;;;;ANDALUCES;5129.0;A
;;;;ANDALUCES;123.0;A
;;;;ANDALUCES;59.0;A
;;;;ANDALUCES;44.0;A
;;;;ANDALUCES;14600.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;50.0;A
;;;;ANDALUCES;193.0;A
;;;;ANDALUCES;81.0;A
;;;;ANDALUCES;15153.0;A
;;;;ANDALUCES;1737.0;A
;;;;ANDALUCES;16890.0;A
;;;;ANDALUCES;63.0;A
;;;;ANDALUCES;28.0;A
;;;;ANDALUCES;19.0;A
;;;;ANDALUCES;7149.0;A
;;;;ANDALUCES;21.0;A
;;;;ANDALUCES;85.0;A
;;;;ANDALUCES;41.0;A
;;;;ANDALUCES;7406.0;A
;;;;ANDALUCES;885.0;A
;;;;ANDALUCES;8291.0;A
;;;;ANDALUCES;60.0;A
;;;;ANDALUCES;31.0;A
;;;;ANDALUCES;25.0;A
;;;;ANDALUCES;7451.0;A
