TEMPORAL;TERRITORIO;ARE_INSCRIPCION;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;;ANDALUCES;622.0;A
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;27.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;8.0;A
;;;;;ANDALUCES;8.0;A
;;;;;ANDALUCES;6.0;A
;;;;;ANDALUCES;681.0;A
;;;;;ANDALUCES;128.0;A
;;;;;ANDALUCES;2417.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;3227.0;A
;;;;;ANDALUCES;343.0;A
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;15.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;378.0;A
;;;;;ANDALUCES;67.0;A
;;;;;ANDALUCES;1207.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;1653.0;A
;;;;;ANDALUCES;279.0;A
;;;;;ANDALUCES;12.0;A
;;;;;ANDALUCES;6.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;303.0;A
;;;;;ANDALUCES;61.0;A
;;;;;ANDALUCES;1210.0;A
;;;;;ANDALUCES;1574.0;A
;;;;;ANDALUCES;1197.0;A
;;;;;ANDALUCES;13.0;A
;;;;;ANDALUCES;8.0;A
;;;;;ANDALUCES;6.0;A
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;16.0;A
;;;;;ANDALUCES;54.0;A
;;;;;ANDALUCES;1299.0;A
;;;;;ANDALUCES;185.0;A
;;;;;ANDALUCES;1025.0;A
;;;;;ANDALUCES;2509.0;A
;;;;;ANDALUCES;647.0;A
;;;;;ANDALUCES;6.0;A
;;;;;ANDALUCES;7.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;6.0;A
;;;;;ANDALUCES;26.0;A
;;;;;ANDALUCES;699.0;A
;;;;;ANDALUCES;93.0;A
;;;;;ANDALUCES;493.0;A
;;;;;ANDALUCES;1285.0;A
;;;;;ANDALUCES;550.0;A
;;;;;ANDALUCES;7.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;10.0;A
;;;;;ANDALUCES;28.0;A
;;;;;ANDALUCES;600.0;A
;;;;;ANDALUCES;92.0;A
;;;;;ANDALUCES;532.0;A
;;;;;ANDALUCES;1224.0;A
;;;;;ANDALUCES;6.0;A
;;;;;ANDALUCES;538.0;A
;;;;;ANDALUCES;8.0;A
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;6.0;A
;;;;;ANDALUCES;10.0;A
;;;;;ANDALUCES;573.0;A
;;;;;ANDALUCES;69.0;A
;;;;;ANDALUCES;505.0;A
;;;;;ANDALUCES;1147.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;286.0;A
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;301.0;A
;;;;;ANDALUCES;43.0;A
;;;;;ANDALUCES;253.0;A
;;;;;ANDALUCES;597.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;252.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;2.0;A
