TEMPORAL;SEXO;TERRITORIO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;ANDALUCES;1723.2017583;A
;;;;ANDALUCES;2518.7001171;A
;;;;ANDALUCES;6857.1663312;A
;;;;ANDALUCES;4052.2394702;A
;;;;ANDALUCES;797.9774701;A
;;;;ANDALUCES;5794.7179179;A
;;;;ANDALUCES;2548.4090088;A
;;;;ANDALUCES;3242.877034;A
;;;;ANDALUCES;27535.2891076;A
;;;;ANDALUCES;447.7933811;A
;;;;ANDALUCES;927.9380051;A
;;;;ANDALUCES;3215.1018522;A
;;;;ANDALUCES;1798.2603832;A
;;;;ANDALUCES;597.9606047;A
;;;;ANDALUCES;3190.3739123;A
;;;;ANDALUCES;2090.5342023;A
;;;;ANDALUCES;1306.6513486;A
;;;;ANDALUCES;13574.6136895;A
;;;;ANDALUCES;3200.5617188;A
;;;;ANDALUCES;7644.6196366;A
;;;;ANDALUCES;10369.0607548;A
;;;;ANDALUCES;24301.6463686;A
;;;;ANDALUCES;3321.6728705;A
;;;;ANDALUCES;13407.653096;A
;;;;ANDALUCES;5631.349954;A
;;;;ANDALUCES;13586.2802516;A
;;;;ANDALUCES;81462.8446509;A
;;;;ANDALUCES;1360.3995675;A
;;;;ANDALUCES;8824.6835459;A
;;;;ANDALUCES;3466.1553251;A
;;;;ANDALUCES;3733.6830586;A
;;;;ANDALUCES;1472.7374658;A
;;;;ANDALUCES;2215.2874571;A
;;;;ANDALUCES;4340.0466174;A
;;;;ANDALUCES;6378.9084949;A
;;;;ANDALUCES;31791.9015323;A
;;;;ANDALUCES;151.9990356;A
;;;;ANDALUCES;1163.0398777;A
;;;;ANDALUCES;555.0359794;A
;;;;ANDALUCES;469.0231064;A
;;;;ANDALUCES;547.9987908;A
;;;;ANDALUCES;850.0292376;A
;;;;ANDALUCES;787.9928475;A
;;;;ANDALUCES;759.0043572;A
;;;;ANDALUCES;5284.1232322;A
;;;;ANDALUCES;1184.2708094;A
;;;;ANDALUCES;2205.3722992;A
;;;;ANDALUCES;7582.3152607;A
;;;;ANDALUCES;3198.9382069;A
;;;;ANDALUCES;1072.987609;A
;;;;ANDALUCES;9637.5587369;A
;;;;ANDALUCES;2141.5258673;A
;;;;ANDALUCES;3198.5770144;A
;;;;ANDALUCES;30221.5458038;A
;;;;ANDALUCES;878.3788364;A
;;;;ANDALUCES;2233.1217737;A
;;;;ANDALUCES;3102.6393004;A
;;;;ANDALUCES;2513.3659045;A
;;;;ANDALUCES;1010.0873791;A
;;;;ANDALUCES;3897.5170053;A
;;;;ANDALUCES;2060.0624139;A
;;;;ANDALUCES;2850.2635936;A
;;;;ANDALUCES;18545.4362069;A
;;;;ANDALUCES;91445.2497353;A
;;;;ANDALUCES;44837.8058016;A
;;;;ANDALUCES;148116.4998514;A
;;;;ANDALUCES;159034.592201;A
;;;;ANDALUCES;29155.2339894;A
;;;;ANDALUCES;148898.4957986;A
;;;;ANDALUCES;73890.4178885;A
;;;;ANDALUCES;104527.7914745;A
;;;;ANDALUCES;799906.0867403;A
;;;;ANDALUCES;16460.1441503;A
;;;;ANDALUCES;15433.954045;A
;;;;ANDALUCES;37072.9938973;A
;;;;ANDALUCES;41271.5692577;A
;;;;ANDALUCES;4447.1169348;A
;;;;ANDALUCES;71864.2600248;A
;;;;ANDALUCES;14243.4789049;A
;;;;ANDALUCES;21357.3044796;A
;;;;ANDALUCES;222150.8216944;A
;;;;ANDALUCES;433.2077842;A
;;;;ANDALUCES;1864.7561113;A
;;;;ANDALUCES;3457.9630983;A
;;;;ANDALUCES;1429.6433906;A
;;;;ANDALUCES;2331.0828458;A
;;;;ANDALUCES;1757.1529357;A
;;;;ANDALUCES;1224.5776194;A
;;;;ANDALUCES;6010.7893201;A
;;;;ANDALUCES;18509.1731054;A
;;;;ANDALUCES;525.6095282;A
;;;;ANDALUCES;3057.3358241;A
;;;;ANDALUCES;1135.1242168;A
;;;;ANDALUCES;1024.0447541;A
;;;;ANDALUCES;737.4812419;A
;;;;ANDALUCES;1197.1885453;A
;;;;ANDALUCES;1204.9245789;A
;;;;ANDALUCES;1578.6600337;A
;;;;ANDALUCES;10460.368723;A
;;;;ANDALUCES;10087.0027025;A
;;;;ANDALUCES;27262.6089624;A
;;;;ANDALUCES;65634.294942;A
;;;;ANDALUCES;25543.4456411;A
;;;;ANDALUCES;12354.8989304;A
;;;;ANDALUCES;92964.128173;A
;;;;ANDALUCES;23467.5699127;A
;;;;ANDALUCES;37456.0044256;A
;;;;ANDALUCES;294769.9536897;A
;;;;ANDALUCES;11190.846438;A
;;;;ANDALUCES;2587.9844913;A
;;;;ANDALUCES;2758.0011168;A
;;;;ANDALUCES;10795.9373294;A
;;;;ANDALUCES;530.9919239;A
;;;;ANDALUCES;6805.0194399;A
;;;;ANDALUCES;1804.9495951;A
;;;;ANDALUCES;2454.9423227;A
;;;;ANDALUCES;38928.6726571;A
;;;;ANDALUCES;477.2132404;A
;;;;ANDALUCES;1242.3016646;A
;;;;ANDALUCES;1333.8031016;A
;;;;ANDALUCES;1536.882129;A
;;;;ANDALUCES;223.6886619;A
;;;;ANDALUCES;7104.1876067;A
;;;;ANDALUCES;1092.8403213;A
;;;;ANDALUCES;944.7319693;A
;;;;ANDALUCES;13955.6486948;A
;;;;ANDALUCES;987.9736509;A
;;;;ANDALUCES;3916.1668337;A
;;;;ANDALUCES;7414.6133956;A
;;;;ANDALUCES;6025.7924284;A
;;;;ANDALUCES;2591.724376;A
;;;;ANDALUCES;10148.4729843;A
;;;;ANDALUCES;8621.8057922;A
;;;;ANDALUCES;4261.8895404;A
;;;;ANDALUCES;43968.4390015;A
;;3529;;ANDALUCES;108.8683706;A
;;3529;;ANDALUCES;401.6774451;A
;;3529;;ANDALUCES;476.2916136;A
;;3529;;ANDALUCES;441.4747542;A
;;3529;;ANDALUCES;139.8177808;A
;;3529;;ANDALUCES;1091.2658668;A
;;3529;;ANDALUCES;401.850604;A
;;3529;;ANDALUCES;591.4151338;A
;;3529;;ANDALUCES;3652.6615689;A
;;;;ANDALUCES;1728.9946808;A
;;;;ANDALUCES;3960.9255312;A
;;;;ANDALUCES;894.9880318;A
;;;;ANDALUCES;1854.9587762;A
;;;;ANDALUCES;359.993351;A
;;;;ANDALUCES;648.993351;A
;;;;ANDALUCES;4540.9654252;A
;;;;ANDALUCES;1431.9627656;A
;;;;ANDALUCES;15421.7819128;A
;;;;ANDALUCES;142391.7153883;A
;;;;ANDALUCES;130082.9919656;A
;;;;ANDALUCES;303442.048069;A
;;;;ANDALUCES;289025.4971601;A
;;;;ANDALUCES;61693.4522259;A
;;;;ANDALUCES;381472.3020892;A
;;;;ANDALUCES;150093.3015534;A
;;;;ANDALUCES;211938.0535596;A
;;;;ANDALUCES;1670139.3620111;A
;;;;ANDALUCES;832.7205687;A
;;;;ANDALUCES;1277.3959211;A
;;;;ANDALUCES;3386.3859596;A
;;;;ANDALUCES;2019.8227295;A
;;;;ANDALUCES;388.1062404;A
;;;;ANDALUCES;2878.6840052;A
;;;;ANDALUCES;1315.7585825;A
;;;;ANDALUCES;1599.6539104;A
;;;;ANDALUCES;13698.5279174;A
;;;;ANDALUCES;213.4180213;A
;;;;ANDALUCES;428.3467522;A
;;;;ANDALUCES;1561.5728995;A
;;;;ANDALUCES;885.5829608;A
;;;;ANDALUCES;283.3833846;A
;;;;ANDALUCES;1532.4438663;A
;;;;ANDALUCES;1021.5419453;A
;;;;ANDALUCES;632.7876033;A
;;;;ANDALUCES;6559.0774333;A
;;;;ANDALUCES;1657.5861429;A
;;;;ANDALUCES;3932.6302772;A
;;;;ANDALUCES;5194.3197614;A
;;;;ANDALUCES;12175.6574149;A
;;;;ANDALUCES;1685.9986711;A
;;;;ANDALUCES;6716.4693517;A
;;;;ANDALUCES;2849.6291553;A
;;;;ANDALUCES;6840.7875908;A
;;;;ANDALUCES;41053.0783653;A
;;;;ANDALUCES;794.6363739;A
;;;;ANDALUCES;4761.5507711;A
;;;;ANDALUCES;1941.6457052;A
;;;;ANDALUCES;2154.9637858;A
;;;;ANDALUCES;790.1284179;A
;;;;ANDALUCES;1302.7387579;A
;;;;ANDALUCES;2392.9975826;A
;;;;ANDALUCES;3607.35109;A
;;;;ANDALUCES;17746.0124844;A
;;;;ANDALUCES;75.9990356;A
;;;;ANDALUCES;545.0019135;A
;;;;ANDALUCES;264.990387;A
;;;;ANDALUCES;254.9936675;A
;;;;ANDALUCES;265.9987908;A
;;;;ANDALUCES;419.9912734;A
;;;;ANDALUCES;413.9976246;A
;;;;ANDALUCES;366.9971068;A
;;;;ANDALUCES;2607.9697992;A
;;;;ANDALUCES;543.8595492;A
;;;;ANDALUCES;1007.7133284;A
;;;;ANDALUCES;3600.0066288;A
;;;;ANDALUCES;1547.3374461;A
;;;;ANDALUCES;527.512213;A
;;;;ANDALUCES;4563.7569909;A
;;;;ANDALUCES;1062.2228452;A
;;;;ANDALUCES;1531.3305575;A
;;;;ANDALUCES;14383.7395591;A
;;;;ANDALUCES;423.2931193;A
;;;;ANDALUCES;1033.3908361;A
;;;;ANDALUCES;1509.963873;A
;;;;ANDALUCES;1277.1141739;A
;;;;ANDALUCES;463.1819591;A
;;;;ANDALUCES;1879.2885893;A
;;;;ANDALUCES;1005.4151645;A
;;;;ANDALUCES;1368.1239279;A
;;;;ANDALUCES;8959.7716431;A
;;;;ANDALUCES;41182.9741131;A
;;;;ANDALUCES;21579.165492;A
;;;;ANDALUCES;71220.9094589;A
;;;;ANDALUCES;75973.927792;A
;;;;ANDALUCES;13937.6567843;A
;;;;ANDALUCES;71898.5829382;A
;;;;ANDALUCES;35374.5177804;A
;;;;ANDALUCES;50242.349207;A
;;;;ANDALUCES;381410.0835659;A
;;;;ANDALUCES;7619.4971578;A
;;;;ANDALUCES;7502.578571;A
;;;;ANDALUCES;17504.1510452;A
;;;;ANDALUCES;19968.0146174;A
;;;;ANDALUCES;2109.6582356;A
;;;;ANDALUCES;34096.4526336;A
;;;;ANDALUCES;6754.0064138;A
;;;;ANDALUCES;10325.2302914;A
;;;;ANDALUCES;105879.5889658;A
;;;;ANDALUCES;202.869058;A
;;;;ANDALUCES;877.9859941;A
;;;;ANDALUCES;1717.8223961;A
;;;;ANDALUCES;726.1937847;A
;;;;ANDALUCES;1068.9187132;A
;;;;ANDALUCES;874.5058742;A
;;;;ANDALUCES;595.7229435;A
;;;;ANDALUCES;2961.5601547;A
;;;;ANDALUCES;9025.5789185;A
;;;;ANDALUCES;285.1065107;A
;;;;ANDALUCES;1528.7702394;A
;;;;ANDALUCES;625.0491392;A
;;;;ANDALUCES;532.0422914;A
;;;;ANDALUCES;353.7288396;A
;;;;ANDALUCES;634.3654796;A
;;;;ANDALUCES;607.3487073;A
;;;;ANDALUCES;796.7816823;A
;;;;ANDALUCES;5363.1928895;A
