TEMPORAL;EDAD;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;ANDALUCES;142391.7153883;A
;;;;ANDALUCES;130082.9919656;A
;;;;ANDALUCES;303442.048069;A
;;;;ANDALUCES;289025.4971601;A
;;;;ANDALUCES;61693.4522259;A
;;;;ANDALUCES;381472.3020892;A
;;;;ANDALUCES;150093.3015534;A
;;;;ANDALUCES;211938.0535596;A
;;;;ANDALUCES;1670139.3620111;A
;;;;ANDALUCES;65287.6235898;A
;;;;ANDALUCES;63004.2724781;A
;;;;ANDALUCES;145065.805583;A
;;;;ANDALUCES;139398.4322669;A
;;;;ANDALUCES;29149.8669651;A
;;;;ANDALUCES;182231.8159998;A
;;;;ANDALUCES;72360.1473955;A
;;;;ANDALUCES;102548.4060918;A
;;;;ANDALUCES;799046.37037;A
;;;;ANDALUCES;77104.0917985;A
;;;;ANDALUCES;67078.7194875;A
;;;;ANDALUCES;158376.242486;A
;;;;ANDALUCES;149627.0648932;A
;;;;ANDALUCES;32543.5852608;A
;;;;ANDALUCES;199240.4860894;A
;;;;ANDALUCES;77733.1541579;A
;;;;ANDALUCES;109389.6474678;A
;;;;ANDALUCES;871092.9916411;A
;;;;ANDALUCES;432.6486488;A
;;;;ANDALUCES;1333.3210514;A
;;;;ANDALUCES;850.4308629;A
;;;;ANDALUCES;1196.3911632;A
;;;;ANDALUCES;221.8275574;A
;;;;ANDALUCES;847.9074423;A
;;;;ANDALUCES;960.3498439;A
;;;;ANDALUCES;1319.6180417;A
;;;;ANDALUCES;7162.4946116;A
;;;;ANDALUCES;219.6506989;A
;;;;ANDALUCES;666.2128994;A
;;;;ANDALUCES;422.5364639;A
;;;;ANDALUCES;590.7414693;A
;;;;ANDALUCES;115.0227167;A
;;;;ANDALUCES;425.309599;A
;;;;ANDALUCES;487.450644;A
;;;;ANDALUCES;643.7404074;A
;;;;ANDALUCES;3570.6648986;A
;;;;ANDALUCES;212.9979499;A
;;;;ANDALUCES;667.108152;A
;;;;ANDALUCES;427.894399;A
;;;;ANDALUCES;605.6496939;A
;;;;ANDALUCES;106.8048407;A
;;;;ANDALUCES;422.5978433;A
;;;;ANDALUCES;472.8991999;A
;;;;ANDALUCES;675.8776343;A
;;;;ANDALUCES;3591.829713;A
;;;;ANDALUCES;837.6882532;A
;;;;ANDALUCES;2367.9476172;A
;;;;ANDALUCES;1647.5948765;A
;;;;ANDALUCES;2060.5186238;A
;;;;ANDALUCES;479.8017004;A
;;;;ANDALUCES;1835.562866;A
;;;;ANDALUCES;1643.6716762;A
;;;;ANDALUCES;2529.31899;A
;;;;ANDALUCES;13402.1046033;A
;;;;ANDALUCES;450.9277981;A
;;;;ANDALUCES;1243.9867362;A
;;;;ANDALUCES;847.5929875;A
;;;;ANDALUCES;1041.2365961;A
;;;;ANDALUCES;232.9112478;A
;;;;ANDALUCES;960.5433417;A
;;;;ANDALUCES;842.5102498;A
;;;;ANDALUCES;1274.8910149;A
;;;;ANDALUCES;6894.5999721;A
;;;;ANDALUCES;386.7604551;A
;;;;ANDALUCES;1123.960881;A
;;;;ANDALUCES;800.001889;A
;;;;ANDALUCES;1019.2820277;A
;;;;ANDALUCES;246.8904526;A
;;;;ANDALUCES;875.0195243;A
;;;;ANDALUCES;801.1614264;A
;;;;ANDALUCES;1254.4279751;A
;;;;ANDALUCES;6507.5046312;A
;;;;ANDALUCES;1128.6463301;A
;;;;ANDALUCES;3113.8198291;A
;;;;ANDALUCES;2260.7275312;A
;;;;ANDALUCES;2926.4853835;A
;;;;ANDALUCES;620.1246893;A
;;;;ANDALUCES;2909.1535018;A
;;;;ANDALUCES;2082.470803;A
;;;;ANDALUCES;3119.5900388;A
;;;;ANDALUCES;18161.0181068;A
;;;;ANDALUCES;555.4888103;A
;;;;ANDALUCES;1618.4658707;A
;;;;ANDALUCES;1148.8912931;A
;;;;ANDALUCES;1532.1073669;A
;;;;ANDALUCES;313.1167773;A
;;;;ANDALUCES;1471.063157;A
;;;;ANDALUCES;1066.6748971;A
;;;;ANDALUCES;1655.4537891;A
;;;;ANDALUCES;9361.2619615;A
;;;;ANDALUCES;573.1575198;A
;;;;ANDALUCES;1495.3539584;A
;;;;ANDALUCES;1111.8362381;A
;;;;ANDALUCES;1394.3780166;A
;;;;ANDALUCES;307.007912;A
;;;;ANDALUCES;1438.0903448;A
;;;;ANDALUCES;1015.7959059;A
;;;;ANDALUCES;1464.1362497;A
;;;;ANDALUCES;8799.7561453;A
;;;;ANDALUCES;1559.0162403;A
;;;;ANDALUCES;3708.5503698;A
;;;;ANDALUCES;2723.1324875;A
;;;;ANDALUCES;3590.5977776;A
;;;;ANDALUCES;890.9672123;A
;;;;ANDALUCES;3541.1541416;A
;;;;ANDALUCES;2340.751226;A
;;;;ANDALUCES;4277.3121651;A
;;;;ANDALUCES;22631.4816202;A
;;;;ANDALUCES;808.8845882;A
;;;;ANDALUCES;1950.411772;A
;;;;ANDALUCES;1380.6505743;A
;;;;ANDALUCES;1818.5135141;A
;;;;ANDALUCES;461.6024886;A
;;;;ANDALUCES;1839.1521652;A
;;;;ANDALUCES;1205.44813;A
;;;;ANDALUCES;2206.1843881;A
;;;;ANDALUCES;11670.8476205;A
;;;;ANDALUCES;750.1316521;A
;;;;ANDALUCES;1758.1385978;A
;;;;ANDALUCES;1342.4819132;A
;;;;ANDALUCES;1772.0842635;A
;;;;ANDALUCES;429.3647237;A
