TEMPORAL;TERRITORIO;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;ANDALUCES;10466.0;A
;;;;ANDALUCES;10992.0;A
;;;;ANDALUCES;8459.0;A
;;;;ANDALUCES;15153.0;A
;;;;ANDALUCES;2911.0;A
;;;;ANDALUCES;5486.0;A
;;;;ANDALUCES;12490.0;A
;;;;ANDALUCES;11619.0;A
;;;;ANDALUCES;77576.0;A
;;;;ANDALUCES;5449.0;A
;;;;ANDALUCES;85898.0;A
;;;;ANDALUCES;2955.0;A
;;;;ANDALUCES;171878.0;A
;;;;ANDALUCES;5034.0;A
;;;;ANDALUCES;5224.0;A
;;;;ANDALUCES;4239.0;A
;;;;ANDALUCES;7406.0;A
;;;;ANDALUCES;1438.0;A
;;;;ANDALUCES;2676.0;A
;;;;ANDALUCES;6077.0;A
;;;;ANDALUCES;5565.0;A
;;;;ANDALUCES;37659.0;A
;;;;ANDALUCES;2576.0;A
;;;;ANDALUCES;42612.0;A
;;;;ANDALUCES;1513.0;A
;;;;ANDALUCES;84360.0;A
;;;;ANDALUCES;5432.0;A
;;;;ANDALUCES;5768.0;A
;;;;ANDALUCES;4220.0;A
;;;;ANDALUCES;7747.0;A
;;;;ANDALUCES;1473.0;A
;;;;ANDALUCES;2810.0;A
;;;;ANDALUCES;6413.0;A
;;;;ANDALUCES;6054.0;A
;;;;ANDALUCES;39917.0;A
;;;;ANDALUCES;2873.0;A
;;;;ANDALUCES;43286.0;A
;;;;ANDALUCES;1442.0;A
;;;;ANDALUCES;87518.0;A
;;;;ANDALUCES;10281.0;A
;;;;ANDALUCES;10.0;A
;;;;ANDALUCES;20.0;A
;;;;ANDALUCES;123.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;20.0;A
;;;;ANDALUCES;31.0;A
;;;;ANDALUCES;21.0;A
;;;;ANDALUCES;10512.0;A
;;;;ANDALUCES;496.0;A
;;;;ANDALUCES;14631.0;A
;;;;ANDALUCES;422.0;A
;;;;ANDALUCES;26061.0;A
;;;;ANDALUCES;4942.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;12.0;A
;;;;ANDALUCES;63.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;21.0;A
;;;;ANDALUCES;10.0;A
;;;;ANDALUCES;5064.0;A
;;;;ANDALUCES;258.0;A
;;;;ANDALUCES;7002.0;A
;;;;ANDALUCES;225.0;A
;;;;ANDALUCES;12549.0;A
;;;;ANDALUCES;5339.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;60.0;A
;;;;ANDALUCES;2.0;A
;;;;ANDALUCES;12.0;A
;;;;ANDALUCES;10.0;A
;;;;ANDALUCES;11.0;A
;;;;ANDALUCES;5448.0;A
;;;;ANDALUCES;238.0;A
;;;;ANDALUCES;7629.0;A
;;;;ANDALUCES;197.0;A
;;;;ANDALUCES;13512.0;A
;;;;ANDALUCES;12.0;A
;;;;ANDALUCES;10426.0;A
;;;;ANDALUCES;45.0;A
;;;;ANDALUCES;59.0;A
;;;;ANDALUCES;27.0;A
;;;;ANDALUCES;33.0;A
;;;;ANDALUCES;175.0;A
;;;;ANDALUCES;219.0;A
;;;;ANDALUCES;10996.0;A
;;;;ANDALUCES;800.0;A
;;;;ANDALUCES;9545.0;A
;;;;ANDALUCES;296.0;A
;;;;ANDALUCES;21637.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;4939.0;A
;;;;ANDALUCES;19.0;A
;;;;ANDALUCES;28.0;A
;;;;ANDALUCES;11.0;A
;;;;ANDALUCES;16.0;A
;;;;ANDALUCES;86.0;A
;;;;ANDALUCES;92.0;A
;;;;ANDALUCES;5196.0;A
;;;;ANDALUCES;378.0;A
;;;;ANDALUCES;4783.0;A
;;;;ANDALUCES;158.0;A
;;;;ANDALUCES;10515.0;A
;;;;ANDALUCES;7.0;A
;;;;ANDALUCES;5487.0;A
