TEMPORAL;TERRITORIO_1;TERRITORIO;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;;ANDALUCES;10466.0;A
;;;;;ANDALUCES;10992.0;A
;;;;;ANDALUCES;8459.0;A
;;;;;ANDALUCES;15153.0;A
;;;;;ANDALUCES;2911.0;A
;;;;;ANDALUCES;5486.0;A
;;;;;ANDALUCES;12490.0;A
;;;;;ANDALUCES;11619.0;A
;;;;;ANDALUCES;77576.0;A
;;;;;ANDALUCES;5449.0;A
;;;;;ANDALUCES;85898.0;A
;;;;;ANDALUCES;2955.0;A
;;;;;ANDALUCES;171878.0;A
;;;;;ANDALUCES;10281.0;A
;;;;;ANDALUCES;10.0;A
;;;;;ANDALUCES;20.0;A
;;;;;ANDALUCES;123.0;A
;;;;;ANDALUCES;6.0;A
;;;;;ANDALUCES;20.0;A
;;;;;ANDALUCES;31.0;A
;;;;;ANDALUCES;21.0;A
;;;;;ANDALUCES;10512.0;A
;;;;;ANDALUCES;496.0;A
;;;;;ANDALUCES;14631.0;A
;;;;;ANDALUCES;422.0;A
;;;;;ANDALUCES;26061.0;A
;;;;;ANDALUCES;12.0;A
;;;;;ANDALUCES;10426.0;A
;;;;;ANDALUCES;45.0;A
;;;;;ANDALUCES;59.0;A
;;;;;ANDALUCES;27.0;A
;;;;;ANDALUCES;33.0;A
;;;;;ANDALUCES;175.0;A
;;;;;ANDALUCES;219.0;A
;;;;;ANDALUCES;10996.0;A
;;;;;ANDALUCES;800.0;A
;;;;;ANDALUCES;9545.0;A
;;;;;ANDALUCES;296.0;A
;;;;;ANDALUCES;21637.0;A
;;;;;ANDALUCES;14.0;A
;;;;;ANDALUCES;14.0;A
;;;;;ANDALUCES;8000.0;A
;;;;;ANDALUCES;44.0;A
;;;;;ANDALUCES;12.0;A
;;;;;ANDALUCES;49.0;A
;;;;;ANDALUCES;29.0;A
;;;;;ANDALUCES;68.0;A
;;;;;ANDALUCES;8230.0;A
;;;;;ANDALUCES;396.0;A
;;;;;ANDALUCES;6226.0;A
;;;;;ANDALUCES;226.0;A
;;;;;ANDALUCES;15078.0;A
;;;;;ANDALUCES;77.0;A
;;;;;ANDALUCES;46.0;A
;;;;;ANDALUCES;32.0;A
;;;;;ANDALUCES;14600.0;A
;;;;;ANDALUCES;9.0;A
;;;;;ANDALUCES;129.0;A
;;;;;ANDALUCES;73.0;A
;;;;;ANDALUCES;50.0;A
;;;;;ANDALUCES;15016.0;A
;;;;;ANDALUCES;739.0;A
;;;;;ANDALUCES;17639.0;A
;;;;;ANDALUCES;677.0;A
;;;;;ANDALUCES;34071.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;15.0;A
;;;;;ANDALUCES;10.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;2684.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;63.0;A
;;;;;ANDALUCES;2786.0;A
;;;;;ANDALUCES;202.0;A
;;;;;ANDALUCES;2653.0;A
;;;;;ANDALUCES;67.0;A
;;;;;ANDALUCES;5708.0;A
;;;;;ANDALUCES;8.0;A
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;29.0;A
;;;;;ANDALUCES;50.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;5085.0;A
;;;;;ANDALUCES;16.0;A
;;;;;ANDALUCES;14.0;A
;;;;;ANDALUCES;5211.0;A
;;;;;ANDALUCES;206.0;A
;;;;;ANDALUCES;3990.0;A
;;;;;ANDALUCES;180.0;A
;;;;;ANDALUCES;9587.0;A
;;;;;ANDALUCES;37.0;A
;;;;;ANDALUCES;259.0;A
;;;;;ANDALUCES;189.0;A
;;;;;ANDALUCES;193.0;A
;;;;;ANDALUCES;14.0;A
;;;;;ANDALUCES;95.0;A
;;;;;ANDALUCES;12072.0;A
;;;;;ANDALUCES;162.0;A
;;;;;ANDALUCES;13021.0;A
;;;;;ANDALUCES;1604.0;A
