D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_SEXOC2_0;INDICATOR;OBS_VALUE;FREQ
2020;C01;00;00;Divorcios;13992.45022;A
2020;C01;00;01;Divorcios;63.90317;A
2020;C01;00;06;Divorcios;13928.54705;A
2020;C01;01;00;Divorcios;13913.49376;A
2020;C01;01;01;Divorcios;63.90317;A
2020;C01;01;06;Divorcios;13849.59059;A
2020;C01;06;00;Divorcios;78.95646;A
2020;C01;06;06;Divorcios;78.95646;A
2020;04;00;00;Divorcios;1287.5417;A
2020;04;00;01;Divorcios;2.13486;A
2020;04;00;06;Divorcios;1285.40684;A
2020;04;01;00;Divorcios;1282.35178;A
2020;04;01;01;Divorcios;2.13486;A
2020;04;01;06;Divorcios;1280.21692;A
2020;04;06;00;Divorcios;5.18992;A
2020;04;06;06;Divorcios;5.18992;A
2020;11;00;00;Divorcios;1956.38358;A
2020;11;00;01;Divorcios;12.59366;A
2020;11;00;06;Divorcios;1943.78992;A
2020;11;01;00;Divorcios;1943.78992;A
2020;11;01;01;Divorcios;12.59366;A
2020;11;01;06;Divorcios;1931.19626;A
2020;11;06;00;Divorcios;12.59366;A
2020;11;06;06;Divorcios;12.59366;A
2020;14;00;00;Divorcios;1295.68526;A
2020;14;00;01;Divorcios;2.97697;A
2020;14;00;06;Divorcios;1292.70829;A
2020;14;01;00;Divorcios;1290.65955;A
2020;14;01;01;Divorcios;2.97697;A
2020;14;01;06;Divorcios;1287.68258;A
2020;14;06;00;Divorcios;5.02571;A
2020;14;06;06;Divorcios;5.02571;A
2020;18;00;00;Divorcios;1333.9225;A
2020;18;00;06;Divorcios;1333.9225;A
2020;18;01;00;Divorcios;1327.84207;A
2020;18;01;06;Divorcios;1327.84207;A
2020;18;06;00;Divorcios;6.08043;A
2020;18;06;06;Divorcios;6.08043;A
2020;21;00;00;Divorcios;832.55851;A
2020;21;00;01;Divorcios;3.78314;A
2020;21;00;06;Divorcios;828.77537;A
2020;21;01;00;Divorcios;824.99223;A
2020;21;01;01;Divorcios;3.78314;A
2020;21;01;06;Divorcios;821.20909;A
2020;21;06;00;Divorcios;7.56628;A
2020;21;06;06;Divorcios;7.56628;A
2020;23;00;00;Divorcios;886.77634;A
2020;23;00;01;Divorcios;6.47589;A
2020;23;00;06;Divorcios;880.30045;A
2020;23;01;00;Divorcios;883.85378;A
2020;23;01;01;Divorcios;6.47589;A
2020;23;01;06;Divorcios;877.37789;A
2020;23;06;00;Divorcios;2.92256;A
2020;23;06;06;Divorcios;2.92256;A
2020;29;00;00;Divorcios;3009.31704;A
2020;29;00;01;Divorcios;9.34089;A
2020;29;00;06;Divorcios;2999.97615;A
2020;29;01;00;Divorcios;2995.33756;A
2020;29;01;01;Divorcios;9.34089;A
2020;29;01;06;Divorcios;2985.99667;A
2020;29;06;00;Divorcios;13.97948;A
2020;29;06;06;Divorcios;13.97948;A
2020;41;00;00;Divorcios;3390.26529;A
2020;41;00;01;Divorcios;26.59776;A
2020;41;00;06;Divorcios;3363.66753;A
2020;41;01;00;Divorcios;3364.66687;A
2020;41;01;01;Divorcios;26.59776;A
2020;41;01;06;Divorcios;3338.06911;A
2020;41;06;00;Divorcios;25.59842;A
2020;41;06;06;Divorcios;25.59842;A
2019;C01;00;00;Divorcios;17078.2748;A
2019;C01;00;01;Divorcios;83.76808;A
2019;C01;00;06;Divorcios;16994.50672;A
2019;C01;01;00;Divorcios;16990.38522;A
2019;C01;01;01;Divorcios;83.76808;A
2019;C01;01;06;Divorcios;16906.61714;A
2019;C01;06;00;Divorcios;87.88958;A
2019;C01;06;06;Divorcios;87.88958;A
2019;04;00;00;Divorcios;1684.43364;A
2019;04;00;01;Divorcios;9.8763;A
2019;04;00;06;Divorcios;1674.55734;A
2019;04;01;00;Divorcios;1684.43364;A
2019;04;01;01;Divorcios;9.8763;A
2019;04;01;06;Divorcios;1674.55734;A
2019;11;00;00;Divorcios;2350.11045;A
2019;11;00;01;Divorcios;12.66128;A
2019;11;00;06;Divorcios;2337.44917;A
2019;11;01;00;Divorcios;2323.9076;A
2019;11;01;01;Divorcios;12.66128;A
2019;11;01;06;Divorcios;2311.24632;A
2019;11;06;00;Divorcios;26.20285;A
2019;11;06;06;Divorcios;26.20285;A
