D_TEMPORAL_0;D_TERRITORIO_0;D_NUMHIJOSMENORED_0;INDICATOR;OBS_VALUE;FREQ
2020;C01;000;Divorcios;13992.45022;A
2020;C01;0;Divorcios;6504.66592;A
2020;C01;1;Divorcios;3659.29909;A
2020;C01;2;Divorcios;3396.99825;A
2020;C01;3;Divorcios;396.5127;A
2020;C01;4;Divorcios;29.70055;A
2020;C01;05+;Divorcios;5.27371;A
2020;04;000;Divorcios;1287.5417;A
2020;04;0;Divorcios;621.46538;A
2020;04;1;Divorcios;315.95928;A
2020;04;2;Divorcios;309.5547;A
2020;04;3;Divorcios;38.42748;A
2020;04;4;Divorcios;2.13486;A
2020;11;000;Divorcios;1956.38358;A
2020;11;0;Divorcios;865.76566;A
2020;11;1;Divorcios;543.20352;A
2020;11;2;Divorcios;477.93488;A
2020;11;3;Divorcios;65.26864;A
2020;11;4;Divorcios;4.21088;A
2020;14;000;Divorcios;1295.68526;A
2020;14;0;Divorcios;586.82122;A
2020;14;1;Divorcios;340.09084;A
2020;14;2;Divorcios;317.5547;A
2020;14;3;Divorcios;47.12102;A
2020;14;4;Divorcios;4.09748;A
2020;18;000;Divorcios;1333.9225;A
2020;18;0;Divorcios;570.58384;A
2020;18;1;Divorcios;358.30182;A
2020;18;2;Divorcios;360.89821;A
2020;18;3;Divorcios;44.13863;A
2020;21;000;Divorcios;832.55851;A
2020;21;0;Divorcios;376.04119;A
2020;21;1;Divorcios;246.89202;A
2020;21;2;Divorcios;195.65028;A
2020;21;3;Divorcios;13.97502;A
2020;23;000;Divorcios;886.77634;A
2020;23;0;Divorcios;471.77282;A
2020;23;1;Divorcios;207.50176;A
2020;23;2;Divorcios;184.12128;A
2020;23;3;Divorcios;20.45792;A
2020;23;05+;Divorcios;2.92256;A
2020;29;000;Divorcios;3009.31704;A
2020;29;0;Divorcios;1488.12299;A
2020;29;1;Divorcios;728.8565;A
2020;29;2;Divorcios;710.0473;A
2020;29;3;Divorcios;65.8322;A
2020;29;4;Divorcios;14.1069;A
2020;29;05+;Divorcios;2.35115;A
2020;41;000;Divorcios;3390.26529;A
2020;41;0;Divorcios;1524.09282;A
2020;41;1;Divorcios;918.49335;A
2020;41;2;Divorcios;841.2369;A
2020;41;3;Divorcios;101.29179;A
2020;41;4;Divorcios;5.15043;A
2019;C01;000;Divorcios;17078.2748;A
2019;C01;0;Divorcios;7873.34974;A
2019;C01;1;Divorcios;4512.6298;A
2019;C01;2;Divorcios;4096.56814;A
2019;C01;3;Divorcios;522.642;A
2019;C01;4;Divorcios;64.13179;A
2019;C01;05+;Divorcios;8.95333;A
2019;04;000;Divorcios;1684.43364;A
2019;04;0;Divorcios;762.64566;A
2019;04;1;Divorcios;452.77251;A
2019;04;2;Divorcios;406.074;A
2019;04;3;Divorcios;54.81999;A
2019;04;4;Divorcios;6.09111;A
2019;04;05+;Divorcios;2.03037;A
2019;11;000;Divorcios;2350.11045;A
2019;11;0;Divorcios;1046.38673;A
2019;11;1;Divorcios;675.8434;A
2019;11;2;Divorcios;523.2336;A
2019;11;3;Divorcios;89.38574;A
2019;11;4;Divorcios;13.08084;A
2019;11;05+;Divorcios;2.18014;A
2019;14;000;Divorcios;1369.08113;A
2019;14;0;Divorcios;596.97089;A
2019;14;1;Divorcios;365.5825;A
2019;14;2;Divorcios;348.03454;A
2019;14;3;Divorcios;54.10621;A
2019;14;4;Divorcios;4.38699;A
2019;18;000;Divorcios;1634.5488;A
2019;18;0;Divorcios;788.30896;A
2019;18;1;Divorcios;424.31856;A
2019;18;2;Divorcios;361.98928;A
2019;18;3;Divorcios;52.74016;A
2019;18;4;Divorcios;4.79456;A
2019;18;05+;Divorcios;2.39728;A
2019;21;000;Divorcios;1003.79841;A
2019;21;0;Divorcios;380.19285;A
2019;21;1;Divorcios;290.40455;A
2019;21;2;Divorcios;311.80278;A
2019;21;3;Divorcios;18.34134;A
2019;21;4;Divorcios;3.05689;A
2019;23;000;Divorcios;1181.24056;A
2019;23;0;Divorcios;694.80536;A
2019;23;1;Divorcios;231.05672;A
2019;23;2;Divorcios;224.97628;A
2019;23;3;Divorcios;24.32176;A
2019;23;4;Divorcios;6.08044;A
2019;29;000;Divorcios;3795.50761;A
2019;29;0;Divorcios;1900.31129;A
2019;29;1;Divorcios;966.36248;A
2019;29;2;Divorcios;827.97562;A
