D_TEMPORAL_0;D_TERRITORIO_0;D_CUSTODIA_0;INDICATOR;OBS_VALUE;FREQ
2020;C01;00;Divorcios;13992.45022;A
2020;C01;1;Divorcios;337.27469;A
2020;C01;2;Divorcios;4934.92235;A
2020;C01;3;Divorcios;2201.63752;A
2020;C01;4;Divorcios;13.94974;A
2020;C01;NP;Divorcios;6504.66592;A
2020;04;00;Divorcios;1287.5417;A
2020;04;1;Divorcios;40.56234;A
2020;04;2;Divorcios;414.16284;A
2020;04;3;Divorcios;211.35114;A
2020;04;NP;Divorcios;621.46538;A
2020;11;00;Divorcios;1956.38358;A
2020;11;1;Divorcios;56.84688;A
2020;11;2;Divorcios;753.74752;A
2020;11;3;Divorcios;277.91808;A
2020;11;4;Divorcios;2.10544;A
2020;11;NP;Divorcios;865.76566;A
2020;14;00;Divorcios;1295.68526;A
2020;14;1;Divorcios;34.82858;A
2020;14;2;Divorcios;463.01524;A
2020;14;3;Divorcios;206.92274;A
2020;14;4;Divorcios;4.09748;A
2020;14;NP;Divorcios;586.82122;A
2020;18;00;Divorcios;1333.9225;A
2020;18;1;Divorcios;31.15668;A
2020;18;2;Divorcios;475.13937;A
2020;18;3;Divorcios;254.44622;A
2020;18;4;Divorcios;2.59639;A
2020;18;NP;Divorcios;570.58384;A
2020;21;00;Divorcios;832.55851;A
2020;21;1;Divorcios;9.31668;A
2020;21;2;Divorcios;358.69218;A
2020;21;3;Divorcios;88.50846;A
2020;21;NP;Divorcios;376.04119;A
2020;23;00;Divorcios;886.77634;A
2020;23;1;Divorcios;32.14816;A
2020;23;2;Divorcios;265.95296;A
2020;23;3;Divorcios;116.9024;A
2020;23;NP;Divorcios;471.77282;A
2020;29;00;Divorcios;3009.31704;A
2020;29;1;Divorcios;51.7253;A
2020;29;2;Divorcios;1055.66635;A
2020;29;3;Divorcios;413.8024;A
2020;29;NP;Divorcios;1488.12299;A
2020;41;00;Divorcios;3390.26529;A
2020;41;1;Divorcios;80.69007;A
2020;41;2;Divorcios;1148.54589;A
2020;41;3;Divorcios;631.78608;A
2020;41;4;Divorcios;5.15043;A
2020;41;NP;Divorcios;1524.09282;A
2019;C01;00;Divorcios;17078.2748;A
2019;C01;1;Divorcios;457.113;A
2019;C01;2;Divorcios;6377.00035;A
2019;C01;3;Divorcios;2328.20643;A
2019;C01;4;Divorcios;42.60528;A
2019;C01;NP;Divorcios;7873.34974;A
2019;04;00;Divorcios;1684.43364;A
2019;04;1;Divorcios;46.69851;A
2019;04;2;Divorcios;647.68803;A
2019;04;3;Divorcios;227.40144;A
2019;04;NP;Divorcios;762.64566;A
2019;11;00;Divorcios;2350.11045;A
2019;11;1;Divorcios;74.12476;A
2019;11;2;Divorcios;935.28006;A
2019;11;3;Divorcios;292.13876;A
2019;11;4;Divorcios;2.18014;A
2019;11;NP;Divorcios;1046.38673;A
2019;14;00;Divorcios;1369.08113;A
2019;14;1;Divorcios;49.71922;A
2019;14;2;Divorcios;498.65453;A
2019;14;3;Divorcios;219.3495;A
2019;14;4;Divorcios;4.38699;A
2019;14;NP;Divorcios;596.97089;A
2019;18;00;Divorcios;1634.5488;A
2019;18;1;Divorcios;43.15104;A
2019;18;2;Divorcios;548.97712;A
2019;18;3;Divorcios;251.7144;A
2019;18;4;Divorcios;2.39728;A
2019;18;NP;Divorcios;788.30896;A
2019;21;00;Divorcios;1003.79841;A
2019;21;1;Divorcios;39.73957;A
2019;21;2;Divorcios;467.70417;A
2019;21;3;Divorcios;113.10493;A
2019;21;4;Divorcios;3.05689;A
2019;21;NP;Divorcios;380.19285;A
2019;23;00;Divorcios;1181.24056;A
2019;23;1;Divorcios;15.2011;A
2019;23;2;Divorcios;337.46442;A
2019;23;3;Divorcios;124.64902;A
2019;23;4;Divorcios;9.12066;A
2019;23;NP;Divorcios;694.80536;A
2019;29;00;Divorcios;3795.50761;A
2019;29;1;Divorcios;79.74836;A
2019;29;2;Divorcios;1386.21414;A
2019;29;3;Divorcios;419.85166;A
2019;29;4;Divorcios;9.38216;A
2019;29;NP;Divorcios;1900.31129;A
2019;41;00;Divorcios;4059.5542;A
2019;41;1;Divorcios;108.73044;A
2019;41;2;Divorcios;1555.01788;A
2019;41;3;Divorcios;679.99672;A
2019;41;4;Divorcios;12.08116;A
2019;41;NP;Divorcios;1703.728;A
2018;C01;00;Divorcios;16934.828;A
2018;C01;1;Divorcios;395.6731;A
2018;C01;2;Divorcios;6642.8322;A
2018;C01;3;Divorcios;2033.3118;A
2018;C01;4;Divorcios;44.1893;A
2018;C01;NP;Divorcios;7818.8216;A
2018;04;00;Divorcios;1456.1395;A
2018;04;1;Divorcios;45.5756;A
2018;04;2;Divorcios;522.4917;A
2018;04;3;Divorcios;209.9733;A
2018;04;4;Divorcios;4.8831;A
2018;04;NP;Divorcios;673.2158;A
2018;11;00;Divorcios;2490.3415;A
2018;11;1;Divorcios;37.0277;A
2018;11;2;Divorcios;1115.1872;A
2018;11;3;Divorcios;235.2348;A
2018;11;NP;Divorcios;1102.8918;A
2018;14;00;Divorcios;1405.7198;A
2018;14;1;Divorcios;41.984;A
2018;14;2;Divorcios;566.784;A
2018;14;3;Divorcios;182.368;A
2018;14;4;Divorcios;3.936;A
2018;14;NP;Divorcios;610.6478;A
2018;18;00;Divorcios;1684.5826;A
2018;18;1;Divorcios;39.7392;A
2018;18;2;Divorcios;598.4256;A
2018;18;3;Divorcios;222.072;A
2018;18;4;Divorcios;2.3376;A
2018;18;NP;Divorcios;822.0082;A
2018;21;00;Divorcios;986.218;A
2018;21;1;Divorcios;33.638;A
2018;21;2;Divorcios;422.004;A
2018;21;3;Divorcios;85.624;A
2018;21;4;Divorcios;12.232;A
2018;21;NP;Divorcios;432.72;A
2018;23;00;Divorcios;1108.2069;A
2018;23;1;Divorcios;39.2581;A
2018;23;2;Divorcios;351.0136;A
2018;23;3;Divorcios;85.4441;A
2018;23;4;Divorcios;4.6186;A
2018;23;NP;Divorcios;627.8725;A
2018;29;00;Divorcios;3718.358;A
2018;29;1;Divorcios;74.7118;A
2018;29;2;Divorcios;1433.2869;A
2018;29;3;Divorcios;367.6607;A
2018;29;4;Divorcios;5.8983;A
2018;29;NP;Divorcios;1836.8003;A
2018;41;00;Divorcios;4085.2617;A
2018;41;1;Divorcios;83.7387;A
2018;41;2;Divorcios;1633.6392;A
2018;41;3;Divorcios;644.9349;A
2018;41;4;Divorcios;10.2837;A
2018;41;NP;Divorcios;1712.6652;A
2017;C01;00;Divorcios;17436.6101;A
2017;C01;1;Divorcios;379.8199;A
2017;C01;2;Divorcios;7175.7275;A
2017;C01;3;Divorcios;1828.2458;A
2017;C01;4;Divorcios;40.0951;A
2017;C01;NP;Divorcios;8012.7218;A
2017;04;00;Divorcios;1454.7143;A
2017;04;1;Divorcios;31.9452;A
2017;04;2;Divorcios;553.7168;A
2017;04;3;Divorcios;150.5988;A
2017;04;4;Divorcios;9.1272;A
2017;04;NP;Divorcios;709.3263;A
2017;11;00;Divorcios;2406.3281;A
2017;11;1;Divorcios;57.5212;A
2017;11;2;Divorcios;1057.375;A
2017;11;3;Divorcios;240.2356;A
2017;11;4;Divorcios;3.3836;A
2017;11;NP;Divorcios;1047.8127;A
2017;14;00;Divorcios;1426.032;A
2017;14;1;Divorcios;38.075;A
2017;14;2;Divorcios;616.815;A
2017;14;3;Divorcios;182.76;A
2017;14;4;Divorcios;1.523;A
2017;14;NP;Divorcios;586.859;A
2017;18;00;Divorcios;1990.6668;A
2017;18;1;Divorcios;32.2432;A
2017;18;2;Divorcios;796.004;A
2017;18;3;Divorcios;247.8696;A
2017;18;4;Divorcios;2.0152;A
2017;18;NP;Divorcios;912.5348;A
2017;21;00;Divorcios;1060.4795;A
2017;21;1;Divorcios;15.8464;A
2017;21;2;Divorcios;511.0464;A
2017;21;3;Divorcios;73.2896;A
