D_TEMPORAL_0;D_TERRITORIO_0;D_NACIONACONYUGES_0;INDICATOR;OBS_VALUE;FREQ
2020;C01;00;Divorcios;13992.45022;A
2020;C01;11;Divorcios;12436.98899;A
2020;C01;10;Divorcios;12436.98899;A
2020;C01;1;Divorcios;12436.98899;A
2020;C01;22;Divorcios;1555.46123;A
2020;C01;20;Divorcios;1042.35649;A
2020;C01;2;Divorcios;504.9678;A
2020;C01;3;Divorcios;537.38869;A
2020;C01;30;Divorcios;513.10474;A
2020;C01;4;Divorcios;363.16796;A
2020;C01;5;Divorcios;149.93678;A
2020;04;00;Divorcios;1287.5417;A
2020;04;11;Divorcios;1015.01572;A
2020;04;10;Divorcios;1015.01572;A
2020;04;1;Divorcios;1015.01572;A
2020;04;22;Divorcios;272.52598;A
2020;04;20;Divorcios;170.89926;A
2020;04;2;Divorcios;83.0019;A
2020;04;3;Divorcios;87.89736;A
2020;04;30;Divorcios;101.62672;A
2020;04;4;Divorcios;64.37708;A
2020;04;5;Divorcios;37.24964;A
2020;11;00;Divorcios;1956.38358;A
2020;11;11;Divorcios;1768.35599;A
2020;11;10;Divorcios;1768.35599;A
2020;11;1;Divorcios;1768.35599;A
2020;11;22;Divorcios;188.02759;A
2020;11;20;Divorcios;134.4753;A
2020;11;2;Divorcios;64.07949;A
2020;11;3;Divorcios;70.39581;A
2020;11;30;Divorcios;53.55229;A
2020;11;4;Divorcios;46.20274;A
2020;11;5;Divorcios;7.34955;A
2020;14;00;Divorcios;1295.68526;A
2020;14;11;Divorcios;1269.4362;A
2020;14;10;Divorcios;1269.4362;A
2020;14;1;Divorcios;1269.4362;A
2020;14;22;Divorcios;26.24906;A
2020;14;20;Divorcios;24.20032;A
2020;14;2;Divorcios;9.12319;A
2020;14;3;Divorcios;15.07713;A
2020;14;30;Divorcios;2.04874;A
2020;14;4;Divorcios;2.04874;A
2020;18;00;Divorcios;1333.9225;A
2020;18;11;Divorcios;1243.73682;A
2020;18;10;Divorcios;1243.73682;A
2020;18;1;Divorcios;1243.73682;A
2020;18;22;Divorcios;90.18568;A
2020;18;20;Divorcios;62.44648;A
2020;18;2;Divorcios;31.22324;A
2020;18;3;Divorcios;31.22324;A
2020;18;30;Divorcios;27.7392;A
2020;18;4;Divorcios;25.14281;A
2020;18;5;Divorcios;2.59639;A
2020;21;00;Divorcios;832.55851;A
2020;21;11;Divorcios;751.05165;A
2020;21;10;Divorcios;751.05165;A
2020;21;1;Divorcios;751.05165;A
2020;21;22;Divorcios;81.50686;A
2020;21;20;Divorcios;57.05762;A
2020;21;2;Divorcios;30.85798;A
2020;21;3;Divorcios;26.19964;A
2020;21;30;Divorcios;24.44924;A
2020;21;4;Divorcios;16.88296;A
2020;21;5;Divorcios;7.56628;A
2020;23;00;Divorcios;886.77634;A
2020;23;11;Divorcios;857.31945;A
2020;23;10;Divorcios;857.31945;A
