TEMPORAL;TERRITORIO;EDAD;EDADC2;INDICATOR;OBS_VALUE;FREQ
2020;C01;00;00;DIVORCIOS;13992.45022;A
2020;C01;00;015024;DIVORCIOS;66.44534;A
2020;C01;00;025029;DIVORCIOS;370.92472;A
2020;C01;00;030034;DIVORCIOS;1264.70311;A
2020;C01;00;035039;DIVORCIOS;2121.83561;A
2020;C01;00;040044;DIVORCIOS;2947.93777;A
2020;C01;00;045049;DIVORCIOS;2895.0573;A
2020;C01;00;050054;DIVORCIOS;2019.7398;A
2020;C01;00;055059;DIVORCIOS;1229.21899;A
2020;C01;00;060064;DIVORCIOS;594.70121;A
2020;C01;00;065069;DIVORCIOS;302.54249;A
2020;C01;00;070074;DIVORCIOS;107.71168;A
2020;C01;00;075100;DIVORCIOS;71.6322;A
2020;C01;015019;00;DIVORCIOS;13.28702;A
2020;C01;015019;015024;DIVORCIOS;2.35115;A
2020;C01;015019;025029;DIVORCIOS;2.13486;A
2020;C01;015019;030034;DIVORCIOS;6.47184;A
2020;C01;015019;045049;DIVORCIOS;2.32917;A
2020;C01;025029;00;DIVORCIOS;240.88527;A
2020;C01;025029;015024;DIVORCIOS;28.4117;A
2020;C01;025029;025029;DIVORCIOS;119.16007;A
2020;C01;025029;030034;DIVORCIOS;75.18189;A
2020;C01;025029;035039;DIVORCIOS;12.94169;A
2020;C01;025029;040044;DIVORCIOS;5.18992;A
2020;C01;030034;00;DIVORCIOS;784.63161;A
2020;C01;030034;015024;DIVORCIOS;7.91865;A
2020;C01;030034;025029;DIVORCIOS;118.38854;A
2020;C01;030034;030034;DIVORCIOS;435.68825;A
2020;C01;030034;035039;DIVORCIOS;163.80007;A
2020;C01;030034;040044;DIVORCIOS;42.53799;A
2020;C01;030034;045049;DIVORCIOS;8.50087;A
2020;C01;030034;050054;DIVORCIOS;6.08043;A
2020;C01;030034;060064;DIVORCIOS;1.71681;A
2020;C01;035039;00;DIVORCIOS;1683.27697;A
2020;C01;035039;015024;DIVORCIOS;18.07622;A
2020;C01;035039;025029;DIVORCIOS;68.0798;A
2020;C01;035039;030034;DIVORCIOS;455.34116;A
2020;C01;035039;035039;DIVORCIOS;796.13966;A
2020;C01;035039;040044;DIVORCIOS;255.23419;A
2020;C01;035039;045049;DIVORCIOS;51.98292;A
2020;C01;035039;050054;DIVORCIOS;24.82816;A
2020;C01;035039;055059;DIVORCIOS;6.03203;A
2020;C01;035039;060064;DIVORCIOS;7.56283;A
2020;C01;040044;00;DIVORCIOS;2772.75055;A
2020;C01;040044;015024;DIVORCIOS;3.78314;A
2020;C01;040044;025029;DIVORCIOS;40.10966;A
2020;C01;040044;030034;DIVORCIOS;192.84223;A
2020;C01;040044;035039;DIVORCIOS;817.68098;A
2020;C01;040044;040044;DIVORCIOS;1310.64281;A
2020;C01;040044;045049;DIVORCIOS;338.5416;A
2020;C01;040044;050054;DIVORCIOS;54.31882;A
2020;C01;040044;055059;DIVORCIOS;12.48016;A
2020;C01;040044;060064;DIVORCIOS;2.35115;A
2020;C01;045049;00;DIVORCIOS;2902.14107;A
2020;C01;045049;015024;DIVORCIOS;5.90448;A
2020;C01;045049;025029;DIVORCIOS;14.66901;A
2020;C01;045049;030034;DIVORCIOS;67.54921;A
2020;C01;045049;035039;DIVORCIOS;232.78955;A
2020;C01;045049;040044;DIVORCIOS;983.50943;A
2020;C01;045049;045049;DIVORCIOS;1327.37572;A
2020;C01;045049;050054;DIVORCIOS;199.29066;A
2020;C01;045049;055059;DIVORCIOS;53.81758;A
2020;C01;045049;060064;DIVORCIOS;12.41384;A
2020;C01;045049;070074;DIVORCIOS;4.82159;A
2020;C01;050054;00;DIVORCIOS;2388.09181;A
2020;C01;050054;025029;DIVORCIOS;5.24411;A
2020;C01;050054;030034;DIVORCIOS;13.7217;A
2020;C01;050054;035039;DIVORCIOS;68.83663;A
2020;C01;050054;040044;DIVORCIOS;254.70675;A
2020;C01;050054;045049;DIVORCIOS;881.93828;A
2020;C01;050054;050054;DIVORCIOS;945.10159;A
2020;C01;050054;055059;DIVORCIOS;190.83861;A
2020;C01;050054;060064;DIVORCIOS;18.02707;A
2020;C01;050054;065069;DIVORCIOS;9.67707;A
2020;C01;055059;00;DIVORCIOS;1464.96694;A
2020;C01;055059;030034;DIVORCIOS;10.52768;A
2020;C01;055059;035039;DIVORCIOS;9.52389;A
2020;C01;055059;040044;DIVORCIOS;71.38155;A
2020;C01;055059;045049;DIVORCIOS;191.45827;A
2020;C01;055059;050054;DIVORCIOS;584.98766;A
2020;C01;055059;055059;DIVORCIOS;513.01174;A
2020;C01;055059;060064;DIVORCIOS;76.14832;A
2020;C01;055059;065069;DIVORCIOS;7.92783;A
2020;C01;060064;00;DIVORCIOS;934.58943;A
2020;C01;060064;030034;DIVORCIOS;4.45659;A
2020;C01;060064;035039;DIVORCIOS;12.53534;A
2020;C01;060064;040044;DIVORCIOS;8.56127;A
2020;C01;060064;045049;DIVORCIOS;61.30638;A
2020;C01;060064;050054;DIVORCIOS;152.55645;A
2020;C01;060064;055059;DIVORCIOS;367.128;A
2020;C01;060064;060064;DIVORCIOS;286.32233;A
2020;C01;060064;065069;DIVORCIOS;39.67433;A
2020;C01;060064;070074;DIVORCIOS;2.04874;A
2020;C01;065069;00;DIVORCIOS;461.54359;A
2020;C01;065069;025029;DIVORCIOS;3.13867;A
2020;C01;065069;030034;DIVORCIOS;2.92256;A
2020;C01;065069;035039;DIVORCIOS;1.71681;A
2020;C01;065069;040044;DIVORCIOS;8.34588;A
2020;C01;065069;045049;DIVORCIOS;24.30697;A
2020;C01;065069;050054;DIVORCIOS;35.50061;A
2020;C01;065069;055059;DIVORCIOS;58.06147;A
2020;C01;065069;060064;DIVORCIOS;162.78652;A
2020;C01;065069;065069;DIVORCIOS;146.15179;A
2020;C01;065069;070074;DIVORCIOS;16.56357;A
2020;C01;065069;075100;DIVORCIOS;2.04874;A
2020;C01;070074;00;DIVORCIOS;203.71069;A
2020;C01;070074;035039;DIVORCIOS;5.87099;A
2020;C01;070074;040044;DIVORCIOS;7.82798;A
2020;C01;070074;045049;DIVORCIOS;3.49487;A
2020;C01;070074;050054;DIVORCIOS;13.25317;A
2020;C01;070074;055059;DIVORCIOS;15.26842;A
2020;C01;070074;060064;DIVORCIOS;19.68489;A
2020;C01;070074;065069;DIVORCIOS;82.99499;A
2020;C01;070074;070074;DIVORCIOS;46.76735;A
2020;C01;070074;075100;DIVORCIOS;8.54803;A
2020;C01;065100;00;DIVORCIOS;142.57527;A
2020;C01;065100;045049;DIVORCIOS;3.82225;A
2020;C01;065100;050054;DIVORCIOS;3.82225;A
2020;C01;065100;055059;DIVORCIOS;12.58098;A
2020;C01;065100;060064;DIVORCIOS;7.68745;A
2020;C01;065100;065069;DIVORCIOS;16.11648;A
2020;C01;065100;070074;DIVORCIOS;37.51043;A
2020;C01;065100;075100;DIVORCIOS;61.03543;A
2020;04;00;00;DIVORCIOS;1287.5417;A
2020;04;00;015024;DIVORCIOS;2.13486;A
2020;04;00;025029;DIVORCIOS;32.05972;A
2020;04;00;030034;DIVORCIOS;148.29918;A
2020;04;00;035039;DIVORCIOS;211.13032;A
