TEMPORAL;TERRITORIO;ESTADOCIVIL;ESTADOCIVILC2;INDICATOR;OBS_VALUE;FREQ
2020;C01;00;00;DIVORCIOS;13992.45022;A
2020;C01;00;1;DIVORCIOS;12984.57027;A
2020;C01;00;3;DIVORCIOS;50.81271;A
2020;C01;00;5;DIVORCIOS;957.06724;A
2020;C01;1;00;DIVORCIOS;12774.03164;A
2020;C01;1;1;DIVORCIOS;12252.15162;A
2020;C01;1;3;DIVORCIOS;40.50876;A
2020;C01;1;5;DIVORCIOS;481.37126;A
2020;C01;3;00;DIVORCIOS;91.07744;A
2020;C01;3;1;DIVORCIOS;70.01074;A
2020;C01;3;3;DIVORCIOS;1.71681;A
2020;C01;3;5;DIVORCIOS;19.34989;A
2020;C01;5;00;DIVORCIOS;1127.34114;A
2020;C01;5;1;DIVORCIOS;662.40791;A
2020;C01;5;3;DIVORCIOS;8.58714;A
2020;C01;5;5;DIVORCIOS;456.34609;A
2020;04;00;00;DIVORCIOS;1287.5417;A
2020;04;00;1;DIVORCIOS;1161.18004;A
2020;04;00;3;DIVORCIOS;6.40458;A
2020;04;00;5;DIVORCIOS;119.95708;A
2020;04;1;00;DIVORCIOS;1192.0251;A
2020;04;1;1;DIVORCIOS;1101.07268;A
2020;04;1;3;DIVORCIOS;6.40458;A
2020;04;1;5;DIVORCIOS;84.54784;A
2020;04;3;00;DIVORCIOS;4.26972;A
2020;04;3;1;DIVORCIOS;4.26972;A
2020;04;5;00;DIVORCIOS;91.24688;A
2020;04;5;1;DIVORCIOS;55.83764;A
2020;04;5;5;DIVORCIOS;35.40924;A
2020;11;00;00;DIVORCIOS;1956.38358;A
2020;11;00;1;DIVORCIOS;1815.78686;A
2020;11;00;3;DIVORCIOS;7.34955;A
2020;11;00;5;DIVORCIOS;133.24717;A
2020;11;1;00;DIVORCIOS;1777.88894;A
2020;11;1;1;DIVORCIOS;1733.83062;A
2020;11;1;3;DIVORCIOS;5.24411;A
2020;11;1;5;DIVORCIOS;38.81421;A
2020;11;3;00;DIVORCIOS;19.98219;A
2020;11;3;1;DIVORCIOS;14.73808;A
2020;11;3;5;DIVORCIOS;5.24411;A
2020;11;5;00;DIVORCIOS;158.51245;A
2020;11;5;1;DIVORCIOS;67.21816;A
2020;11;5;3;DIVORCIOS;2.10544;A
2020;11;5;5;DIVORCIOS;89.18885;A
2020;14;00;00;DIVORCIOS;1295.68526;A
2020;14;00;1;DIVORCIOS;1207.81489;A
2020;14;00;3;DIVORCIOS;7.07445;A
2020;14;00;5;DIVORCIOS;80.79592;A
2020;14;1;00;DIVORCIOS;1172.8272;A
2020;14;1;1;DIVORCIOS;1136.33444;A
2020;14;1;3;DIVORCIOS;5.02571;A
2020;14;1;5;DIVORCIOS;31.46705;A
2020;14;3;00;DIVORCIOS;10.05142;A
2020;14;3;1;DIVORCIOS;8.00268;A
2020;14;3;5;DIVORCIOS;2.04874;A
2020;14;5;00;DIVORCIOS;112.80664;A
2020;14;5;1;DIVORCIOS;63.47777;A
2020;14;5;3;DIVORCIOS;2.04874;A
2020;14;5;5;DIVORCIOS;47.28013;A
2020;18;00;00;DIVORCIOS;1333.9225;A
2020;18;00;1;DIVORCIOS;1255.01003;A
