TEMPORAL;TERRITORIO;DURACMATRIM;INDICATOR;OBS_VALUE;FREQ
2020;C01;00;DIVORCIOS;13992.45022;A
2020;C01;0;DIVORCIOS;87.64552;A
2020;C01;1;DIVORCIOS;316.26234;A
2020;C01;2;DIVORCIOS;462.75017;A
2020;C01;3;DIVORCIOS;569.72828;A
2020;C01;4;DIVORCIOS;603.04781;A
2020;C01;5;DIVORCIOS;602.31422;A
2020;C01;6;DIVORCIOS;539.19392;A
2020;C01;7;DIVORCIOS;511.19353;A
2020;C01;8;DIVORCIOS;412.05948;A
2020;C01;9;DIVORCIOS;417.19437;A
2020;C01;10;DIVORCIOS;429.17683;A
2020;C01;11;DIVORCIOS;418.71524;A
2020;C01;12;DIVORCIOS;534.12974;A
2020;C01;13;DIVORCIOS;550.0961;A
2020;C01;14;DIVORCIOS;496.8288;A
2020;C01;15;DIVORCIOS;451.25514;A
2020;C01;16;DIVORCIOS;375.92234;A
2020;C01;17;DIVORCIOS;455.99497;A
2020;C01;18;DIVORCIOS;454.18921;A
2020;C01;19;DIVORCIOS;367.69542;A
2020;C01;20;DIVORCIOS;402.79001;A
2020;C01;21;DIVORCIOS;402.08369;A
2020;C01;22;DIVORCIOS;367.8291;A
2020;C01;23;DIVORCIOS;285.89441;A
2020;C01;24;DIVORCIOS;260.45945;A
2020;C01;25;DIVORCIOS;248.89909;A
2020;C01;26;DIVORCIOS;224.10011;A
2020;C01;27;DIVORCIOS;229.95501;A
2020;C01;28;DIVORCIOS;322.15678;A
2020;C01;29;DIVORCIOS;278.20965;A
2020;C01;30;DIVORCIOS;195.71512;A
2020;C01;31;DIVORCIOS;215.49089;A
2020;C01;32;DIVORCIOS;175.94017;A
2020;C01;33;DIVORCIOS;156.06201;A
2020;C01;34;DIVORCIOS;99.99217;A
2020;C01;35;DIVORCIOS;96.38275;A
2020;C01;36;DIVORCIOS;133.05631;A
2020;C01;37;DIVORCIOS;86.95084;A
2020;C01;38;DIVORCIOS;123.48742;A
2020;C01;39;DIVORCIOS;65.78243;A
2020;C01;40;DIVORCIOS;88.15513;A
2020;C01;41;DIVORCIOS;92.76715;A
2020;C01;42;DIVORCIOS;84.60564;A
2020;C01;43;DIVORCIOS;58.88;A
2020;C01;44;DIVORCIOS;53.84997;A
2020;C01;45;DIVORCIOS;45.14581;A
2020;C01;46;DIVORCIOS;16.89095;A
2020;C01;47;DIVORCIOS;41.09974;A
2020;C01;48;DIVORCIOS;18.9115;A
2020;C01;49;DIVORCIOS;16.47433;A
2020;C01;50;DIVORCIOS;5.56848;A
2020;C01;51;DIVORCIOS;7.74884;A
2020;C01;52;DIVORCIOS;5.40621;A
2020;C01;53;DIVORCIOS;3.76555;A
2020;C01;54;DIVORCIOS;2.97697;A
2020;C01;55;DIVORCIOS;9.13691;A
2020;C01;56;DIVORCIOS;3.13867;A
2020;C01;57;DIVORCIOS;6.19373;A
2020;C01;62;DIVORCIOS;3.05506;A
2020;C01;64;DIVORCIOS;2.04874;A
2020;04;00;DIVORCIOS;1287.5417;A
2020;04;0;DIVORCIOS;8.24498;A
2020;04;1;DIVORCIOS;19.83948;A
2020;04;2;DIVORCIOS;45.20016;A
2020;04;3;DIVORCIOS;91.57816;A
