TEMPORAL;TERRITORIO;NUMHIJOSMENORED;INDICATOR;OBS_VALUE;FREQ
2020;C01;000;DIVORCIOS;13992.45022;A
2020;C01;0;DIVORCIOS;6504.66592;A
2020;C01;1;DIVORCIOS;3659.29909;A
2020;C01;2;DIVORCIOS;3396.99825;A
2020;C01;3;DIVORCIOS;396.5127;A
2020;C01;4;DIVORCIOS;29.70055;A
2020;C01;05MAS;DIVORCIOS;5.27371;A
2020;04;000;DIVORCIOS;1287.5417;A
2020;04;0;DIVORCIOS;621.46538;A
2020;04;1;DIVORCIOS;315.95928;A
2020;04;2;DIVORCIOS;309.5547;A
2020;04;3;DIVORCIOS;38.42748;A
2020;04;4;DIVORCIOS;2.13486;A
2020;11;000;DIVORCIOS;1956.38358;A
2020;11;0;DIVORCIOS;865.76566;A
2020;11;1;DIVORCIOS;543.20352;A
2020;11;2;DIVORCIOS;477.93488;A
2020;11;3;DIVORCIOS;65.26864;A
2020;11;4;DIVORCIOS;4.21088;A
2020;14;000;DIVORCIOS;1295.68526;A
2020;14;0;DIVORCIOS;586.82122;A
2020;14;1;DIVORCIOS;340.09084;A
2020;14;2;DIVORCIOS;317.5547;A
2020;14;3;DIVORCIOS;47.12102;A
2020;14;4;DIVORCIOS;4.09748;A
2020;18;000;DIVORCIOS;1333.9225;A
2020;18;0;DIVORCIOS;570.58384;A
2020;18;1;DIVORCIOS;358.30182;A
2020;18;2;DIVORCIOS;360.89821;A
2020;18;3;DIVORCIOS;44.13863;A
2020;21;000;DIVORCIOS;832.55851;A
2020;21;0;DIVORCIOS;376.04119;A
2020;21;1;DIVORCIOS;246.89202;A
2020;21;2;DIVORCIOS;195.65028;A
2020;21;3;DIVORCIOS;13.97502;A
2020;23;000;DIVORCIOS;886.77634;A
2020;23;0;DIVORCIOS;471.77282;A
2020;23;1;DIVORCIOS;207.50176;A
2020;23;2;DIVORCIOS;184.12128;A
2020;23;3;DIVORCIOS;20.45792;A
2020;23;05MAS;DIVORCIOS;2.92256;A
2020;29;000;DIVORCIOS;3009.31704;A
2020;29;0;DIVORCIOS;1488.12299;A
2020;29;1;DIVORCIOS;728.8565;A
2020;29;2;DIVORCIOS;710.0473;A
2020;29;3;DIVORCIOS;65.8322;A
2020;29;4;DIVORCIOS;14.1069;A
2020;29;05MAS;DIVORCIOS;2.35115;A
2020;41;000;DIVORCIOS;3390.26529;A
2020;41;0;DIVORCIOS;1524.09282;A
2020;41;1;DIVORCIOS;918.49335;A
2020;41;2;DIVORCIOS;841.2369;A
2020;41;3;DIVORCIOS;101.29179;A
2020;41;4;DIVORCIOS;5.15043;A
2019;C01;000;DIVORCIOS;17078.2748;A
2019;C01;0;DIVORCIOS;7873.34974;A
2019;C01;1;DIVORCIOS;4512.6298;A
2019;C01;2;DIVORCIOS;4096.56814;A
2019;C01;3;DIVORCIOS;522.642;A
2019;C01;4;DIVORCIOS;64.13179;A
2019;C01;05MAS;DIVORCIOS;8.95333;A
2019;04;000;DIVORCIOS;1684.43364;A
2019;04;0;DIVORCIOS;762.64566;A
2019;04;1;DIVORCIOS;452.77251;A
2019;04;2;DIVORCIOS;406.074;A
2019;04;3;DIVORCIOS;54.81999;A
2019;04;4;DIVORCIOS;6.09111;A
2019;04;05MAS;DIVORCIOS;2.03037;A
2019;11;000;DIVORCIOS;2350.11045;A
2019;11;0;DIVORCIOS;1046.38673;A
2019;11;1;DIVORCIOS;675.8434;A
2019;11;2;DIVORCIOS;523.2336;A
2019;11;3;DIVORCIOS;89.38574;A
2019;11;4;DIVORCIOS;13.08084;A
2019;11;05MAS;DIVORCIOS;2.18014;A
2019;14;000;DIVORCIOS;1369.08113;A
2019;14;0;DIVORCIOS;596.97089;A
2019;14;1;DIVORCIOS;365.5825;A
2019;14;2;DIVORCIOS;348.03454;A
2019;14;3;DIVORCIOS;54.10621;A
2019;14;4;DIVORCIOS;4.38699;A
2019;18;000;DIVORCIOS;1634.5488;A
2019;18;0;DIVORCIOS;788.30896;A
2019;18;1;DIVORCIOS;424.31856;A
2019;18;2;DIVORCIOS;361.98928;A
2019;18;3;DIVORCIOS;52.74016;A
2019;18;4;DIVORCIOS;4.79456;A
2019;18;05MAS;DIVORCIOS;2.39728;A
2019;21;000;DIVORCIOS;1003.79841;A
2019;21;0;DIVORCIOS;380.19285;A
