TEMPORAL;TERRITORIO;CUSTODIA;INDICATOR;OBS_VALUE;FREQ
2020;C01;00;DIVORCIOS;13992.45022;A
2020;C01;1;DIVORCIOS;337.27469;A
2020;C01;2;DIVORCIOS;4934.92235;A
2020;C01;3;DIVORCIOS;2201.63752;A
2020;C01;4;DIVORCIOS;13.94974;A
2020;C01;NP;DIVORCIOS;6504.66592;A
2020;04;00;DIVORCIOS;1287.5417;A
2020;04;1;DIVORCIOS;40.56234;A
2020;04;2;DIVORCIOS;414.16284;A
2020;04;3;DIVORCIOS;211.35114;A
2020;04;NP;DIVORCIOS;621.46538;A
2020;11;00;DIVORCIOS;1956.38358;A
2020;11;1;DIVORCIOS;56.84688;A
2020;11;2;DIVORCIOS;753.74752;A
2020;11;3;DIVORCIOS;277.91808;A
2020;11;4;DIVORCIOS;2.10544;A
2020;11;NP;DIVORCIOS;865.76566;A
2020;14;00;DIVORCIOS;1295.68526;A
2020;14;1;DIVORCIOS;34.82858;A
2020;14;2;DIVORCIOS;463.01524;A
2020;14;3;DIVORCIOS;206.92274;A
2020;14;4;DIVORCIOS;4.09748;A
2020;14;NP;DIVORCIOS;586.82122;A
2020;18;00;DIVORCIOS;1333.9225;A
2020;18;1;DIVORCIOS;31.15668;A
2020;18;2;DIVORCIOS;475.13937;A
2020;18;3;DIVORCIOS;254.44622;A
2020;18;4;DIVORCIOS;2.59639;A
2020;18;NP;DIVORCIOS;570.58384;A
2020;21;00;DIVORCIOS;832.55851;A
2020;21;1;DIVORCIOS;9.31668;A
2020;21;2;DIVORCIOS;358.69218;A
2020;21;3;DIVORCIOS;88.50846;A
2020;21;NP;DIVORCIOS;376.04119;A
2020;23;00;DIVORCIOS;886.77634;A
2020;23;1;DIVORCIOS;32.14816;A
2020;23;2;DIVORCIOS;265.95296;A
2020;23;3;DIVORCIOS;116.9024;A
2020;23;NP;DIVORCIOS;471.77282;A
2020;29;00;DIVORCIOS;3009.31704;A
2020;29;1;DIVORCIOS;51.7253;A
2020;29;2;DIVORCIOS;1055.66635;A
2020;29;3;DIVORCIOS;413.8024;A
2020;29;NP;DIVORCIOS;1488.12299;A
2020;41;00;DIVORCIOS;3390.26529;A
2020;41;1;DIVORCIOS;80.69007;A
2020;41;2;DIVORCIOS;1148.54589;A
2020;41;3;DIVORCIOS;631.78608;A
2020;41;4;DIVORCIOS;5.15043;A
2020;41;NP;DIVORCIOS;1524.09282;A
2019;C01;00;DIVORCIOS;17078.2748;A
2019;C01;1;DIVORCIOS;457.113;A
2019;C01;2;DIVORCIOS;6377.00035;A
2019;C01;3;DIVORCIOS;2328.20643;A
2019;C01;4;DIVORCIOS;42.60528;A
2019;C01;NP;DIVORCIOS;7873.34974;A
2019;04;00;DIVORCIOS;1684.43364;A
2019;04;1;DIVORCIOS;46.69851;A
2019;04;2;DIVORCIOS;647.68803;A
2019;04;3;DIVORCIOS;227.40144;A
2019;04;NP;DIVORCIOS;762.64566;A
2019;11;00;DIVORCIOS;2350.11045;A
2019;11;1;DIVORCIOS;74.12476;A
2019;11;2;DIVORCIOS;935.28006;A
2019;11;3;DIVORCIOS;292.13876;A
2019;11;4;DIVORCIOS;2.18014;A
2019;11;NP;DIVORCIOS;1046.38673;A
2019;14;00;DIVORCIOS;1369.08113;A
2019;14;1;DIVORCIOS;49.71922;A
2019;14;2;DIVORCIOS;498.65453;A
2019;14;3;DIVORCIOS;219.3495;A
2019;14;4;DIVORCIOS;4.38699;A
2019;14;NP;DIVORCIOS;596.97089;A
2019;18;00;DIVORCIOS;1634.5488;A
2019;18;1;DIVORCIOS;43.15104;A
2019;18;2;DIVORCIOS;548.97712;A
2019;18;3;DIVORCIOS;251.7144;A
2019;18;4;DIVORCIOS;2.39728;A
2019;18;NP;DIVORCIOS;788.30896;A
2019;21;00;DIVORCIOS;1003.79841;A
2019;21;1;DIVORCIOS;39.73957;A
2019;21;2;DIVORCIOS;467.70417;A
2019;21;3;DIVORCIOS;113.10493;A
2019;21;4;DIVORCIOS;3.05689;A
2019;21;NP;DIVORCIOS;380.19285;A
2019;23;00;DIVORCIOS;1181.24056;A
2019;23;1;DIVORCIOS;15.2011;A
2019;23;2;DIVORCIOS;337.46442;A
2019;23;3;DIVORCIOS;124.64902;A
2019;23;4;DIVORCIOS;9.12066;A
2019;23;NP;DIVORCIOS;694.80536;A
2019;29;00;DIVORCIOS;3795.50761;A
2019;29;1;DIVORCIOS;79.74836;A
2019;29;2;DIVORCIOS;1386.21414;A
2019;29;3;DIVORCIOS;419.85166;A
2019;29;4;DIVORCIOS;9.38216;A
2019;29;NP;DIVORCIOS;1900.31129;A
2019;41;00;DIVORCIOS;4059.5542;A
2019;41;1;DIVORCIOS;108.73044;A
2019;41;2;DIVORCIOS;1555.01788;A
2019;41;3;DIVORCIOS;679.99672;A
2019;41;4;DIVORCIOS;12.08116;A
2019;41;NP;DIVORCIOS;1703.728;A
2018;C01;00;DIVORCIOS;16934.828;A
2018;C01;1;DIVORCIOS;395.6731;A
2018;C01;2;DIVORCIOS;6642.8322;A
2018;C01;3;DIVORCIOS;2033.3118;A
2018;C01;4;DIVORCIOS;44.1893;A
2018;C01;NP;DIVORCIOS;7818.8216;A
2018;04;00;DIVORCIOS;1456.1395;A
2018;04;1;DIVORCIOS;45.5756;A
2018;04;2;DIVORCIOS;522.4917;A
2018;04;3;DIVORCIOS;209.9733;A
2018;04;4;DIVORCIOS;4.8831;A
2018;04;NP;DIVORCIOS;673.2158;A
2018;11;00;DIVORCIOS;2490.3415;A
2018;11;1;DIVORCIOS;37.0277;A
2018;11;2;DIVORCIOS;1115.1872;A
2018;11;3;DIVORCIOS;235.2348;A
2018;11;NP;DIVORCIOS;1102.8918;A
2018;14;00;DIVORCIOS;1405.7198;A
2018;14;1;DIVORCIOS;41.984;A
2018;14;2;DIVORCIOS;566.784;A
2018;14;3;DIVORCIOS;182.368;A
2018;14;4;DIVORCIOS;3.936;A
2018;14;NP;DIVORCIOS;610.6478;A
2018;18;00;DIVORCIOS;1684.5826;A
2018;18;1;DIVORCIOS;39.7392;A
2018;18;2;DIVORCIOS;598.4256;A
2018;18;3;DIVORCIOS;222.072;A
2018;18;4;DIVORCIOS;2.3376;A
2018;18;NP;DIVORCIOS;822.0082;A
2018;21;00;DIVORCIOS;986.218;A
2018;21;1;DIVORCIOS;33.638;A
2018;21;2;DIVORCIOS;422.004;A
2018;21;3;DIVORCIOS;85.624;A
2018;21;4;DIVORCIOS;12.232;A
2018;21;NP;DIVORCIOS;432.72;A
2018;23;00;DIVORCIOS;1108.2069;A
2018;23;1;DIVORCIOS;39.2581;A
2018;23;2;DIVORCIOS;351.0136;A
2018;23;3;DIVORCIOS;85.4441;A
2018;23;4;DIVORCIOS;4.6186;A
2018;23;NP;DIVORCIOS;627.8725;A
2018;29;00;DIVORCIOS;3718.358;A
2018;29;1;DIVORCIOS;74.7118;A
2018;29;2;DIVORCIOS;1433.2869;A
2018;29;3;DIVORCIOS;367.6607;A
2018;29;4;DIVORCIOS;5.8983;A
2018;29;NP;DIVORCIOS;1836.8003;A
2018;41;00;DIVORCIOS;4085.2617;A
2018;41;1;DIVORCIOS;83.7387;A
2018;41;2;DIVORCIOS;1633.6392;A
2018;41;3;DIVORCIOS;644.9349;A
2018;41;4;DIVORCIOS;10.2837;A
2018;41;NP;DIVORCIOS;1712.6652;A
2017;C01;00;DIVORCIOS;17436.6101;A
2017;C01;1;DIVORCIOS;379.8199;A
2017;C01;2;DIVORCIOS;7175.7275;A
2017;C01;3;DIVORCIOS;1828.2458;A
2017;C01;4;DIVORCIOS;40.0951;A
2017;C01;NP;DIVORCIOS;8012.7218;A
2017;04;00;DIVORCIOS;1454.7143;A
2017;04;1;DIVORCIOS;31.9452;A
2017;04;2;DIVORCIOS;553.7168;A
2017;04;3;DIVORCIOS;150.5988;A
