TEMPORAL;TERRITORIO;NACIONACONYUGES;INDICATOR;OBS_VALUE;FREQ
2020;C01;00;DIVORCIOS;13992.45022;A
2020;C01;11;DIVORCIOS;12436.98899;A
2020;C01;10;DIVORCIOS;12436.98899;A
2020;C01;1;DIVORCIOS;12436.98899;A
2020;C01;22;DIVORCIOS;1555.46123;A
2020;C01;20;DIVORCIOS;1042.35649;A
2020;C01;2;DIVORCIOS;504.9678;A
2020;C01;3;DIVORCIOS;537.38869;A
2020;C01;30;DIVORCIOS;513.10474;A
2020;C01;4;DIVORCIOS;363.16796;A
2020;C01;5;DIVORCIOS;149.93678;A
2020;04;00;DIVORCIOS;1287.5417;A
2020;04;11;DIVORCIOS;1015.01572;A
2020;04;10;DIVORCIOS;1015.01572;A
2020;04;1;DIVORCIOS;1015.01572;A
2020;04;22;DIVORCIOS;272.52598;A
2020;04;20;DIVORCIOS;170.89926;A
2020;04;2;DIVORCIOS;83.0019;A
2020;04;3;DIVORCIOS;87.89736;A
2020;04;30;DIVORCIOS;101.62672;A
2020;04;4;DIVORCIOS;64.37708;A
2020;04;5;DIVORCIOS;37.24964;A
2020;11;00;DIVORCIOS;1956.38358;A
2020;11;11;DIVORCIOS;1768.35599;A
2020;11;10;DIVORCIOS;1768.35599;A
2020;11;1;DIVORCIOS;1768.35599;A
2020;11;22;DIVORCIOS;188.02759;A
2020;11;20;DIVORCIOS;134.4753;A
2020;11;2;DIVORCIOS;64.07949;A
2020;11;3;DIVORCIOS;70.39581;A
2020;11;30;DIVORCIOS;53.55229;A
2020;11;4;DIVORCIOS;46.20274;A
2020;11;5;DIVORCIOS;7.34955;A
2020;14;00;DIVORCIOS;1295.68526;A
2020;14;11;DIVORCIOS;1269.4362;A
2020;14;10;DIVORCIOS;1269.4362;A
2020;14;1;DIVORCIOS;1269.4362;A
2020;14;22;DIVORCIOS;26.24906;A
2020;14;20;DIVORCIOS;24.20032;A
2020;14;2;DIVORCIOS;9.12319;A
2020;14;3;DIVORCIOS;15.07713;A
2020;14;30;DIVORCIOS;2.04874;A
2020;14;4;DIVORCIOS;2.04874;A
2020;18;00;DIVORCIOS;1333.9225;A
2020;18;11;DIVORCIOS;1243.73682;A
2020;18;10;DIVORCIOS;1243.73682;A
2020;18;1;DIVORCIOS;1243.73682;A
2020;18;22;DIVORCIOS;90.18568;A
2020;18;20;DIVORCIOS;62.44648;A
2020;18;2;DIVORCIOS;31.22324;A
2020;18;3;DIVORCIOS;31.22324;A
2020;18;30;DIVORCIOS;27.7392;A
2020;18;4;DIVORCIOS;25.14281;A
2020;18;5;DIVORCIOS;2.59639;A
2020;21;00;DIVORCIOS;832.55851;A
2020;21;11;DIVORCIOS;751.05165;A
2020;21;10;DIVORCIOS;751.05165;A
2020;21;1;DIVORCIOS;751.05165;A
2020;21;22;DIVORCIOS;81.50686;A
2020;21;20;DIVORCIOS;57.05762;A
