TEMPORAL;TERRITORIO;TIPOMATRIMONIO;INDICATOR;OBS_VALUE;FREQ
2020;C01;00;DIVORCIOS;13992.45022;A
2020;C01;1;DIVORCIOS;13849.59059;A
2020;C01;23;DIVORCIOS;142.85963;A
2020;C01;2;DIVORCIOS;63.90317;A
2020;C01;3;DIVORCIOS;78.95646;A
2020;04;00;DIVORCIOS;1287.5417;A
2020;04;1;DIVORCIOS;1280.21692;A
2020;04;23;DIVORCIOS;7.32478;A
2020;04;2;DIVORCIOS;2.13486;A
2020;04;3;DIVORCIOS;5.18992;A
2020;11;00;DIVORCIOS;1956.38358;A
2020;11;1;DIVORCIOS;1931.19626;A
2020;11;23;DIVORCIOS;25.18732;A
2020;11;2;DIVORCIOS;12.59366;A
2020;11;3;DIVORCIOS;12.59366;A
2020;14;00;DIVORCIOS;1295.68526;A
2020;14;1;DIVORCIOS;1287.68258;A
2020;14;23;DIVORCIOS;8.00268;A
2020;14;2;DIVORCIOS;2.97697;A
2020;14;3;DIVORCIOS;5.02571;A
2020;18;00;DIVORCIOS;1333.9225;A
2020;18;1;DIVORCIOS;1327.84207;A
2020;18;23;DIVORCIOS;6.08043;A
2020;18;3;DIVORCIOS;6.08043;A
2020;21;00;DIVORCIOS;832.55851;A
2020;21;1;DIVORCIOS;821.20909;A
2020;21;23;DIVORCIOS;11.34942;A
2020;21;2;DIVORCIOS;3.78314;A
2020;21;3;DIVORCIOS;7.56628;A
2020;23;00;DIVORCIOS;886.77634;A
2020;23;1;DIVORCIOS;877.37789;A
2020;23;23;DIVORCIOS;9.39845;A
2020;23;2;DIVORCIOS;6.47589;A
2020;23;3;DIVORCIOS;2.92256;A
2020;29;00;DIVORCIOS;3009.31704;A
2020;29;1;DIVORCIOS;2985.99667;A
2020;29;23;DIVORCIOS;23.32037;A
2020;29;2;DIVORCIOS;9.34089;A
2020;29;3;DIVORCIOS;13.97948;A
2020;41;00;DIVORCIOS;3390.26529;A
2020;41;1;DIVORCIOS;3338.06911;A
2020;41;23;DIVORCIOS;52.19618;A
2020;41;2;DIVORCIOS;26.59776;A
2020;41;3;DIVORCIOS;25.59842;A
2019;C01;00;DIVORCIOS;17078.2748;A
2019;C01;1;DIVORCIOS;16906.61714;A
2019;C01;23;DIVORCIOS;171.65766;A
2019;C01;2;DIVORCIOS;83.76808;A
2019;C01;3;DIVORCIOS;87.88958;A
2019;04;00;DIVORCIOS;1684.43364;A
2019;04;1;DIVORCIOS;1674.55734;A
2019;04;23;DIVORCIOS;9.8763;A
2019;04;2;DIVORCIOS;9.8763;A
2019;11;00;DIVORCIOS;2350.11045;A
2019;11;1;DIVORCIOS;2311.24632;A
2019;11;23;DIVORCIOS;38.86413;A
2019;11;2;DIVORCIOS;12.66128;A
2019;11;3;DIVORCIOS;26.20285;A
2019;14;00;DIVORCIOS;1369.08113;A
2019;14;1;DIVORCIOS;1357.52818;A
2019;14;23;DIVORCIOS;11.55295;A
2019;14;2;DIVORCIOS;1.46233;A
2019;14;3;DIVORCIOS;10.09062;A
2019;18;00;DIVORCIOS;1634.5488;A
2019;18;1;DIVORCIOS;1617.68672;A
2019;18;23;DIVORCIOS;16.86208;A
2019;18;2;DIVORCIOS;11.07616;A
2019;18;3;DIVORCIOS;5.78592;A
2019;21;00;DIVORCIOS;1003.79841;A
2019;21;1;DIVORCIOS;992.62978;A
2019;21;23;DIVORCIOS;11.16863;A
2019;21;2;DIVORCIOS;11.16863;A
2019;23;00;DIVORCIOS;1181.24056;A
2019;23;1;DIVORCIOS;1178.20034;A
2019;23;23;DIVORCIOS;3.04022;A
2019;23;3;DIVORCIOS;3.04022;A
2019;29;00;DIVORCIOS;3795.50761;A
2019;29;1;DIVORCIOS;3762.58886;A
2019;29;23;DIVORCIOS;32.91875;A
2019;29;2;DIVORCIOS;14.77819;A
2019;29;3;DIVORCIOS;18.14056;A
2019;41;00;DIVORCIOS;4059.5542;A
2019;41;1;DIVORCIOS;4012.1796;A
2019;41;23;DIVORCIOS;47.3746;A
2019;41;2;DIVORCIOS;22.74519;A
2019;41;3;DIVORCIOS;24.62941;A
2018;C01;00;DIVORCIOS;16934.828;A
2018;C01;1;DIVORCIOS;16797.5122;A
2018;C01;23;DIVORCIOS;137.3158;A
2018;C01;2;DIVORCIOS;72.9398;A
2018;C01;3;DIVORCIOS;64.376;A
2018;04;00;DIVORCIOS;1456.1395;A
