D_TEMPORAL_0;D_ESTADO_DATO_0;D_IASS_TIPOVENTAS_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2005-01;40123;61753;3143;Índice Cifra de Negocio;104.894478487;M
2005-01;40123;61754;3143;Índice Cifra de Negocio;108.368242178;M
2005-01;40123;61755;3143;Índice Cifra de Negocio;96.390242551;M
2005-01;40123;61756;3143;Índice Cifra de Negocio;88.03322254;M
2005-01;40123;61757;3143;Índice Cifra de Negocio;90.092344509;M
2005-01;40123;61758;3143;Índice Cifra de Negocio;100.062094988;M
2005-01;40123;61759;3143;Índice Cifra de Negocio;124.569067656;M
2005-01;40123;61760;3143;Índice Cifra de Negocio;94.659143492;M
2005-02;40123;61753;3143;Índice Cifra de Negocio;101.873131653;M
2005-02;40123;61754;3143;Índice Cifra de Negocio;103.779586885;M
2005-02;40123;61755;3143;Índice Cifra de Negocio;97.316243895;M
2005-02;40123;61756;3143;Índice Cifra de Negocio;92.544657192;M
2005-02;40123;61757;3143;Índice Cifra de Negocio;91.528660422;M
2005-02;40123;61758;3143;Índice Cifra de Negocio;96.832850043;M
2005-02;40123;61759;3143;Índice Cifra de Negocio;118.635443784;M
2005-02;40123;61760;3143;Índice Cifra de Negocio;97.625850776;M
2005-03;40123;61753;3143;Índice Cifra de Negocio;118.084827437;M
2005-03;40123;61754;3143;Índice Cifra de Negocio;120.13769939;M
2005-03;40123;61755;3143;Índice Cifra de Negocio;113.198863045;M
2005-03;40123;61756;3143;Índice Cifra de Negocio;97.715569499;M
2005-03;40123;61757;3143;Índice Cifra de Negocio;113.060834084;M
2005-03;40123;61758;3143;Índice Cifra de Negocio;104.975335237;M
2005-03;40123;61759;3143;Índice Cifra de Negocio;131.814839145;M
2005-03;40123;61760;3143;Índice Cifra de Negocio;145.941887312;M
2005-04;40123;61753;3143;Índice Cifra de Negocio;118.245316971;M
2005-04;40123;61754;3143;Índice Cifra de Negocio;120.87609764;M
2005-04;40123;61755;3143;Índice Cifra de Negocio;111.901483932;M
2005-04;40123;61756;3143;Índice Cifra de Negocio;101.868346164;M
2005-04;40123;61757;3143;Índice Cifra de Negocio;114.735654079;M
2005-04;40123;61758;3143;Índice Cifra de Negocio;107.708381848;M
2005-04;40123;61759;3143;Índice Cifra de Negocio;135.838741854;M
2005-04;40123;61760;3143;Índice Cifra de Negocio;113.066409735;M
2005-05;40123;61753;3143;Índice Cifra de Negocio;118.755602349;M
2005-05;40123;61754;3143;Índice Cifra de Negocio;119.581416579;M
2005-05;40123;61755;3143;Índice Cifra de Negocio;116.967610353;M
2005-05;40123;61756;3143;Índice Cifra de Negocio;106.374995764;M
2005-05;40123;61757;3143;Índice Cifra de Negocio;123.157598076;M
2005-05;40123;61758;3143;Índice Cifra de Negocio;110.687048111;M
2005-05;40123;61759;3143;Índice Cifra de Negocio;130.71373255;M
2005-05;40123;61760;3143;Índice Cifra de Negocio;128.057332872;M
2005-06;40123;61753;3143;Índice Cifra de Negocio;125.721611721;M
2005-06;40123;61754;3143;Índice Cifra de Negocio;125.693422417;M
2005-06;40123;61755;3143;Índice Cifra de Negocio;126.105926131;M
2005-06;40123;61756;3143;Índice Cifra de Negocio;108.337518816;M
2005-06;40123;61757;3143;Índice Cifra de Negocio;124.878831548;M
2005-06;40123;61758;3143;Índice Cifra de Negocio;118.575985189;M
2005-06;40123;61759;3143;Índice Cifra de Negocio;144.810844825;M
2005-06;40123;61760;3143;Índice Cifra de Negocio;166.335075936;M
2005-07;40123;61753;3143;Índice Cifra de Negocio;126.126911138;M
2005-07;40123;61754;3143;Índice Cifra de Negocio;122.853241431;M
2005-07;40123;61755;3143;Índice Cifra de Negocio;134.701732242;M
2005-07;40123;61756;3143;Índice Cifra de Negocio;102.331182154;M
2005-07;40123;61757;3143;Índice Cifra de Negocio;141.952611283;M
2005-07;40123;61758;3143;Índice Cifra de Negocio;114.533334528;M
2005-07;40123;61759;3143;Índice Cifra de Negocio;151.583626386;M
2005-07;40123;61760;3143;Índice Cifra de Negocio;218.024899234;M
2005-08;40123;61753;3143;Índice Cifra de Negocio;110.666385161;M
2005-08;40123;61754;3143;Índice Cifra de Negocio;108.663910628;M
2005-08;40123;61755;3143;Índice Cifra de Negocio;115.995016991;M
2005-08;40123;61756;3143;Índice Cifra de Negocio;92.339916965;M
2005-08;40123;61757;3143;Índice Cifra de Negocio;153.392438665;M
2005-08;40123;61758;3143;Índice Cifra de Negocio;100.327652092;M
2005-08;40123;61759;3143;Índice Cifra de Negocio;94.265767919;M
2005-08;40123;61760;3143;Índice Cifra de Negocio;160.216730638;M
2005-09;40123;61753;3143;Índice Cifra de Negocio;115.601967183;M
2005-09;40123;61754;3143;Índice Cifra de Negocio;113.779464353;M
2005-09;40123;61755;3143;Índice Cifra de Negocio;120.488761557;M
2005-09;40123;61756;3143;Índice Cifra de Negocio;101.711104378;M
2005-09;40123;61757;3143;Índice Cifra de Negocio;137.889494016;M
2005-09;40123;61758;3143;Índice Cifra de Negocio;109.794613608;M
2005-09;40123;61759;3143;Índice Cifra de Negocio;131.705602905;M
2005-09;40123;61760;3143;Índice Cifra de Negocio;142.701067311;M
2005-10;40123;61753;3143;Índice Cifra de Negocio;114.961879356;M
2005-10;40123;61754;3143;Índice Cifra de Negocio;113.304846914;M
2005-10;40123;61755;3143;Índice Cifra de Negocio;119.429538751;M
2005-10;40123;61756;3143;Índice Cifra de Negocio;98.893955756;M
2005-10;40123;61757;3143;Índice Cifra de Negocio;120.867826854;M
2005-10;40123;61758;3143;Índice Cifra de Negocio;116.198513472;M
2005-10;40123;61759;3143;Índice Cifra de Negocio;145.98391166;M
2005-10;40123;61760;3143;Índice Cifra de Negocio;148.294483602;M
2005-11;40123;61753;3143;Índice Cifra de Negocio;118.590424045;M
2005-11;40123;61754;3143;Índice Cifra de Negocio;119.758544451;M
2005-11;40123;61755;3143;Índice Cifra de Negocio;115.938260816;M
2005-11;40123;61756;3143;Índice Cifra de Negocio;104.497168442;M
2005-11;40123;61757;3143;Índice Cifra de Negocio;106.024854521;M
2005-11;40123;61758;3143;Índice Cifra de Negocio;112.26792287;M
2005-11;40123;61759;3143;Índice Cifra de Negocio;137.013144331;M
2005-11;40123;61760;3143;Índice Cifra de Negocio;146.52779819;M
2005-12;40123;61753;3143;Índice Cifra de Negocio;136.241493473;M
2005-12;40123;61754;3143;Índice Cifra de Negocio;140.524899143;M
2005-12;40123;61755;3143;Índice Cifra de Negocio;125.772331903;M
2005-12;40123;61756;3143;Índice Cifra de Negocio;110.571796041;M
2005-12;40123;61757;3143;Índice Cifra de Negocio;116.884555343;M
2005-12;40123;61758;3143;Índice Cifra de Negocio;131.888955354;M
2005-12;40123;61759;3143;Índice Cifra de Negocio;170.489771608;M
2005-12;40123;61760;3143;Índice Cifra de Negocio;125.909418143;M
2006-01;40123;61753;3143;Índice Cifra de Negocio;111.596813678;M
2006-01;40123;61754;3143;Índice Cifra de Negocio;114.753667155;M
2006-01;40123;61755;3143;Índice Cifra de Negocio;103.908950542;M
2006-01;40123;61756;3143;Índice Cifra de Negocio;95.287597943;M
2006-01;40123;61757;3143;Índice Cifra de Negocio;96.290943171;M
2006-01;40123;61758;3143;Índice Cifra de Negocio;105.2264053;M
2006-01;40123;61759;3143;Índice Cifra de Negocio;141.711218575;M
2006-01;40123;61760;3143;Índice Cifra de Negocio;97.036787728;M
2006-02;40123;61753;3143;Índice Cifra de Negocio;107.808221545;M
2006-02;40123;61754;3143;Índice Cifra de Negocio;109.447266076;M
2006-02;40123;61755;3143;Índice Cifra de Negocio;103.940890501;M
2006-02;40123;61756;3143;Índice Cifra de Negocio;98.406803641;M
2006-02;40123;61757;3143;Índice Cifra de Negocio;96.156986822;M
2006-02;40123;61758;3143;Índice Cifra de Negocio;104.800684239;M
2006-02;40123;61759;3143;Índice Cifra de Negocio;133.021245008;M
2006-02;40123;61760;3143;Índice Cifra de Negocio;99.390121534;M
2006-03;40123;61753;3143;Índice Cifra de Negocio;127.208925295;M
2006-03;40123;61754;3143;Índice Cifra de Negocio;131.316165363;M
2006-03;40123;61755;3143;Índice Cifra de Negocio;117.16179108;M
2006-03;40123;61756;3143;Índice Cifra de Negocio;113.035332347;M
2006-03;40123;61757;3143;Índice Cifra de Negocio;111.887649567;M
2006-03;40123;61758;3143;Índice Cifra de Negocio;115.414055858;M
2006-03;40123;61759;3143;Índice Cifra de Negocio;137.33541813;M
2006-03;40123;61760;3143;Índice Cifra de Negocio;117.755044475;M
2006-04;40123;61753;3143;Índice Cifra de Negocio;118.503476626;M
2006-04;40123;61754;3143;Índice Cifra de Negocio;117.882251238;M
2006-04;40123;61755;3143;Índice Cifra de Negocio;120.366250223;M
2006-04;40123;61756;3143;Índice Cifra de Negocio;106.023474704;M
2006-04;40123;61757;3143;Índice Cifra de Negocio;126.172959909;M
2006-04;40123;61758;3143;Índice Cifra de Negocio;111.327945518;M
2006-04;40123;61759;3143;Índice Cifra de Negocio;137.853042005;M
2006-04;40123;61760;3143;Índice Cifra de Negocio;141.645920265;M
2006-05;40123;61753;3143;Índice Cifra de Negocio;129.095851274;M
2006-05;40123;61754;3143;Índice Cifra de Negocio;129.893601177;M
