TEMPORAL;OBS_STATUS;TIPO_VENTAS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2005-01;D;01;;INDI_CIFR_NEGO;104.894478487;M
2005-01;D;02;;INDI_CIFR_NEGO;108.368242178;M
2005-01;D;03;;INDI_CIFR_NEGO;96.390242551;M
2005-01;D;04;;INDI_CIFR_NEGO;88.03322254;M
2005-01;D;05;;INDI_CIFR_NEGO;90.092344509;M
2005-01;D;06;;INDI_CIFR_NEGO;100.062094988;M
2005-01;D;07;;INDI_CIFR_NEGO;124.569067656;M
2005-01;D;08;;INDI_CIFR_NEGO;94.659143492;M
2005-02;D;01;;INDI_CIFR_NEGO;101.873131653;M
2005-02;D;02;;INDI_CIFR_NEGO;103.779586885;M
2005-02;D;03;;INDI_CIFR_NEGO;97.316243895;M
2005-02;D;04;;INDI_CIFR_NEGO;92.544657192;M
2005-02;D;05;;INDI_CIFR_NEGO;91.528660422;M
2005-02;D;06;;INDI_CIFR_NEGO;96.832850043;M
2005-02;D;07;;INDI_CIFR_NEGO;118.635443784;M
2005-02;D;08;;INDI_CIFR_NEGO;97.625850776;M
2005-03;D;01;;INDI_CIFR_NEGO;118.084827437;M
2005-03;D;02;;INDI_CIFR_NEGO;120.13769939;M
2005-03;D;03;;INDI_CIFR_NEGO;113.198863045;M
2005-03;D;04;;INDI_CIFR_NEGO;97.715569499;M
2005-03;D;05;;INDI_CIFR_NEGO;113.060834084;M
2005-03;D;06;;INDI_CIFR_NEGO;104.975335237;M
2005-03;D;07;;INDI_CIFR_NEGO;131.814839145;M
2005-03;D;08;;INDI_CIFR_NEGO;145.941887312;M
2005-04;D;01;;INDI_CIFR_NEGO;118.245316971;M
2005-04;D;02;;INDI_CIFR_NEGO;120.87609764;M
2005-04;D;03;;INDI_CIFR_NEGO;111.901483932;M
2005-04;D;04;;INDI_CIFR_NEGO;101.868346164;M
2005-04;D;05;;INDI_CIFR_NEGO;114.735654079;M
2005-04;D;06;;INDI_CIFR_NEGO;107.708381848;M
2005-04;D;07;;INDI_CIFR_NEGO;135.838741854;M
2005-04;D;08;;INDI_CIFR_NEGO;113.066409735;M
2005-05;D;01;;INDI_CIFR_NEGO;118.755602349;M
2005-05;D;02;;INDI_CIFR_NEGO;119.581416579;M
2005-05;D;03;;INDI_CIFR_NEGO;116.967610353;M
2005-05;D;04;;INDI_CIFR_NEGO;106.374995764;M
2005-05;D;05;;INDI_CIFR_NEGO;123.157598076;M
2005-05;D;06;;INDI_CIFR_NEGO;110.687048111;M
2005-05;D;07;;INDI_CIFR_NEGO;130.71373255;M
2005-05;D;08;;INDI_CIFR_NEGO;128.057332872;M
2005-06;D;01;;INDI_CIFR_NEGO;125.721611721;M
2005-06;D;02;;INDI_CIFR_NEGO;125.693422417;M
2005-06;D;03;;INDI_CIFR_NEGO;126.105926131;M
2005-06;D;04;;INDI_CIFR_NEGO;108.337518816;M
2005-06;D;05;;INDI_CIFR_NEGO;124.878831548;M
2005-06;D;06;;INDI_CIFR_NEGO;118.575985189;M
2005-06;D;07;;INDI_CIFR_NEGO;144.810844825;M
2005-06;D;08;;INDI_CIFR_NEGO;166.335075936;M
2005-07;D;01;;INDI_CIFR_NEGO;126.126911138;M
2005-07;D;02;;INDI_CIFR_NEGO;122.853241431;M
2005-07;D;03;;INDI_CIFR_NEGO;134.701732242;M
2005-07;D;04;;INDI_CIFR_NEGO;102.331182154;M
2005-07;D;05;;INDI_CIFR_NEGO;141.952611283;M
2005-07;D;06;;INDI_CIFR_NEGO;114.533334528;M
2005-07;D;07;;INDI_CIFR_NEGO;151.583626386;M
2005-07;D;08;;INDI_CIFR_NEGO;218.024899234;M
2005-08;D;01;;INDI_CIFR_NEGO;110.666385161;M
2005-08;D;02;;INDI_CIFR_NEGO;108.663910628;M
2005-08;D;03;;INDI_CIFR_NEGO;115.995016991;M
2005-08;D;04;;INDI_CIFR_NEGO;92.339916965;M
2005-08;D;05;;INDI_CIFR_NEGO;153.392438665;M
2005-08;D;06;;INDI_CIFR_NEGO;100.327652092;M
2005-08;D;07;;INDI_CIFR_NEGO;94.265767919;M
2005-08;D;08;;INDI_CIFR_NEGO;160.216730638;M
2005-09;D;01;;INDI_CIFR_NEGO;115.601967183;M
2005-09;D;02;;INDI_CIFR_NEGO;113.779464353;M
2005-09;D;03;;INDI_CIFR_NEGO;120.488761557;M
2005-09;D;04;;INDI_CIFR_NEGO;101.711104378;M
2005-09;D;05;;INDI_CIFR_NEGO;137.889494016;M
2005-09;D;06;;INDI_CIFR_NEGO;109.794613608;M
2005-09;D;07;;INDI_CIFR_NEGO;131.705602905;M
2005-09;D;08;;INDI_CIFR_NEGO;142.701067311;M
2005-10;D;01;;INDI_CIFR_NEGO;114.961879356;M
2005-10;D;02;;INDI_CIFR_NEGO;113.304846914;M
2005-10;D;03;;INDI_CIFR_NEGO;119.429538751;M
2005-10;D;04;;INDI_CIFR_NEGO;98.893955756;M
2005-10;D;05;;INDI_CIFR_NEGO;120.867826854;M
2005-10;D;06;;INDI_CIFR_NEGO;116.198513472;M
2005-10;D;07;;INDI_CIFR_NEGO;145.98391166;M
2005-10;D;08;;INDI_CIFR_NEGO;148.294483602;M
2005-11;D;01;;INDI_CIFR_NEGO;118.590424045;M
2005-11;D;02;;INDI_CIFR_NEGO;119.758544451;M
2005-11;D;03;;INDI_CIFR_NEGO;115.938260816;M
2005-11;D;04;;INDI_CIFR_NEGO;104.497168442;M
2005-11;D;05;;INDI_CIFR_NEGO;106.024854521;M
2005-11;D;06;;INDI_CIFR_NEGO;112.26792287;M
2005-11;D;07;;INDI_CIFR_NEGO;137.013144331;M
2005-11;D;08;;INDI_CIFR_NEGO;146.52779819;M
2005-12;D;01;;INDI_CIFR_NEGO;136.241493473;M
2005-12;D;02;;INDI_CIFR_NEGO;140.524899143;M
2005-12;D;03;;INDI_CIFR_NEGO;125.772331903;M
2005-12;D;04;;INDI_CIFR_NEGO;110.571796041;M
2005-12;D;05;;INDI_CIFR_NEGO;116.884555343;M
2005-12;D;06;;INDI_CIFR_NEGO;131.888955354;M
2005-12;D;07;;INDI_CIFR_NEGO;170.489771608;M
2005-12;D;08;;INDI_CIFR_NEGO;125.909418143;M
2006-01;D;01;;INDI_CIFR_NEGO;111.596813678;M
2006-01;D;02;;INDI_CIFR_NEGO;114.753667155;M
2006-01;D;03;;INDI_CIFR_NEGO;103.908950542;M
2006-01;D;04;;INDI_CIFR_NEGO;95.287597943;M
2006-01;D;05;;INDI_CIFR_NEGO;96.290943171;M
2006-01;D;06;;INDI_CIFR_NEGO;105.2264053;M
2006-01;D;07;;INDI_CIFR_NEGO;141.711218575;M
2006-01;D;08;;INDI_CIFR_NEGO;97.036787728;M
2006-02;D;01;;INDI_CIFR_NEGO;107.808221545;M
2006-02;D;02;;INDI_CIFR_NEGO;109.447266076;M
2006-02;D;03;;INDI_CIFR_NEGO;103.940890501;M
2006-02;D;04;;INDI_CIFR_NEGO;98.406803641;M
2006-02;D;05;;INDI_CIFR_NEGO;96.156986822;M
2006-02;D;06;;INDI_CIFR_NEGO;104.800684239;M
2006-02;D;07;;INDI_CIFR_NEGO;133.021245008;M
2006-02;D;08;;INDI_CIFR_NEGO;99.390121534;M
2006-03;D;01;;INDI_CIFR_NEGO;127.208925295;M
2006-03;D;02;;INDI_CIFR_NEGO;131.316165363;M
2006-03;D;03;;INDI_CIFR_NEGO;117.16179108;M
2006-03;D;04;;INDI_CIFR_NEGO;113.035332347;M
2006-03;D;05;;INDI_CIFR_NEGO;111.887649567;M
2006-03;D;06;;INDI_CIFR_NEGO;115.414055858;M
2006-03;D;07;;INDI_CIFR_NEGO;137.33541813;M
2006-03;D;08;;INDI_CIFR_NEGO;117.755044475;M
2006-04;D;01;;INDI_CIFR_NEGO;118.503476626;M
2006-04;D;02;;INDI_CIFR_NEGO;117.882251238;M
2006-04;D;03;;INDI_CIFR_NEGO;120.366250223;M
2006-04;D;04;;INDI_CIFR_NEGO;106.023474704;M
2006-04;D;05;;INDI_CIFR_NEGO;126.172959909;M
2006-04;D;06;;INDI_CIFR_NEGO;111.327945518;M
2006-04;D;07;;INDI_CIFR_NEGO;137.853042005;M
2006-04;D;08;;INDI_CIFR_NEGO;141.645920265;M
2006-05;D;01;;INDI_CIFR_NEGO;129.095851274;M
2006-05;D;02;;INDI_CIFR_NEGO;129.893601177;M
2006-05;D;03;;INDI_CIFR_NEGO;127.404433947;M
2006-05;D;04;;INDI_CIFR_NEGO;114.5910845;M
2006-05;D;05;;INDI_CIFR_NEGO;126.885629104;M
2006-05;D;06;;INDI_CIFR_NEGO;116.36352647;M
2006-05;D;07;;INDI_CIFR_NEGO;150.954393211;M
2006-05;D;08;;INDI_CIFR_NEGO;151.168687697;M
2006-06;D;01;;INDI_CIFR_NEGO;132.718064878;M
2006-06;D;02;;INDI_CIFR_NEGO;132.677969808;M
2006-06;D;03;;INDI_CIFR_NEGO;133.149850487;M
2006-06;D;04;;INDI_CIFR_NEGO;115.118866913;M
2006-06;D;05;;INDI_CIFR_NEGO;130.271922586;M
