TEMPORAL;OBS_STATUS;IASS_TIPOVENTAS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2005-01;A;61753;ES61;INDICE_VAB;98.033544769;M
2005-01;A;61754;ES61;INDICE_VAB;106.203941788;M
2005-01;A;61755;ES61;INDICE_VAB;93.872339661;M
2005-01;A;61756;ES61;INDICE_VAB;87.595535661;M
2005-01;A;61757;ES61;INDICE_VAB;92.540522259;M
2005-01;A;61758;ES61;INDICE_VAB;100.27527471;M
2005-01;A;61759;ES61;INDICE_VAB;116.715954298;M
2005-01;A;61760;ES61;INDICE_VAB;101.209368436;M
2005-02;A;61753;ES61;INDICE_VAB;95.365093621;M
2005-02;A;61754;ES61;INDICE_VAB;99.072279635;M
2005-02;A;61755;ES61;INDICE_VAB;93.81198166;M
2005-02;A;61756;ES61;INDICE_VAB;91.369649033;M
2005-02;A;61757;ES61;INDICE_VAB;93.647902548;M
2005-02;A;61758;ES61;INDICE_VAB;94.745815196;M
2005-02;A;61759;ES61;INDICE_VAB;112.6044558;M
2005-02;A;61760;ES61;INDICE_VAB;100.729966694;M
2005-03;A;61753;ES61;INDICE_VAB;110.292233991;M
2005-03;A;61754;ES61;INDICE_VAB;114.972811452;M
2005-03;A;61755;ES61;INDICE_VAB;108.265487378;M
2005-03;A;61756;ES61;INDICE_VAB;97.43476093;M
2005-03;A;61757;ES61;INDICE_VAB;114.740055355;M
2005-03;A;61758;ES61;INDICE_VAB;103.331980088;M
2005-03;A;61759;ES61;INDICE_VAB;124.115386519;M
2005-03;A;61760;ES61;INDICE_VAB;126.622603088;M
2005-04;A;61753;ES61;INDICE_VAB;111.099288719;M
2005-04;A;61754;ES61;INDICE_VAB;115.755275028;M
2005-04;A;61755;ES61;INDICE_VAB;109.092615537;M
2005-04;A;61756;ES61;INDICE_VAB;102.272089116;M
2005-04;A;61757;ES61;INDICE_VAB;116.313573911;M
2005-04;A;61758;ES61;INDICE_VAB;106.479619712;M
2005-04;A;61759;ES61;INDICE_VAB;128.140859818;M
2005-04;A;61760;ES61;INDICE_VAB;109.429625639;M
2005-05;A;61753;ES61;INDICE_VAB;113.358592345;M
2005-05;A;61754;ES61;INDICE_VAB;114.339497825;M
2005-05;A;61755;ES61;INDICE_VAB;113.526693117;M
2005-05;A;61756;ES61;INDICE_VAB;106.491037204;M
2005-05;A;61757;ES61;INDICE_VAB;124.234301626;M
2005-05;A;61758;ES61;INDICE_VAB;109.346787445;M
2005-05;A;61759;ES61;INDICE_VAB;124.446836552;M
2005-05;A;61760;ES61;INDICE_VAB;116.421724768;M
2005-06;A;61753;ES61;INDICE_VAB;119.075417339;M
2005-06;A;61754;ES61;INDICE_VAB;120.599206432;M
2005-06;A;61755;ES61;INDICE_VAB;118.962266414;M
2005-06;A;61756;ES61;INDICE_VAB;108.15667392;M
2005-06;A;61757;ES61;INDICE_VAB;125.451574615;M
2005-06;A;61758;ES61;INDICE_VAB;116.732182052;M
2005-06;A;61759;ES61;INDICE_VAB;135.377097176;M
2005-06;A;61760;ES61;INDICE_VAB;136.204460085;M
2005-07;A;61753;ES61;INDICE_VAB;123.724412261;M
2005-07;A;61754;ES61;INDICE_VAB;120.198796186;M
2005-07;A;61755;ES61;INDICE_VAB;126.612084148;M
2005-07;A;61756;ES61;INDICE_VAB;100.99543343;M
2005-07;A;61757;ES61;INDICE_VAB;141.628746206;M
2005-07;A;61758;ES61;INDICE_VAB;117.47280314;M
2005-07;A;61759;ES61;INDICE_VAB;141.97447092;M
2005-07;A;61760;ES61;INDICE_VAB;160.069523645;M
2005-08;A;61753;ES61;INDICE_VAB;111.242040739;M
2005-08;A;61754;ES61;INDICE_VAB;107.305356792;M
2005-08;A;61755;ES61;INDICE_VAB;114.291227794;M
2005-08;A;61756;ES61;INDICE_VAB;90.838041626;M
2005-08;A;61757;ES61;INDICE_VAB;151.114539192;M
2005-08;A;61758;ES61;INDICE_VAB;102.294453208;M
2005-08;A;61759;ES61;INDICE_VAB;89.313133075;M
2005-08;A;61760;ES61;INDICE_VAB;122.734259571;M
2005-09;A;61753;ES61;INDICE_VAB;115.241345366;M
2005-09;A;61754;ES61;INDICE_VAB;112.207800869;M
2005-09;A;61755;ES61;INDICE_VAB;117.785285397;M
2005-09;A;61756;ES61;INDICE_VAB;101.003412528;M
2005-09;A;61757;ES61;INDICE_VAB;138.52639074;M
2005-09;A;61758;ES61;INDICE_VAB;109.209838279;M
2005-09;A;61759;ES61;INDICE_VAB;121.468846563;M
2005-09;A;61760;ES61;INDICE_VAB;124.724765261;M
2005-10;A;61753;ES61;INDICE_VAB;113.366460566;M
2005-10;A;61754;ES61;INDICE_VAB;112.557729594;M
2005-10;A;61755;ES61;INDICE_VAB;114.589664576;M
2005-10;A;61756;ES61;INDICE_VAB;98.520915651;M
2005-10;A;61757;ES61;INDICE_VAB;122.11856524;M
2005-10;A;61758;ES61;INDICE_VAB;114.262714696;M
2005-10;A;61759;ES61;INDICE_VAB;136.520726296;M
2005-10;A;61760;ES61;INDICE_VAB;129.275375102;M
2005-11;A;61753;ES61;INDICE_VAB;111.492699798;M
2005-11;A;61754;ES61;INDICE_VAB;115.545317793;M
2005-11;A;61755;ES61;INDICE_VAB;109.842619584;M
2005-11;A;61756;ES61;INDICE_VAB;103.128844768;M
2005-11;A;61757;ES61;INDICE_VAB;108.634368615;M
2005-11;A;61758;ES61;INDICE_VAB;109.975658013;M
2005-11;A;61759;ES61;INDICE_VAB;129.289549245;M
2005-11;A;61760;ES61;INDICE_VAB;134.253492684;M
2005-12;A;61753;ES61;INDICE_VAB;126.546855746;M
2005-12;A;61754;ES61;INDICE_VAB;138.011889266;M
2005-12;A;61755;ES61;INDICE_VAB;120.635524325;M
2005-12;A;61756;ES61;INDICE_VAB;109.060306773;M
2005-12;A;61757;ES61;INDICE_VAB;120.182763056;M
2005-12;A;61758;ES61;INDICE_VAB;130.585959653;M
2005-12;A;61759;ES61;INDICE_VAB;158.123171946;M
2005-12;A;61760;ES61;INDICE_VAB;121.009401754;M
2006-01;A;61753;ES61;INDICE_VAB;105.190254312;M
2006-01;A;61754;ES61;INDICE_VAB;112.643777641;M
2006-01;A;61755;ES61;INDICE_VAB;101.49868484;M
2006-01;A;61756;ES61;INDICE_VAB;94.035665165;M
2006-01;A;61757;ES61;INDICE_VAB;99.078534128;M
2006-01;A;61758;ES61;INDICE_VAB;104.926068376;M
2006-01;A;61759;ES61;INDICE_VAB;134.64967821;M
2006-01;A;61760;ES61;INDICE_VAB;107.528081097;M
2006-02;A;61753;ES61;INDICE_VAB;101.511298707;M
2006-02;A;61754;ES61;INDICE_VAB;104.838646105;M
