D_TEMPORAL_0;D_ESTADO_DATO_0;D_ICMA_TIPINDOCUPAC_0;D_TERRITORIO_0;D_IVGS_SERIEIVGS_0;INDICATOR;OBS_VALUE;FREQ
2003-03;40123;61596;3143;277795;Índice de empleo;;M
2003-03;40123;61597;3143;277795;Índice de empleo;104.73186662;M
2003-04;40123;61596;3143;277795;Índice de empleo;;M
2003-04;40123;61597;3143;277795;Índice de empleo;105.2924201;M
2003-05;40123;61596;3143;277795;Índice de empleo;;M
2003-05;40123;61597;3143;277795;Índice de empleo;105.85884734;M
2003-06;40123;61596;3143;277795;Índice de empleo;;M
2003-06;40123;61597;3143;277795;Índice de empleo;106.83151209;M
2003-07;40123;61596;3143;277795;Índice de empleo;;M
2003-07;40123;61597;3143;277795;Índice de empleo;107.89482552;M
2003-08;40123;61596;3143;277795;Índice de empleo;;M
2003-08;40123;61597;3143;277795;Índice de empleo;107.95598581;M
2003-09;40123;61596;3143;277795;Índice de empleo;;M
2003-09;40123;61597;3143;277795;Índice de empleo;108.13301833;M
2003-10;40123;61596;3143;277795;Índice de empleo;;M
2003-10;40123;61597;3143;277795;Índice de empleo;108.11890389;M
2003-11;40123;61596;3143;277795;Índice de empleo;;M
2003-11;40123;61597;3143;277795;Índice de empleo;108.96092831;M
2003-12;40123;61596;3143;277795;Índice de empleo;;M
2003-12;40123;61597;3143;277795;Índice de empleo;110.30865521;M
2004-01;40123;61596;3143;277795;Índice de empleo;;M
2004-01;40123;61597;3143;277795;Índice de empleo;109.91862262;M
2004-02;40123;61596;3143;277795;Índice de empleo;;M
2004-02;40123;61597;3143;277795;Índice de empleo;109.15271962;M
2004-03;40123;61596;3143;277795;Índice de empleo;;M
2004-03;40123;61597;3143;277795;Índice de empleo;109.78906058;M
2004-04;40123;61596;3143;277795;Índice de empleo;;M
2004-04;40123;61597;3143;277795;Índice de empleo;110.26311207;M
2004-05;40123;61596;3143;277795;Índice de empleo;;M
2004-05;40123;61597;3143;277795;Índice de empleo;110.26040766;M
2004-06;40123;61596;3143;277795;Índice de empleo;;M
2004-06;40123;61597;3143;277795;Índice de empleo;111.63220542;M
2004-07;40123;61596;3143;277795;Índice de empleo;;M
2004-07;40123;61597;3143;277795;Índice de empleo;111.82060771;M
2004-08;40123;61596;3143;277795;Índice de empleo;;M
2004-08;40123;61597;3143;277795;Índice de empleo;111.81043412;M
2004-09;40123;61596;3143;277795;Índice de empleo;;M
2004-09;40123;61597;3143;277795;Índice de empleo;111.62610172;M
2004-10;40123;61596;3143;277795;Índice de empleo;;M
2004-10;40123;61597;3143;277795;Índice de empleo;110.31534881;M
2004-11;40123;61596;3143;277795;Índice de empleo;;M
2004-11;40123;61597;3143;277795;Índice de empleo;111.6048523;M
2004-12;40123;61596;3143;277795;Índice de empleo;;M
2004-12;40123;61597;3143;277795;Índice de empleo;113.87981967;M
2005-01;40123;61596;3143;277795;Índice de empleo;112.27005038;M
2005-01;40123;61597;3143;277795;Índice de empleo;112.11784814;M
2005-02;40123;61596;3143;277795;Índice de empleo;111.53042484;M
2005-02;40123;61597;3143;277795;Índice de empleo;111.41193724;M
2005-03;40123;61596;3143;277795;Índice de empleo;111.84678614;M
2005-03;40123;61597;3143;277795;Índice de empleo;111.70296438;M
2005-04;40123;61596;3143;277795;Índice de empleo;111.93721151;M
2005-04;40123;61597;3143;277795;Índice de empleo;111.77102442;M
2005-05;40123;61596;3143;277795;Índice de empleo;112.17119715;M
2005-05;40123;61597;3143;277795;Índice de empleo;111.99888635;M
2005-06;40123;61596;3143;277795;Índice de empleo;112.95879807;M
2005-06;40123;61597;3143;277795;Índice de empleo;112.73136425;M
2005-07;40123;61596;3143;277795;Índice de empleo;113.67739724;M
2005-07;40123;61597;3143;277795;Índice de empleo;113.39230335;M
2005-08;40123;61596;3143;277795;Índice de empleo;113.83492981;M
2005-08;40123;61597;3143;277795;Índice de empleo;113.50051979;M
2005-09;40123;61596;3143;277795;Índice de empleo;113.32406448;M
2005-09;40123;61597;3143;277795;Índice de empleo;113.09613666;M
2005-10;40123;61596;3143;277795;Índice de empleo;112.82138066;M
2005-10;40123;61597;3143;277795;Índice de empleo;112.6196635;M
2005-11;40123;61596;3143;277795;Índice de empleo;113.64496395;M
2005-11;40123;61597;3143;277795;Índice de empleo;113.49294053;M
