D_TEMPORAL_0;D_ESTADO_DATO_0;D_ICMA_TIPOVENTAS_0;D_TERRITORIO_0;D_IVGS_SERIEIVGS_0;INDICATOR;OBS_VALUE;FREQ
2001-01;40123;61592;3143;277795;Índice original;;M
2001-01;40123;61593;3143;277795;Índice original;88.93426819;M
2001-01;40123;61594;3143;277795;Índice original;67.6806968;M
2001-01;40123;61595;3143;277795;Índice original;107.31424317;M
2001-02;40123;61592;3143;277795;Índice original;;M
2001-02;40123;61593;3143;277795;Índice original;75.63473817;M
2001-02;40123;61594;3143;277795;Índice original;66.46214494;M
2001-02;40123;61595;3143;277795;Índice original;82.42200419;M
2001-03;40123;61592;3143;277795;Índice original;;M
2001-03;40123;61593;3143;277795;Índice original;87.92003012;M
2001-03;40123;61594;3143;277795;Índice original;76.64869146;M
2001-03;40123;61595;3143;277795;Índice original;96.41459107;M
2001-04;40123;61592;3143;277795;Índice original;;M
2001-04;40123;61593;3143;277795;Índice original;85.56842395;M
2001-04;40123;61594;3143;277795;Índice original;74.38848861;M
2001-04;40123;61595;3143;277795;Índice original;94.04447094;M
2001-05;40123;61592;3143;277795;Índice original;;M
2001-05;40123;61593;3143;277795;Índice original;89.37636571;M
2001-05;40123;61594;3143;277795;Índice original;76.54156619;M
2001-05;40123;61595;3143;277795;Índice original;99.37933881;M
2001-06;40123;61592;3143;277795;Índice original;;M
2001-06;40123;61593;3143;277795;Índice original;97.72302772;M
2001-06;40123;61594;3143;277795;Índice original;80.37741402;M
2001-06;40123;61595;3143;277795;Índice original;111.95057663;M
2001-07;40123;61592;3143;277795;Índice original;;M
2001-07;40123;61593;3143;277795;Índice original;98.85745994;M
2001-07;40123;61594;3143;277795;Índice original;79.60474397;M
2001-07;40123;61595;3143;277795;Índice original;114.94469801;M
2001-08;40123;61592;3143;277795;Índice original;;M
2001-08;40123;61593;3143;277795;Índice original;94.38274641;M
2001-08;40123;61594;3143;277795;Índice original;84.93241767;M
2001-08;40123;61595;3143;277795;Índice original;100.86960826;M
2001-09;40123;61592;3143;277795;Índice original;;M
2001-09;40123;61593;3143;277795;Índice original;91.55224034;M
2001-09;40123;61594;3143;277795;Índice original;79.20430702;M
2001-09;40123;61595;3143;277795;Índice original;101.00466244;M
2001-10;40123;61592;3143;277795;Índice original;;M
2001-10;40123;61593;3143;277795;Índice original;97.34413216;M
2001-10;40123;61594;3143;277795;Índice original;81.92940533;M
2001-10;40123;61595;3143;277795;Índice original;109.66513855;M
2001-11;40123;61592;3143;277795;Índice original;;M
2001-11;40123;61593;3143;277795;Índice original;93.36624976;M
2001-11;40123;61594;3143;277795;Índice original;78.09540156;M
2001-11;40123;61595;3143;277795;Índice original;105.66660365;M
2001-12;40123;61592;3143;277795;Índice original;;M
2001-12;40123;61593;3143;277795;Índice original;116.03575298;M
2001-12;40123;61594;3143;277795;Índice original;99.10422892;M
