TEMPORAL;OBS_STATUS;ICMA_TIPOVENTAS;TERRITORIO;IVGS_SERIEIVGS;INDICATOR;OBS_VALUE;FREQ
2005-01;P;61592;ES61;277796;INDI_ORIG;109.814936341;M
2005-01;P;61593;ES61;277796;INDI_ORIG;109.652168191;M
2005-01;P;61594;ES61;277796;INDI_ORIG;93.88679677;M
2005-01;P;61595;ES61;277796;INDI_ORIG;121.62049067;M
2005-02;P;61592;ES61;277796;INDI_ORIG;110.931681714;M
2005-02;P;61593;ES61;277796;INDI_ORIG;111.076127853;M
2005-02;P;61594;ES61;277796;INDI_ORIG;96.250934951;M
2005-02;P;61595;ES61;277796;INDI_ORIG;122.027568248;M
2005-03;P;61592;ES61;277796;INDI_ORIG;111.25108036;M
2005-03;P;61593;ES61;277796;INDI_ORIG;111.307053348;M
2005-03;P;61594;ES61;277796;INDI_ORIG;96.672186878;M
2005-03;P;61595;ES61;277796;INDI_ORIG;122.508789892;M
2005-04;P;61592;ES61;277796;INDI_ORIG;113.192308558;M
2005-04;P;61593;ES61;277796;INDI_ORIG;112.523618291;M
2005-04;P;61594;ES61;277796;INDI_ORIG;95.629113566;M
2005-04;P;61595;ES61;277796;INDI_ORIG;124.838414868;M
2005-05;P;61592;ES61;277796;INDI_ORIG;112.896157303;M
2005-05;P;61593;ES61;277796;INDI_ORIG;112.73198593;M
2005-05;P;61594;ES61;277796;INDI_ORIG;96.308853796;M
2005-05;P;61595;ES61;277796;INDI_ORIG;125.030822546;M
2005-06;P;61592;ES61;277796;INDI_ORIG;113.423277114;M
2005-06;P;61593;ES61;277796;INDI_ORIG;113.058480983;M
2005-06;P;61594;ES61;277796;INDI_ORIG;96.04746454;M
2005-06;P;61595;ES61;277796;INDI_ORIG;126.102390694;M
2005-07;P;61592;ES61;277796;INDI_ORIG;112.487320115;M
2005-07;P;61593;ES61;277796;INDI_ORIG;112.063484584;M
2005-07;P;61594;ES61;277796;INDI_ORIG;95.597658058;M
2005-07;P;61595;ES61;277796;INDI_ORIG;124.711967362;M
2005-08;P;61592;ES61;277796;INDI_ORIG;112.574521892;M
2005-08;P;61593;ES61;277796;INDI_ORIG;112.091672291;M
2005-08;P;61594;ES61;277796;INDI_ORIG;96.611609424;M
2005-08;P;61595;ES61;277796;INDI_ORIG;123.288888325;M
2005-09;P;61592;ES61;277796;INDI_ORIG;113.606676604;M
2005-09;P;61593;ES61;277796;INDI_ORIG;113.074855564;M
2005-09;P;61594;ES61;277796;INDI_ORIG;96.826328823;M
2005-09;P;61595;ES61;277796;INDI_ORIG;125.713373404;M
2005-10;P;61592;ES61;277796;INDI_ORIG;113.778176302;M
2005-10;P;61593;ES61;277796;INDI_ORIG;113.058828964;M
2005-10;P;61594;ES61;277796;INDI_ORIG;97.94806047;M
2005-10;P;61595;ES61;277796;INDI_ORIG;124.619260408;M
2005-11;P;61592;ES61;277796;INDI_ORIG;113.659399382;M
2005-11;P;61593;ES61;277796;INDI_ORIG;113.055050669;M
2005-11;P;61594;ES61;277796;INDI_ORIG;96.996794742;M
2005-11;P;61595;ES61;277796;INDI_ORIG;125.220918759;M
2005-12;P;61592;ES61;277796;INDI_ORIG;113.837910357;M
2005-12;P;61593;ES61;277796;INDI_ORIG;113.000187284;M
2005-12;P;61594;ES61;277796;INDI_ORIG;97.267704133;M
2005-12;P;61595;ES61;277796;INDI_ORIG;124.982796611;M
2006-01;P;61592;ES61;277796;INDI_ORIG;116.665950185;M
2006-01;P;61593;ES61;277796;INDI_ORIG;115.997008786;M
2006-01;P;61594;ES61;277796;INDI_ORIG;100.670796681;M
2006-01;P;61595;ES61;277796;INDI_ORIG;128.761621418;M
2006-02;P;61592;ES61;277796;INDI_ORIG;117.048435899;M
2006-02;P;61593;ES61;277796;INDI_ORIG;116.111869539;M
2006-02;P;61594;ES61;277796;INDI_ORIG;99.297421158;M
2006-02;P;61595;ES61;277796;INDI_ORIG;130.01455548;M
2006-03;P;61592;ES61;277796;INDI_ORIG;117.073401551;M
2006-03;P;61593;ES61;277796;INDI_ORIG;116.487620775;M
2006-03;P;61594;ES61;277796;INDI_ORIG;97.657838295;M
2006-03;P;61595;ES61;277796;INDI_ORIG;129.619850084;M
2006-04;P;61592;ES61;277796;INDI_ORIG;116.761349662;M
2006-04;P;61593;ES61;277796;INDI_ORIG;116.475753344;M
2006-04;P;61594;ES61;277796;INDI_ORIG;99.198630846;M
2006-04;P;61595;ES61;277796;INDI_ORIG;129.246513436;M
2006-05;P;61592;ES61;277796;INDI_ORIG;117.558215775;M
2006-05;P;61593;ES61;277796;INDI_ORIG;117.072855425;M
2006-05;P;61594;ES61;277796;INDI_ORIG;99.906599438;M
2006-05;P;61595;ES61;277796;INDI_ORIG;130.283386862;M
2006-06;P;61592;ES61;277796;INDI_ORIG;117.172327594;M
2006-06;P;61593;ES61;277796;INDI_ORIG;116.999229239;M
2006-06;P;61594;ES61;277796;INDI_ORIG;99.634975823;M
2006-06;P;61595;ES61;277796;INDI_ORIG;129.003877793;M
2006-07;P;61592;ES61;277796;INDI_ORIG;118.126877096;M
2006-07;P;61593;ES61;277796;INDI_ORIG;117.598023395;M
2006-07;P;61594;ES61;277796;INDI_ORIG;101.806733102;M
2006-07;P;61595;ES61;277796;INDI_ORIG;129.598094052;M
2006-08;P;61592;ES61;277796;INDI_ORIG;119.214756477;M
2006-08;P;61593;ES61;277796;INDI_ORIG;118.784214895;M
2006-08;P;61594;ES61;277796;INDI_ORIG;102.72580876;M
2006-08;P;61595;ES61;277796;INDI_ORIG;132.424819785;M
2006-09;P;61592;ES61;277796;INDI_ORIG;118.787259082;M
2006-09;P;61593;ES61;277796;INDI_ORIG;118.233238149;M
2006-09;P;61594;ES61;277796;INDI_ORIG;101.243443843;M
2006-09;P;61595;ES61;277796;INDI_ORIG;130.847574007;M
2006-10;P;61592;ES61;277796;INDI_ORIG;120.580442683;M
2006-10;P;61593;ES61;277796;INDI_ORIG;120.512815182;M
2006-10;P;61594;ES61;277796;INDI_ORIG;100.308434178;M
2006-10;P;61595;ES61;277796;INDI_ORIG;135.254166333;M
2006-11;P;61592;ES61;277796;INDI_ORIG;120.95990363;M
2006-11;P;61593;ES61;277796;INDI_ORIG;120.826433764;M
2006-11;P;61594;ES61;277796;INDI_ORIG;104.092151438;M
2006-11;P;61595;ES61;277796;INDI_ORIG;135.719774587;M
2006-12;P;61592;ES61;277796;INDI_ORIG;121.750452845;M
2006-12;P;61593;ES61;277796;INDI_ORIG;121.727332714;M
2006-12;P;61594;ES61;277796;INDI_ORIG;105.306221308;M
2006-12;P;61595;ES61;277796;INDI_ORIG;136.123143533;M
2007-01;P;61592;ES61;277796;INDI_ORIG;120.191147655;M
2007-01;P;61593;ES61;277796;INDI_ORIG;120.200559549;M
2007-01;P;61594;ES61;277796;INDI_ORIG;101.375312659;M
2007-01;P;61595;ES61;277796;INDI_ORIG;133.997168163;M
2007-02;P;61592;ES61;277796;INDI_ORIG;120.669353584;M
2007-02;P;61593;ES61;277796;INDI_ORIG;120.343027734;M
2007-02;P;61594;ES61;277796;INDI_ORIG;102.215729625;M
2007-02;P;61595;ES61;277796;INDI_ORIG;133.407920986;M
2007-03;P;61592;ES61;277796;INDI_ORIG;122.419759293;M
2007-03;P;61593;ES61;277796;INDI_ORIG;121.892375934;M
2007-03;P;61594;ES61;277796;INDI_ORIG;104.209788946;M
2007-03;P;61595;ES61;277796;INDI_ORIG;136.13635644;M
2007-04;P;61592;ES61;277796;INDI_ORIG;121.549753775;M
2007-04;P;61593;ES61;277796;INDI_ORIG;121.507221275;M
2007-04;P;61594;ES61;277796;INDI_ORIG;103.560236246;M
2007-04;P;61595;ES61;277796;INDI_ORIG;134.804768733;M
2007-05;P;61592;ES61;277796;INDI_ORIG;122.75415777;M
2007-05;P;61593;ES61;277796;INDI_ORIG;122.509892443;M
2007-05;P;61594;ES61;277796;INDI_ORIG;104.285644865;M
2007-05;P;61595;ES61;277796;INDI_ORIG;135.851209646;M
2007-06;P;61592;ES61;277796;INDI_ORIG;123.082359164;M
2007-06;P;61593;ES61;277796;INDI_ORIG;122.335773136;M
2007-06;P;61594;ES61;277796;INDI_ORIG;105.476642194;M
2007-06;P;61595;ES61;277796;INDI_ORIG;135.58709009;M
2007-07;P;61592;ES61;277796;INDI_ORIG;123.542290823;M
2007-07;P;61593;ES61;277796;INDI_ORIG;123.100722805;M
2007-07;P;61594;ES61;277796;INDI_ORIG;105.789368558;M
2007-07;P;61595;ES61;277796;INDI_ORIG;135.675307872;M
2007-08;P;61592;ES61;277796;INDI_ORIG;123.224128795;M
2007-08;P;61593;ES61;277796;INDI_ORIG;122.860053451;M
2007-08;P;61594;ES61;277796;INDI_ORIG;106.764714679;M
2007-08;P;61595;ES61;277796;INDI_ORIG;135.392676353;M
