TEMPORAL;TERRITORIO;ECOICOP;INDICATOR;OBS_VALUE;FREQ
2021-01;108;00;INDICE;104.678;M
2021-01;108;01;INDICE;107.173;M
2021-01;108;02;INDICE;104.842;M
2021-01;108;03;INDICE;95.721;M
2021-01;108;04;INDICE;107.138;M
2021-01;108;05;INDICE;100.86;M
2021-01;108;06;INDICE;102.541;M
2021-01;108;07;INDICE;106.744;M
2021-01;108;08;INDICE;100.327;M
2021-01;108;09;INDICE;99.151;M
2021-01;108;10;INDICE;103.1;M
2021-01;108;11;INDICE;106.418;M
2021-01;108;12;INDICE;105.143;M
2021-01;C01;00;INDICE;104.415;M
2021-01;C01;01;INDICE;106.594;M
2021-01;C01;02;INDICE;103.657;M
2021-01;C01;03;INDICE;94.582;M
2021-01;C01;04;INDICE;108.283;M
2021-01;C01;05;INDICE;99.711;M
2021-01;C01;06;INDICE;101.897;M
2021-01;C01;07;INDICE;106.56;M
2021-01;C01;08;INDICE;100.449;M
2021-01;C01;09;INDICE;98.46;M
2021-01;C01;10;INDICE;105.522;M
2021-01;C01;11;INDICE;106.181;M
2021-01;C01;12;INDICE;103.997;M
2021-01;04;00;INDICE;104.889;M
2021-01;04;01;INDICE;109.061;M
2021-01;04;02;INDICE;104.938;M
2021-01;04;03;INDICE;94.489;M
2021-01;04;04;INDICE;108.726;M
2021-01;04;05;INDICE;100.353;M
2021-01;04;06;INDICE;102.512;M
2021-01;04;07;INDICE;107.352;M
2021-01;04;08;INDICE;102.165;M
2021-01;04;09;INDICE;98.053;M
2021-01;04;10;INDICE;102.402;M
2021-01;04;11;INDICE;103.171;M
2021-01;04;12;INDICE;103.442;M
2021-01;11;00;INDICE;103.365;M
2021-01;11;01;INDICE;104.594;M
2021-01;11;02;INDICE;103.331;M
2021-01;11;03;INDICE;95.489;M
2021-01;11;04;INDICE;107.162;M
2021-01;11;05;INDICE;96.984;M
2021-01;11;06;INDICE;100.149;M
2021-01;11;07;INDICE;107.208;M
2021-01;11;08;INDICE;98.868;M
2021-01;11;09;INDICE;97.132;M
2021-01;11;10;INDICE;103.963;M
2021-01;11;11;INDICE;105.199;M
2021-01;11;12;INDICE;103.346;M
2021-01;14;00;INDICE;104.355;M
2021-01;14;01;INDICE;106.238;M
2021-01;14;02;INDICE;103.371;M
2021-01;14;03;INDICE;94.717;M
2021-01;14;04;INDICE;108.426;M
2021-01;14;05;INDICE;98.842;M
2021-01;14;06;INDICE;103.143;M
2021-01;14;07;INDICE;106.305;M
2021-01;14;08;INDICE;100.171;M
2021-01;14;09;INDICE;101.47;M
2021-01;14;10;INDICE;104.284;M
2021-01;14;11;INDICE;104.873;M
2021-01;14;12;INDICE;102.88;M
2021-01;18;00;INDICE;104.129;M
2021-01;18;01;INDICE;106.91;M
2021-01;18;02;INDICE;102.814;M
2021-01;18;03;INDICE;92.177;M
2021-01;18;04;INDICE;107.372;M
2021-01;18;05;INDICE;100.883;M
2021-01;18;06;INDICE;103.649;M
2021-01;18;07;INDICE;105.817;M
2021-01;18;08;INDICE;100.937;M
2021-01;18;09;INDICE;97.439;M
2021-01;18;10;INDICE;107.668;M
2021-01;18;11;INDICE;107.431;M
2021-01;18;12;INDICE;104.283;M
2021-01;21;00;INDICE;104.118;M
2021-01;21;01;INDICE;105.494;M
2021-01;21;02;INDICE;103.969;M
2021-01;21;03;INDICE;94.079;M
2021-01;21;04;INDICE;108.572;M
2021-01;21;05;INDICE;98.871;M
2021-01;21;06;INDICE;102.433;M
2021-01;21;07;INDICE;105.93;M
2021-01;21;08;INDICE;101.048;M
2021-01;21;09;INDICE;96.767;M
2021-01;21;10;INDICE;104.079;M
2021-01;21;11;INDICE;107.209;M
2021-01;21;12;INDICE;102.523;M
2021-01;23;00;INDICE;104.15;M
2021-01;23;01;INDICE;108.095;M
2021-01;23;02;INDICE;104.271;M
2021-01;23;03;INDICE;95.067;M
2021-01;23;04;INDICE;107.944;M
2021-01;23;05;INDICE;99.226;M
2021-01;23;06;INDICE;101.16;M
2021-01;23;07;INDICE;106.743;M
2021-01;23;08;INDICE;101.322;M
