TEMPORAL;TERRITORIO;IPC_RUBRICAS;INDICATOR;OBS_VALUE;FREQ
2021-01;108;01;INDICE;101.516;M
2021-01;108;02;INDICE;103.063;M
2021-01;108;03;INDICE;105.464;M
2021-01;108;04;INDICE;113.764;M
2021-01;108;05;INDICE;110.764;M
2021-01;108;06;INDICE;105.863;M
2021-01;108;07;INDICE;108.494;M
2021-01;108;08;INDICE;117.649;M
2021-01;108;09;INDICE;109.91;M
2021-01;108;10;INDICE;105.638;M
2021-01;108;11;INDICE;99.38;M
2021-01;108;12;INDICE;103.252;M
2021-01;108;13;INDICE;84.133;M
2021-01;108;14;INDICE;113.407;M
2021-01;108;15;INDICE;99.908;M
2021-01;108;16;INDICE;123.614;M
2021-01;108;17;INDICE;105.457;M
2021-01;108;18;INDICE;108.514;M
2021-01;108;19;INDICE;100.881;M
2021-01;108;20;INDICE;106.121;M
2021-01;108;21;INDICE;101.906;M
2021-01;108;22;INDICE;114.043;M
2021-01;108;23;INDICE;106.938;M
2021-01;108;24;INDICE;103.801;M
2021-01;108;25;INDICE;94.0;M
2021-01;108;26;INDICE;96.19;M
2021-01;108;27;INDICE;93.976;M
2021-01;108;28;INDICE;98.004;M
2021-01;108;29;INDICE;97.609;M
2021-01;108;30;INDICE;97.921;M
2021-01;108;31;INDICE;92.005;M
2021-01;108;32;INDICE;107.661;M
2021-01;108;33;INDICE;104.819;M
2021-01;108;34;INDICE;109.653;M
2021-01;108;35;INDICE;103.74;M
2021-01;108;36;INDICE;101.951;M
2021-01;108;37;INDICE;95.654;M
2021-01;108;38;INDICE;96.88;M
2021-01;108;39;INDICE;98.583;M
2021-01;108;40;INDICE;100.146;M
2021-01;108;41;INDICE;108.261;M
2021-01;108;42;INDICE;107.676;M
2021-01;108;43;INDICE;100.38;M
2021-01;108;44;INDICE;107.405;M
2021-01;108;45;INDICE;102.435;M
2021-01;108;46;INDICE;96.033;M
2021-01;108;47;INDICE;100.327;M
2021-01;108;48;INDICE;89.109;M
2021-01;108;49;INDICE;109.072;M
2021-01;108;50;INDICE;102.592;M
2021-01;108;51;INDICE;106.324;M
2021-01;108;52;INDICE;108.248;M
2021-01;108;53;INDICE;99.337;M
2021-01;108;54;INDICE;105.659;M
2021-01;108;55;INDICE;97.733;M
2021-01;108;56;INDICE;105.492;M
2021-01;108;57;INDICE;106.832;M
2021-01;C01;01;INDICE;102.751;M
2021-01;C01;02;INDICE;100.968;M
2021-01;C01;03;INDICE;105.123;M
2021-01;C01;04;INDICE;113.481;M
2021-01;C01;05;INDICE;109.831;M
2021-01;C01;06;INDICE;106.621;M
2021-01;C01;07;INDICE;106.794;M
2021-01;C01;08;INDICE;116.723;M
2021-01;C01;09;INDICE;109.577;M
2021-01;C01;10;INDICE;102.464;M
2021-01;C01;11;INDICE;98.921;M
2021-01;C01;12;INDICE;103.62;M
2021-01;C01;13;INDICE;82.646;M
2021-01;C01;14;INDICE;113.892;M
2021-01;C01;15;INDICE;100.557;M
2021-01;C01;16;INDICE;125.577;M
2021-01;C01;17;INDICE;105.577;M
2021-01;C01;18;INDICE;109.077;M
2021-01;C01;19;INDICE;100.25;M
2021-01;C01;20;INDICE;107.836;M
2021-01;C01;21;INDICE;101.739;M
2021-01;C01;22;INDICE;110.751;M
2021-01;C01;23;INDICE;104.979;M
2021-01;C01;24;INDICE;103.089;M
2021-01;C01;25;INDICE;91.95;M
2021-01;C01;26;INDICE;95.653;M
2021-01;C01;27;INDICE;92.899;M
2021-01;C01;28;INDICE;96.358;M
2021-01;C01;29;INDICE;97.327;M
2021-01;C01;30;INDICE;97.373;M
2021-01;C01;31;INDICE;90.34;M
2021-01;C01;32;INDICE;106.552;M
2021-01;C01;33;INDICE;104.081;M
2021-01;C01;34;INDICE;111.711;M
2021-01;C01;35;INDICE;103.852;M
2021-01;C01;36;INDICE;101.624;M
2021-01;C01;37;INDICE;94.282;M
2021-01;C01;38;INDICE;96.928;M
2021-01;C01;39;INDICE;98.678;M
2021-01;C01;40;INDICE;98.731;M
2021-01;C01;41;INDICE;106.823;M
2021-01;C01;42;INDICE;107.829;M
2021-01;C01;43;INDICE;99.495;M
2021-01;C01;44;INDICE;106.871;M
2021-01;C01;45;INDICE;103.302;M
2021-01;C01;46;INDICE;100.071;M
2021-01;C01;47;INDICE;100.449;M
2021-01;C01;48;INDICE;86.655;M
2021-01;C01;49;INDICE;108.879;M
2021-01;C01;50;INDICE;104.06;M
2021-01;C01;51;INDICE;108.627;M
2021-01;C01;52;INDICE;108.952;M
2021-01;C01;53;INDICE;104.502;M
2021-01;C01;54;INDICE;103.877;M
2021-01;C01;55;INDICE;96.411;M
2021-01;C01;56;INDICE;105.631;M
2021-01;C01;57;INDICE;106.332;M
2021-02;108;01;INDICE;101.626;M
2021-02;108;02;INDICE;103.074;M
2021-02;108;03;INDICE;105.507;M
2021-02;108;04;INDICE;110.859;M
2021-02;108;05;INDICE;110.368;M
2021-02;108;06;INDICE;106.692;M
2021-02;108;07;INDICE;108.351;M
2021-02;108;08;INDICE;112.381;M
2021-02;108;09;INDICE;109.819;M
2021-02;108;10;INDICE;105.764;M
2021-02;108;11;INDICE;98.511;M
2021-02;108;12;INDICE;103.204;M
2021-02;108;13;INDICE;84.86;M
2021-02;108;14;INDICE;120.592;M
2021-02;108;15;INDICE;100.016;M
2021-02;108;16;INDICE;118.179;M
2021-02;108;17;INDICE;105.247;M
2021-02;108;18;INDICE;109.026;M
2021-02;108;19;INDICE;100.46;M
2021-02;108;20;INDICE;105.901;M
2021-02;108;21;INDICE;101.994;M
2021-02;108;22;INDICE;115.378;M
2021-02;108;23;INDICE;107.449;M
2021-02;108;24;INDICE;103.834;M
2021-02;108;25;INDICE;92.491;M
2021-02;108;26;INDICE;95.054;M
2021-02;108;27;INDICE;92.843;M
2021-02;108;28;INDICE;96.351;M
2021-02;108;29;INDICE;96.056;M
2021-02;108;30;INDICE;96.836;M
2021-02;108;31;INDICE;90.225;M
2021-02;108;32;INDICE;107.702;M
2021-02;108;33;INDICE;104.876;M
2021-02;108;34;INDICE;98.097;M
2021-02;108;35;INDICE;103.953;M
2021-02;108;36;INDICE;101.683;M
2021-02;108;37;INDICE;95.551;M
2021-02;108;38;INDICE;96.958;M
2021-02;108;39;INDICE;98.646;M
2021-02;108;40;INDICE;99.666;M
2021-02;108;41;INDICE;109.399;M
2021-02;108;42;INDICE;107.907;M
2021-02;108;43;INDICE;100.171;M
2021-02;108;44;INDICE;108.968;M
2021-02;108;45;INDICE;102.461;M
2021-02;108;46;INDICE;95.077;M
2021-02;108;47;INDICE;100.292;M
2021-02;108;48;INDICE;89.451;M
2021-02;108;49;INDICE;109.172;M
2021-02;108;50;INDICE;102.701;M
2021-02;108;51;INDICE;106.361;M
2021-02;108;52;INDICE;108.251;M
2021-02;108;53;INDICE;99.313;M
2021-02;108;54;INDICE;105.686;M
2021-02;108;55;INDICE;97.416;M
2021-02;108;56;INDICE;105.736;M
2021-02;108;57;INDICE;106.82;M
2021-02;C01;01;INDICE;101.964;M
2021-02;C01;02;INDICE;100.865;M
2021-02;C01;03;INDICE;105.166;M
2021-02;C01;04;INDICE;111.349;M
2021-02;C01;05;INDICE;109.946;M
2021-02;C01;06;INDICE;107.855;M
2021-02;C01;07;INDICE;106.89;M
2021-02;C01;08;INDICE;112.016;M
2021-02;C01;09;INDICE;109.381;M
2021-02;C01;10;INDICE;102.2;M
2021-02;C01;11;INDICE;98.235;M
2021-02;C01;12;INDICE;103.287;M
2021-02;C01;13;INDICE;83.578;M
2021-02;C01;14;INDICE;121.778;M
2021-02;C01;15;INDICE;100.25;M
2021-02;C01;16;INDICE;119.502;M
2021-02;C01;17;INDICE;105.484;M
2021-02;C01;18;INDICE;109.747;M
2021-02;C01;19;INDICE;99.661;M
2021-02;C01;20;INDICE;107.465;M
2021-02;C01;21;INDICE;101.614;M
2021-02;C01;22;INDICE;111.771;M
2021-02;C01;23;INDICE;105.634;M
2021-02;C01;24;INDICE;103.116;M
2021-02;C01;25;INDICE;90.858;M
2021-02;C01;26;INDICE;94.79;M
2021-02;C01;27;INDICE;92.12;M
2021-02;C01;28;INDICE;95.562;M
2021-02;C01;29;INDICE;96.554;M
2021-02;C01;30;INDICE;96.125;M
2021-02;C01;31;INDICE;88.391;M
2021-02;C01;32;INDICE;106.552;M
2021-02;C01;33;INDICE;104.241;M
2021-02;C01;34;INDICE;98.177;M
2021-02;C01;35;INDICE;103.983;M
2021-02;C01;36;INDICE;101.564;M
2021-02;C01;37;INDICE;94.446;M
2021-02;C01;38;INDICE;97.057;M
2021-02;C01;39;INDICE;98.96;M
2021-02;C01;40;INDICE;98.07;M
2021-02;C01;41;INDICE;107.801;M
2021-02;C01;42;INDICE;108.439;M
2021-02;C01;43;INDICE;99.826;M
2021-02;C01;44;INDICE;108.376;M
2021-02;C01;45;INDICE;103.489;M
2021-02;C01;46;INDICE;99.58;M
2021-02;C01;47;INDICE;100.415;M
2021-02;C01;48;INDICE;86.741;M
2021-02;C01;49;INDICE;108.93;M
2021-02;C01;50;INDICE;104.168;M
2021-02;C01;51;INDICE;108.627;M
2021-02;C01;52;INDICE;108.952;M
2021-02;C01;53;INDICE;104.459;M
2021-02;C01;54;INDICE;103.744;M
2021-02;C01;55;INDICE;96.001;M
2021-02;C01;56;INDICE;105.949;M
2021-02;C01;57;INDICE;106.184;M
2021-03;108;01;INDICE;101.58;M
2021-03;108;02;INDICE;103.203;M
2021-03;108;03;INDICE;105.339;M
2021-03;108;04;INDICE;109.996;M
2021-03;108;05;INDICE;110.621;M
2021-03;108;06;INDICE;108.414;M
2021-03;108;07;INDICE;108.355;M
2021-03;108;08;INDICE;109.14;M
2021-03;108;09;INDICE;109.866;M
2021-03;108;10;INDICE;105.958;M
2021-03;108;11;INDICE;98.593;M
2021-03;108;12;INDICE;103.443;M
2021-03;108;13;INDICE;85.925;M
2021-03;108;14;INDICE;120.569;M
2021-03;108;15;INDICE;100.09;M
2021-03;108;16;INDICE;118.58;M
2021-03;108;17;INDICE;105.584;M
2021-03;108;18;INDICE;109.892;M
2021-03;108;19;INDICE;100.749;M
2021-03;108;20;INDICE;105.042;M
2021-03;108;21;INDICE;102.127;M
2021-03;108;22;INDICE;115.725;M
2021-03;108;23;INDICE;107.056;M
2021-03;108;24;INDICE;103.838;M
2021-03;108;25;INDICE;97.491;M
2021-03;108;26;INDICE;98.746;M
2021-03;108;27;INDICE;97.44;M
2021-03;108;28;INDICE;101.547;M
2021-03;108;29;INDICE;100.697;M
2021-03;108;30;INDICE;99.418;M
2021-03;108;31;INDICE;95.312;M
2021-03;108;32;INDICE;107.798;M
2021-03;108;33;INDICE;104.908;M
2021-03;108;34;INDICE;104.846;M
2021-03;108;35;INDICE;104.004;M
2021-03;108;36;INDICE;102.531;M
2021-03;108;37;INDICE;96.674;M
2021-03;108;38;INDICE;97.235;M
2021-03;108;39;INDICE;98.956;M
2021-03;108;40;INDICE;99.819;M
2021-03;108;41;INDICE;109.459;M
2021-03;108;42;INDICE;108.137;M
2021-03;108;43;INDICE;100.236;M
2021-03;108;44;INDICE;111.0;M
2021-03;108;45;INDICE;102.492;M
2021-03;108;46;INDICE;95.241;M
2021-03;108;47;INDICE;100.122;M
2021-03;108;48;INDICE;89.236;M
2021-03;108;49;INDICE;109.387;M
2021-03;108;50;INDICE;102.718;M
2021-03;108;51;INDICE;106.361;M
2021-03;108;52;INDICE;108.252;M
2021-03;108;53;INDICE;99.313;M
2021-03;108;54;INDICE;105.736;M
2021-03;108;55;INDICE;97.239;M
2021-03;108;56;INDICE;105.978;M
2021-03;108;57;INDICE;106.937;M
2021-03;C01;01;INDICE;102.059;M
2021-03;C01;02;INDICE;101.289;M
2021-03;C01;03;INDICE;105.051;M
2021-03;C01;04;INDICE;109.688;M
2021-03;C01;05;INDICE;109.998;M
2021-03;C01;06;INDICE;110.283;M
2021-03;C01;07;INDICE;106.869;M
2021-03;C01;08;INDICE;108.712;M
2021-03;C01;09;INDICE;108.789;M
