TEMPORAL;TERRITORIO;IPC_GRUPOSESPECIALES;INDICATOR;OBS_VALUE;FREQ
2021-01;108;01;INDICE;103.823;M
2021-01;108;02;INDICE;113.293;M
2021-01;108;05;INDICE;102.574;M
2021-01;108;12;INDICE;105.096;M
2021-01;108;08;INDICE;107.801;M
2021-01;108;06;INDICE;99.099;M
2021-01;108;07;INDICE;111.212;M
2021-01;108;13;INDICE;103.959;M
2021-01;108;14;INDICE;104.66;M
2021-01;108;18;INDICE;104.412;M
2021-01;108;15;INDICE;103.917;M
2021-01;108;16;INDICE;103.032;M
2021-01;108;19;INDICE;104.409;M
2021-01;108;20;INDICE;104.361;M
2021-01;108;21;INDICE;103.905;M
2021-01;108;22;INDICE;103.518;M
2021-01;108;23;INDICE;102.755;M
2021-01;108;24;INDICE;102.804;M
2021-01;108;25;INDICE;102.574;M
2021-01;108;26;INDICE;104.09;M
2021-01;108;17;INDICE;104.694;M
2021-01;108;27;INDICE;107.167;M
2021-01;108;28;INDICE;102.802;M
2021-01;108;09;INDICE;100.946;M
2021-01;108;11;INDICE;105.094;M
2021-01;108;03;INDICE;106.871;M
2021-01;108;04;INDICE;111.921;M
2021-01;108;10;INDICE;98.899;M
2021-01;108;29;INDICE;104.376;M
2021-01;C01;01;INDICE;103.113;M
2021-01;C01;02;INDICE;113.371;M
2021-01;C01;05;INDICE;101.954;M
2021-01;C01;12;INDICE;105.46;M
2021-01;C01;08;INDICE;107.474;M
2021-01;C01;06;INDICE;98.769;M
2021-01;C01;07;INDICE;111.241;M
2021-01;C01;13;INDICE;103.741;M
2021-01;C01;14;INDICE;104.411;M
2021-01;C01;18;INDICE;104.173;M
2021-01;C01;15;INDICE;103.635;M
2021-01;C01;16;INDICE;102.714;M
2021-01;C01;19;INDICE;103.815;M
2021-01;C01;20;INDICE;103.783;M
2021-01;C01;21;INDICE;103.713;M
2021-01;C01;22;INDICE;103.335;M
2021-01;C01;23;INDICE;102.487;M
2021-01;C01;24;INDICE;102.117;M
2021-01;C01;25;INDICE;101.954;M
2021-01;C01;26;INDICE;103.399;M
2021-01;C01;17;INDICE;104.448;M
2021-01;C01;27;INDICE;106.523;M
2021-01;C01;28;INDICE;102.378;M
2021-01;C01;09;INDICE;100.195;M
2021-01;C01;11;INDICE;105.403;M
2021-01;C01;03;INDICE;106.176;M
2021-01;C01;04;INDICE;111.972;M
2021-01;C01;10;INDICE;98.296;M
2021-01;C01;29;INDICE;104.212;M
2021-02;108;01;INDICE;103.926;M
2021-02;108;02;INDICE;113.339;M
2021-02;108;05;INDICE;100.557;M
2021-02;108;12;INDICE;105.294;M
2021-02;108;08;INDICE;110.951;M
2021-02;108;06;INDICE;98.91;M
2021-02;108;07;INDICE;105.583;M
2021-02;108;13;INDICE;103.09;M
2021-02;108;14;INDICE;104.023;M
2021-02;108;18;INDICE;103.506;M
2021-02;108;15;INDICE;103.904;M
2021-02;108;16;INDICE;103.013;M
2021-02;108;19;INDICE;103.347;M
2021-02;108;20;INDICE;103.246;M
2021-02;108;21;INDICE;102.997;M
2021-02;108;22;INDICE;102.216;M
2021-02;108;23;INDICE;102.702;M
2021-02;108;24;INDICE;100.945;M
2021-02;108;25;INDICE;100.557;M
2021-02;108;26;INDICE;101.309;M
2021-02;108;17;INDICE;104.064;M
2021-02;108;27;INDICE;107.256;M
2021-02;108;28;INDICE;102.798;M
2021-02;108;09;INDICE;101.324;M
2021-02;108;11;INDICE;105.28;M
2021-02;108;03;INDICE;106.955;M
2021-02;108;04;INDICE;108.815;M
2021-02;108;10;INDICE;98.469;M
2021-02;108;29;INDICE;103.497;M
2021-02;C01;01;INDICE;103.068;M
2021-02;C01;02;INDICE;113.833;M
2021-02;C01;05;INDICE;99.881;M
2021-02;C01;12;INDICE;105.678;M
2021-02;C01;08;INDICE;110.86;M
2021-02;C01;06;INDICE;98.786;M
2021-02;C01;07;INDICE;104.882;M
2021-02;C01;13;INDICE;102.795;M
2021-02;C01;14;INDICE;103.747;M
2021-02;C01;18;INDICE;103.242;M
2021-02;C01;15;INDICE;103.659;M
2021-02;C01;16;INDICE;102.691;M
2021-02;C01;19;INDICE;102.739;M
2021-02;C01;20;INDICE;102.667;M
2021-02;C01;21;INDICE;102.733;M
2021-02;C01;22;INDICE;101.95;M
2021-02;C01;23;INDICE;102.471;M
2021-02;C01;24;INDICE;100.165;M
2021-02;C01;25;INDICE;99.881;M
2021-02;C01;26;INDICE;100.432;M
2021-02;C01;17;INDICE;103.784;M
2021-02;C01;27;INDICE;106.639;M
2021-02;C01;28;INDICE;102.185;M
2021-02;C01;09;INDICE;100.62;M
2021-02;C01;11;INDICE;105.619;M
2021-02;C01;03;INDICE;106.285;M
2021-02;C01;04;INDICE;108.688;M
2021-02;C01;10;INDICE;97.964;M
2021-02;C01;29;INDICE;103.318;M
2021-03;108;01;INDICE;104.037;M
2021-03;108;02;INDICE;113.151;M
2021-03;108;05;INDICE;103.264;M
2021-03;108;12;INDICE;105.437;M
2021-03;108;08;INDICE;114.949;M
2021-03;108;06;INDICE;99.097;M
2021-03;108;07;INDICE;111.961;M
2021-03;108;13;INDICE;104.459;M
2021-03;108;14;INDICE;105.062;M
2021-03;108;18;INDICE;104.286;M
2021-03;108;15;INDICE;104.267;M
2021-03;108;16;INDICE;103.434;M
2021-03;108;19;INDICE;104.831;M
