TEMPORAL;ESTADO_DATO;IVGS_TIPVENT;IVGS_SERIEIVGS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
1993-01;P;01;02;C01;INDICE;109.695291939;M
1993-01;P;02;02;C01;INDICE;144.766918595;M
1993-01;P;03;02;C01;INDICE;91.947059789;M
1993-02;P;01;02;C01;INDICE;110.703264612;M
1993-02;P;02;02;C01;INDICE;141.160564669;M
1993-02;P;03;02;C01;INDICE;93.586470094;M
1993-03;P;01;02;C01;INDICE;109.64269753;M
1993-03;P;02;02;C01;INDICE;141.186157008;M
1993-03;P;03;02;C01;INDICE;92.25747411;M
1993-04;P;01;02;C01;INDICE;112.224802037;M
1993-04;P;02;02;C01;INDICE;143.990621652;M
1993-04;P;03;02;C01;INDICE;95.036505672;M
1993-05;P;01;02;C01;INDICE;111.886678786;M
1993-05;P;02;02;C01;INDICE;147.868139587;M
1993-05;P;03;02;C01;INDICE;93.020648979;M
1993-06;P;01;02;C01;INDICE;111.287931081;M
1993-06;P;02;02;C01;INDICE;141.314666195;M
1993-06;P;03;02;C01;INDICE;93.834549344;M
1993-07;P;01;02;C01;INDICE;110.141652636;M
1993-07;P;02;02;C01;INDICE;139.904360497;M
1993-07;P;03;02;C01;INDICE;92.455469596;M
1993-08;P;01;02;C01;INDICE;110.839498373;M
1993-08;P;02;02;C01;INDICE;140.640614161;M
1993-08;P;03;02;C01;INDICE;94.103533368;M
1993-09;P;01;02;C01;INDICE;111.616262226;M
1993-09;P;02;02;C01;INDICE;144.483778865;M
1993-09;P;03;02;C01;INDICE;93.694524447;M
1993-10;P;01;02;C01;INDICE;115.521322137;M
1993-10;P;02;02;C01;INDICE;155.316553341;M
1993-10;P;03;02;C01;INDICE;97.1298049;M
1993-11;P;01;02;C01;INDICE;113.700623694;M
1993-11;P;02;02;C01;INDICE;149.984511955;M
1993-11;P;03;02;C01;INDICE;95.544652769;M
1993-12;P;01;02;C01;INDICE;112.56359014;M
1993-12;P;02;02;C01;INDICE;144.292257443;M
1993-12;P;03;02;C01;INDICE;94.354742714;M
1994-01;P;01;02;C01;INDICE;114.401021105;M
1994-01;P;02;02;C01;INDICE;146.091779339;M
1994-01;P;03;02;C01;INDICE;98.538140249;M
1994-02;P;01;02;C01;INDICE;114.806006791;M
1994-02;P;02;02;C01;INDICE;149.225736295;M
1994-02;P;03;02;C01;INDICE;97.078923632;M
1994-03;P;01;02;C01;INDICE;115.105794591;M
1994-03;P;02;02;C01;INDICE;147.611686318;M
1994-03;P;03;02;C01;INDICE;99.147106694;M
1994-04;P;01;02;C01;INDICE;109.561916613;M
1994-04;P;02;02;C01;INDICE;138.289794534;M
1994-04;P;03;02;C01;INDICE;92.934220677;M
1994-05;P;01;02;C01;INDICE;111.150611801;M
1994-05;P;02;02;C01;INDICE;139.658413281;M
1994-05;P;03;02;C01;INDICE;95.695408424;M
1994-06;P;01;02;C01;INDICE;112.662141503;M
1994-06;P;02;02;C01;INDICE;139.531402973;M
1994-06;P;03;02;C01;INDICE;96.865788916;M
1994-07;P;01;02;C01;INDICE;110.798289444;M
1994-07;P;02;02;C01;INDICE;140.193996181;M
1994-07;P;03;02;C01;INDICE;93.911846051;M
1994-08;P;01;02;C01;INDICE;111.07660971;M
1994-08;P;02;02;C01;INDICE;142.775613127;M
1994-08;P;03;02;C01;INDICE;93.006187954;M
1994-09;P;01;02;C01;INDICE;110.44206411;M
1994-09;P;02;02;C01;INDICE;138.973850657;M
1994-09;P;03;02;C01;INDICE;94.655642054;M
1994-10;P;01;02;C01;INDICE;110.178664155;M
1994-10;P;02;02;C01;INDICE;141.357070047;M
1994-10;P;03;02;C01;INDICE;94.217504931;M
1994-11;P;01;02;C01;INDICE;106.727580911;M
1994-11;P;02;02;C01;INDICE;136.155650364;M
1994-11;P;03;02;C01;INDICE;91.047796895;M
1994-12;P;01;02;C01;INDICE;108.348482977;M
1994-12;P;02;02;C01;INDICE;134.277818517;M
1994-12;P;03;02;C01;INDICE;92.653478411;M
1995-01;P;01;02;C01;INDICE;110.918739959;M
1995-01;P;02;02;C01;INDICE;154.108802398;M
1995-01;P;03;02;C01;INDICE;91.750501652;M
1995-02;P;01;02;C01;INDICE;106.914912477;M
1995-02;P;02;02;C01;INDICE;134.054295614;M
1995-02;P;03;02;C01;INDICE;91.689904604;M
1995-03;P;01;02;C01;INDICE;107.708494648;M
1995-03;P;02;02;C01;INDICE;146.296491463;M
1995-03;P;03;02;C01;INDICE;89.227028966;M
1995-04;P;01;02;C01;INDICE;112.333722112;M
1995-04;P;02;02;C01;INDICE;147.11347427;M
1995-04;P;03;02;C01;INDICE;94.82656879;M
1995-05;P;01;02;C01;INDICE;110.112882539;M
1995-05;P;02;02;C01;INDICE;137.517199386;M
1995-05;P;03;02;C01;INDICE;94.693046284;M
1995-06;P;01;02;C01;INDICE;109.176206672;M
1995-06;P;02;02;C01;INDICE;140.111559766;M
1995-06;P;03;02;C01;INDICE;92.526447251;M
1995-07;P;01;02;C01;INDICE;112.878086519;M
1995-07;P;02;02;C01;INDICE;138.243276062;M
1995-07;P;03;02;C01;INDICE;98.449061879;M
1995-08;P;01;02;C01;INDICE;111.599209313;M
1995-08;P;02;02;C01;INDICE;135.977150226;M
1995-08;P;03;02;C01;INDICE;97.500385825;M
1995-09;P;01;02;C01;INDICE;111.482215102;M
1995-09;P;02;02;C01;INDICE;140.697673786;M
1995-09;P;03;02;C01;INDICE;95.225124099;M
1995-10;P;01;02;C01;INDICE;106.750293368;M
1995-10;P;02;02;C01;INDICE;134.895873512;M
1995-10;P;03;02;C01;INDICE;92.388583417;M
1995-11;P;01;02;C01;INDICE;110.085829296;M
1995-11;P;02;02;C01;INDICE;135.994418968;M
1995-11;P;03;02;C01;INDICE;96.451770991;M
1995-12;P;01;02;C01;INDICE;108.648506828;M
1995-12;P;02;02;C01;INDICE;133.630337336;M
1995-12;P;03;02;C01;INDICE;94.553039032;M
1996-01;P;01;02;C01;INDICE;105.276220013;M
1996-01;P;02;02;C01;INDICE;132.570571023;M
1996-01;P;03;02;C01;INDICE;93.522480844;M
1996-02;P;01;02;C01;INDICE;109.202195206;M
1996-02;P;02;02;C01;INDICE;134.821070013;M
1996-02;P;03;02;C01;INDICE;95.695581233;M
1996-03;P;01;02;C01;INDICE;107.682495762;M
1996-03;P;02;02;C01;INDICE;132.286845545;M
1996-03;P;03;02;C01;INDICE;95.531996103;M
1996-04;P;01;02;C01;INDICE;103.193126632;M
1996-04;P;02;02;C01;INDICE;122.541950006;M
1996-04;P;03;02;C01;INDICE;92.409871369;M
1996-05;P;01;02;C01;INDICE;105.457316671;M
1996-05;P;02;02;C01;INDICE;129.115649161;M
1996-05;P;03;02;C01;INDICE;92.932118843;M
1996-06;P;01;02;C01;INDICE;105.814966438;M
1996-06;P;02;02;C01;INDICE;126.702373106;M
1996-06;P;03;02;C01;INDICE;94.436449369;M
1996-07;P;01;02;C01;INDICE;101.743803236;M
1996-07;P;02;02;C01;INDICE;124.348814475;M
1996-07;P;03;02;C01;INDICE;89.531879756;M
1996-08;P;01;02;C01;INDICE;101.669671306;M
1996-08;P;02;02;C01;INDICE;120.98516732;M
1996-08;P;03;02;C01;INDICE;90.002908841;M
1996-09;P;01;02;C01;INDICE;103.850433897;M
1996-09;P;02;02;C01;INDICE;120.354758761;M
1996-09;P;03;02;C01;INDICE;94.700783755;M
1996-10;P;01;02;C01;INDICE;103.142928741;M
1996-10;P;02;02;C01;INDICE;123.167084328;M
1996-10;P;03;02;C01;INDICE;92.596188037;M
1996-11;P;01;02;C01;INDICE;103.155726378;M
1996-11;P;02;02;C01;INDICE;124.73497513;M
1996-11;P;03;02;C01;INDICE;91.964354486;M
1996-12;P;01;02;C01;INDICE;104.033010289;M
1996-12;P;02;02;C01;INDICE;127.074277946;M
1996-12;P;03;02;C01;INDICE;94.013630045;M
1997-01;P;01;02;C01;INDICE;103.257280915;M
1997-01;P;02;02;C01;INDICE;124.870326588;M
1997-01;P;03;02;C01;INDICE;92.831878707;M
1997-02;P;01;02;C01;INDICE;103.03567039;M
1997-02;P;02;02;C01;INDICE;124.190773715;M
