TEMPORAL;OBS_STATUS;TIPOVENTAS;TIPOSERIES;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
1993-01;P;01;03;;INDICE;122.188524949;M
1993-01;P;02;03;;INDICE;123.530019262;M
1993-01;P;03;03;;INDICE;120.626737779;M
1993-02;P;01;03;;INDICE;89.724345606;M
1993-02;P;02;03;;INDICE;113.809448823;M
1993-02;P;03;03;;INDICE;76.896083895;M
1993-03;P;01;03;;INDICE;100.036706581;M
1993-03;P;02;03;;INDICE;135.449124123;M
1993-03;P;03;03;;INDICE;80.368509267;M
1993-04;P;01;03;;INDICE;98.424777132;M
1993-04;P;02;03;;INDICE;135.265363872;M
1993-04;P;03;03;;INDICE;79.591087873;M
1993-05;P;01;03;;INDICE;101.057371861;M
1993-05;P;02;03;;INDICE;137.979336959;M
1993-05;P;03;03;;INDICE;81.018512709;M
1993-06;P;01;03;;INDICE;102.164410418;M
1993-06;P;02;03;;INDICE;129.093572563;M
1993-06;P;03;03;;INDICE;87.688484224;M
1993-07;P;01;03;;INDICE;115.302533286;M
1993-07;P;02;03;;INDICE;143.201499898;M
1993-07;P;03;03;;INDICE;99.375218986;M
1993-08;P;01;03;;INDICE;104.736634019;M
1993-08;P;02;03;;INDICE;145.495063176;M
1993-08;P;03;03;;INDICE;83.848032716;M
1993-09;P;01;03;;INDICE;109.838808911;M
1993-09;P;02;03;;INDICE;141.44444773;M
1993-09;P;03;03;;INDICE;92.792252638;M
1993-10;P;01;03;;INDICE;117.375507018;M
1993-10;P;02;03;;INDICE;154.47990835;M
1993-10;P;03;03;;INDICE;97.567079215;M
1993-11;P;01;03;;INDICE;107.260273533;M
1993-11;P;02;03;;INDICE;144.712598572;M
1993-11;P;03;03;;INDICE;87.127265066;M
1993-12;P;01;03;;INDICE;170.899479532;M
1993-12;P;02;03;;INDICE;229.389774046;M
1993-12;P;03;03;;INDICE;139.858257415;M
1994-01;P;01;03;;INDICE;127.474688325;M
1994-01;P;02;03;;INDICE;124.525115653;M
1994-01;P;03;03;;INDICE;127.517060295;M
1994-02;P;01;03;;INDICE;93.548222007;M
1994-02;P;02;03;;INDICE;120.402793718;M
1994-02;P;03;03;;INDICE;79.306032297;M
1994-03;P;01;03;;INDICE;106.301193118;M
1994-03;P;02;03;;INDICE;141.704886949;M
1994-03;P;03;03;;INDICE;87.587514594;M
1994-04;P;01;03;;INDICE;95.267109901;M
1994-04;P;02;03;;INDICE;129.92991742;M
1994-04;P;03;03;;INDICE;76.233031444;M
1994-05;P;01;03;;INDICE;100.032180402;M
1994-05;P;02;03;;INDICE;129.811073527;M
1994-05;P;03;03;;INDICE;84.545327431;M
1994-06;P;01;03;;INDICE;103.710956507;M
1994-06;P;02;03;;INDICE;127.655725809;M
1994-06;P;03;03;;INDICE;90.565802845;M
1994-07;P;01;03;;INDICE;117.665011856;M
1994-07;P;02;03;;INDICE;143.839052881;M
1994-07;P;03;03;;INDICE;103.439034712;M
1994-08;P;01;03;;INDICE;106.135014535;M
1994-08;P;02;03;;INDICE;147.819147111;M
1994-08;P;03;03;;INDICE;83.80604988;M
1994-09;P;01;03;;INDICE;109.34694111;M
1994-09;P;02;03;;INDICE;135.800505691;M
1994-09;P;03;03;;INDICE;95.139536698;M
1994-10;P;01;03;;INDICE;109.260008937;M
1994-10;P;02;03;;INDICE;140.404157246;M
1994-10;P;03;03;;INDICE;92.089595468;M
1994-11;P;01;03;;INDICE;99.872497117;M
1994-11;P;02;03;;INDICE;131.493213831;M
1994-11;P;03;03;;INDICE;83.03985279;M
1994-12;P;01;03;;INDICE;167.111836581;M
1994-12;P;02;03;;INDICE;214.263984453;M
1994-12;P;03;03;;INDICE;139.793845985;M
1995-01;P;01;03;;INDICE;123.27700635;M
1995-01;P;02;03;;INDICE;131.156454401;M
1995-01;P;03;03;;INDICE;118.725001716;M
1995-02;P;01;03;;INDICE;84.199628281;M
1995-02;P;02;03;;INDICE;108.023937176;M
1995-02;P;03;03;;INDICE;71.574624227;M
1995-03;P;01;03;;INDICE;98.227121548;M
1995-03;P;02;03;;INDICE;140.261273204;M
1995-03;P;03;03;;INDICE;75.645977416;M
1995-04;P;01;03;;INDICE;98.890753934;M
1995-04;P;02;03;;INDICE;138.416910768;M
1995-04;P;03;03;;INDICE;78.49072897;M
1995-05;P;01;03;;INDICE;99.102459512;M
1995-05;P;02;03;;INDICE;127.423757007;M
1995-05;P;03;03;;INDICE;83.732650437;M
1995-06;P;01;03;;INDICE;99.708842547;M
1995-06;P;02;03;;INDICE;128.478391046;M
1995-06;P;03;03;;INDICE;84.459917639;M
1995-07;P;01;03;;INDICE;121.527776445;M
1995-07;P;02;03;;INDICE;142.216886976;M
1995-07;P;03;03;;INDICE;110.598488522;M
1995-08;P;01;03;;INDICE;107.567776784;M
1995-08;P;02;03;;INDICE;140.668021923;M
1995-08;P;03;03;;INDICE;89.936296792;M
1995-09;P;01;03;;INDICE;110.972747361;M
1995-09;P;02;03;;INDICE;136.938964099;M
1995-09;P;03;03;;INDICE;96.56467735;M
1995-10;P;01;03;;INDICE;103.096106604;M
1995-10;P;02;03;;INDICE;133.532081891;M
1995-10;P;03;03;;INDICE;87.310039811;M
1995-11;P;01;03;;INDICE;105.013728278;M
1995-11;P;02;03;;INDICE;131.569866889;M
1995-11;P;03;03;;INDICE;90.871633861;M
1995-12;P;01;03;;INDICE;169.064183296;M
1995-12;P;02;03;;INDICE;214.692149975;M
1995-12;P;03;03;;INDICE;144.469323742;M
1996-01;P;01;03;;INDICE;116.291809266;M
1996-01;P;02;03;;INDICE;112.779392601;M
1996-01;P;03;03;;INDICE;119.67391137;M
1996-02;P;01;03;;INDICE;86.543246188;M
1996-02;P;02;03;;INDICE;108.518141967;M
1996-02;P;03;03;;INDICE;74.283333196;M
1996-03;P;01;03;;INDICE;98.490735388;M
1996-03;P;02;03;;INDICE;126.713185895;M
1996-03;P;03;03;;INDICE;82.911656956;M
1996-04;P;01;03;;INDICE;89.607122071;M
1996-04;P;02;03;;INDICE;115.475512334;M
1996-04;P;03;03;;INDICE;76.239680917;M
1996-05;P;01;03;;INDICE;94.421951503;M
1996-05;P;02;03;;INDICE;119.447731532;M
1996-05;P;03;03;;INDICE;81.261034859;M
1996-06;P;01;03;;INDICE;95.904622989;M
1996-06;P;02;03;;INDICE;116.344224952;M
1996-06;P;03;03;;INDICE;85.182311587;M
1996-07;P;01;03;;INDICE;110.236333072;M
1996-07;P;02;03;;INDICE;128.206370814;M
1996-07;P;03;03;;INDICE;101.030452669;M
1996-08;P;01;03;;INDICE;97.292919825;M
1996-08;P;02;03;;INDICE;125.095168217;M
1996-08;P;03;03;;INDICE;81.881684903;M
1996-09;P;01;03;;INDICE;102.218773618;M
1996-09;P;02;03;;INDICE;116.419365281;M
1996-09;P;03;03;;INDICE;95.3895894;M
1996-10;P;01;03;;INDICE;98.472499791;M
1996-10;P;02;03;;INDICE;121.432387984;M
1996-10;P;03;03;;INDICE;86.535455901;M
1996-11;P;01;03;;INDICE;99.29605223;M
1996-11;P;02;03;;INDICE;120.797609044;M
1996-11;P;03;03;;INDICE;87.695577902;M
1996-12;P;01;03;;INDICE;165.82215483;M
1996-12;P;02;03;;INDICE;205.600862768;M
1996-12;P;03;03;;INDICE;146.482224676;M
1997-01;P;01;03;;INDICE;114.506349636;M
1997-01;P;02;03;;INDICE;106.265090667;M
1997-01;P;03;03;;INDICE;119.416512344;M
1997-02;P;01;03;;INDICE;79.350422245;M
1997-02;P;02;03;;INDICE;99.814925784;M
1997-02;P;03;03;;INDICE;68.724279163;M
1997-03;P;01;03;;INDICE;95.15329174;M
1997-03;P;02;03;;INDICE;118.490007148;M
1997-03;P;03;03;;INDICE;83.171563058;M
1997-04;P;01;03;;INDICE;93.557060535;M
1997-04;P;02;03;;INDICE;118.497453764;M
1997-04;P;03;03;;INDICE;79.822510507;M
1997-05;P;01;03;;INDICE;93.432855319;M
1997-05;P;02;03;;INDICE;112.589087132;M
1997-05;P;03;03;;INDICE;83.153941928;M
1997-06;P;01;03;;INDICE;92.70130207;M
1997-06;P;02;03;;INDICE;110.611706235;M
1997-06;P;03;03;;INDICE;83.401013595;M
1997-07;P;01;03;;INDICE;114.226388057;M
1997-07;P;02;03;;INDICE;124.304623287;M
1997-07;P;03;03;;INDICE;109.289283449;M
1997-08;P;01;03;;INDICE;102.972641329;M
1997-08;P;02;03;;INDICE;125.065208762;M
1997-08;P;03;03;;INDICE;91.585024554;M
1997-09;P;01;03;;INDICE;102.073311852;M
1997-09;P;02;03;;INDICE;116.093577691;M
1997-09;P;03;03;;INDICE;94.699641009;M
1997-10;P;01;03;;INDICE;99.982856932;M
1997-10;P;02;03;;INDICE;118.005325985;M
1997-10;P;03;03;;INDICE;90.729563097;M
1997-11;P;01;03;;INDICE;105.422094537;M
1997-11;P;02;03;;INDICE;120.754597964;M
1997-11;P;03;03;;INDICE;97.452251926;M
1997-12;P;01;03;;INDICE;170.549840982;M
1997-12;P;02;03;;INDICE;202.436104562;M
1997-12;P;03;03;;INDICE;153.853585654;M
1998-01;P;01;03;;INDICE;119.198785897;M
1998-01;P;02;03;;INDICE;105.78632874;M
1998-01;P;03;03;;INDICE;126.655345562;M
1998-02;P;01;03;;INDICE;83.379364573;M
1998-02;P;02;03;;INDICE;97.106308421;M
1998-02;P;03;03;;INDICE;76.382287789;M
1998-03;P;01;03;;INDICE;97.383805101;M
1998-03;P;02;03;;INDICE;117.617191133;M
1998-03;P;03;03;;INDICE;86.417013246;M
1998-04;P;01;03;;INDICE;98.663328199;M
1998-04;P;02;03;;INDICE;117.38071329;M
1998-04;P;03;03;;INDICE;89.47704443;M
1998-05;P;01;03;;INDICE;96.856851627;M
1998-05;P;02;03;;INDICE;112.221180576;M
1998-05;P;03;03;;INDICE;89.12614319;M
1998-06;P;01;03;;INDICE;99.419517504;M
1998-06;P;02;03;;INDICE;113.023880732;M
1998-06;P;03;03;;INDICE;92.240759644;M
1998-07;P;01;03;;INDICE;123.45687421;M
1998-07;P;02;03;;INDICE;129.130765495;M
1998-07;P;03;03;;INDICE;120.933434181;M
1998-08;P;01;03;;INDICE;106.943970233;M
1998-08;P;02;03;;INDICE;125.290228851;M
1998-08;P;03;03;;INDICE;97.019591437;M
1998-09;P;01;03;;INDICE;106.398418673;M
1998-09;P;02;03;;INDICE;116.513275025;M
1998-09;P;03;03;;INDICE;101.377480475;M
1998-10;P;01;03;;INDICE;109.138492778;M
1998-10;P;02;03;;INDICE;119.815586367;M
1998-10;P;03;03;;INDICE;103.363255427;M
1998-11;P;01;03;;INDICE;107.514299613;M
1998-11;P;02;03;;INDICE;116.564556757;M
1998-11;P;03;03;;INDICE;103.108764229;M
1998-12;P;01;03;;INDICE;173.442190122;M
1998-12;P;02;03;;INDICE;196.837503184;M
1998-12;P;03;03;;INDICE;161.855518381;M
1999-01;P;01;03;;INDICE;126.362219696;M
1999-01;P;02;03;;INDICE;101.287350013;M
1999-01;P;03;03;;INDICE;140.542453504;M
1999-02;P;01;03;;INDICE;88.107943594;M
1999-02;P;02;03;;INDICE;96.714271698;M
1999-02;P;03;03;;INDICE;83.881264287;M
1999-03;P;01;03;;INDICE;100.31455692;M
1999-03;P;02;03;;INDICE;115.662598467;M
1999-03;P;03;03;;INDICE;91.855522207;M
1999-04;P;01;03;;INDICE;94.105921763;M
1999-04;P;02;03;;INDICE;102.403024209;M
1999-04;P;03;03;;INDICE;90.454205541;M
1999-05;P;01;03;;INDICE;102.589334962;M
1999-05;P;02;03;;INDICE;108.363570725;M
1999-05;P;03;03;;INDICE;99.429539838;M
1999-06;P;01;03;;INDICE;101.356209412;M
1999-06;P;02;03;;INDICE;108.542189428;M
1999-06;P;03;03;;INDICE;97.878773658;M
1999-07;P;01;03;;INDICE;129.186702807;M
1999-07;P;02;03;;INDICE;124.465283181;M
1999-07;P;03;03;;INDICE;131.683207456;M
1999-08;P;01;03;;INDICE;113.759534802;M
1999-08;P;02;03;;INDICE;127.423325489;M
1999-08;P;03;03;;INDICE;107.250222017;M
1999-09;P;01;03;;INDICE;111.937718986;M
1999-09;P;02;03;;INDICE;115.47311041;M
1999-09;P;03;03;;INDICE;110.261320239;M
1999-10;P;01;03;;INDICE;111.549222154;M
1999-10;P;02;03;;INDICE;117.166600188;M
1999-10;P;03;03;;INDICE;109.090791877;M
1999-11;P;01;03;;INDICE;113.786195088;M
1999-11;P;02;03;;INDICE;114.157307302;M
1999-11;P;03;03;;INDICE;113.771263131;M
1999-12;P;01;03;;INDICE;179.717314388;M
1999-12;P;02;03;;INDICE;195.907048549;M
1999-12;P;03;03;;INDICE;171.750315704;M
2000-01;P;01;03;;INDICE;131.913762507;M
2000-01;P;02;03;;INDICE;98.570121796;M
2000-01;P;03;03;;INDICE;149.928357106;M
2000-02;P;01;03;;INDICE;89.098018636;M
2000-02;P;02;03;;INDICE;93.88766959;M
2000-02;P;03;03;;INDICE;86.550766459;M
2000-03;P;01;03;;INDICE;101.640866096;M
2000-03;P;02;03;;INDICE;110.51652053;M
2000-03;P;03;03;;INDICE;96.552585631;M
2000-04;P;01;03;;INDICE;105.862995448;M
2000-04;P;02;03;;INDICE;112.979885126;M
2000-04;P;03;03;;INDICE;103.042842888;M
2000-05;P;01;03;;INDICE;106.183265341;M
2000-05;P;02;03;;INDICE;106.376188732;M
2000-05;P;03;03;;INDICE;106.143947247;M
2000-06;P;01;03;;INDICE;107.827040711;M
2000-06;P;02;03;;INDICE;109.925894777;M
2000-06;P;03;03;;INDICE;107.27491139;M
2000-07;P;01;03;;INDICE;132.99940565;M
2000-07;P;02;03;;INDICE;123.41864426;M
2000-07;P;03;03;;INDICE;138.184446113;M
2000-08;P;01;03;;INDICE;118.725775747;M
2000-08;P;02;03;;INDICE;124.519147086;M
2000-08;P;03;03;;INDICE;116.115431713;M
2000-09;P;01;03;;INDICE;112.528835865;M
2000-09;P;02;03;;INDICE;113.731485438;M
2000-09;P;03;03;;INDICE;111.954094046;M
2000-10;P;01;03;;INDICE;114.205854761;M
2000-10;P;02;03;;INDICE;112.830185197;M
2000-10;P;03;03;;INDICE;115.581058877;M
2000-11;P;01;03;;INDICE;116.039037524;M
2000-11;P;02;03;;INDICE;111.106880086;M
2000-11;P;03;03;;INDICE;118.934687836;M
2000-12;P;01;03;;INDICE;181.75414536;M
2000-12;P;02;03;;INDICE;192.179943637;M
2000-12;P;03;03;;INDICE;176.593813602;M
2001-01;P;01;03;;INDICE;134.373798938;M
2001-01;P;02;03;;INDICE;98.680486303;M
2001-01;P;03;03;;INDICE;155.015743513;M
2001-02;P;01;03;;INDICE;92.58320588;M
2001-02;P;02;03;;INDICE;95.348083116;M
2001-02;P;03;03;;INDICE;91.306841342;M
2001-03;P;01;03;;INDICE;107.829077353;M
2001-03;P;02;03;;INDICE;114.936186168;M
2001-03;P;03;03;;INDICE;102.947325246;M
2001-04;P;01;03;;INDICE;108.666899917;M
2001-04;P;02;03;;INDICE;109.138757963;M
2001-04;P;03;03;;INDICE;109.396649907;M
2001-05;P;01;03;;INDICE;109.075614482;M
2001-05;P;02;03;;INDICE;108.65630398;M
