D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
C01;2013;Doctorados STEM. Hombres;0.184841069;A
C01;2014;Doctorados STEM. Hombres;0.203170487;A
C01;2015;Doctorados STEM. Hombres;0.182023134;A
C01;2016;Doctorados STEM. Hombres;0.304915271;A
C01;2017;Doctorados STEM. Hombres;0.290987562;A
C01;2018;Doctorados STEM. Hombres;0.162999293;A
C01;2019;Doctorados STEM. Hombres;0.209407585;A
C01;2020;Doctorados STEM. Hombres;0.240297229;A
108;2013;Doctorados STEM. Hombres;0.8;A
108;2014;Doctorados STEM. Hombres;0.9;A
108;2015;Doctorados STEM. Hombres;0.5;A
108;2016;Doctorados STEM. Hombres;0.6;A
108;2017;Doctorados STEM. Hombres;0.8;A
108;2018;Doctorados STEM. Hombres;0.7;A
108;2019;Doctorados STEM. Hombres;0.412598716;A
108;2020;Doctorados STEM. Hombres;0.427191241;A
UE27NRU;2013;Doctorados STEM. Hombres;;A
UE27NRU;2014;Doctorados STEM. Hombres;;A
UE27NRU;2015;Doctorados STEM. Hombres;1.1;A
UE27NRU;2016;Doctorados STEM. Hombres;1.0;A
UE27NRU;2017;Doctorados STEM. Hombres;1.1;A
UE27NRU;2018;Doctorados STEM. Hombres;1.0;A
UE27NRU;2019;Doctorados STEM. Hombres;1.0;A
UE27NRU;2020;Doctorados STEM. Hombres;0.9;A
UE28;2013;Doctorados STEM. Hombres;;A
UE28;2014;Doctorados STEM. Hombres;;A
UE28;2015;Doctorados STEM. Hombres;1.2;A
UE28;2016;Doctorados STEM. Hombres;1.1;A
UE28;2017;Doctorados STEM. Hombres;1.2;A
UE28;2018;Doctorados STEM. Hombres;1.1;A
UE28;2019;Doctorados STEM. Hombres;1.1;A
UE28;2020;Doctorados STEM. Hombres;;A
103;2013;Doctorados STEM. Hombres;1.1;A
103;2014;Doctorados STEM. Hombres;1.1;A
103;2015;Doctorados STEM. Hombres;0.6;A
103;2016;Doctorados STEM. Hombres;0.6;A
103;2017;Doctorados STEM. Hombres;0.5;A
103;2018;Doctorados STEM. Hombres;0.6;A
103;2019;Doctorados STEM. Hombres;0.6;A
