TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;7.820567761;A
;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;8.565584383;A
;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.084834208;A
;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;8.685255978;A
;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;8.797773947;A
;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;8.61665061;A
;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;8.799349518;A
;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.025016735;A
;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;8.864432774;A
;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.428921124;A
;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.25521423;A
;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.13692519;A
;2020;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.00842606;A
;2021;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.11475663;A
108;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.5;A
108;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.7;A
108;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.8;A
108;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.8;A
108;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.2;A
108;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.4;A
108;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.3;A
108;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.4;A
108;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.3;A
108;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.5;A
108;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.2;A
108;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.3;A
