ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
241;TOTAL;(TOTAL) Lugar de nacimiento (RE);Lugar de nacimiento (RE);;0
46351;00;(00) TOTAL;TOTAL;;1
45121;108;(108) España;España;00;2
46350;66;(66) Extranjero;Extranjero;00;3
46356;NP000;(NP000) No procede;No procede;00;4
46352;NC000;(NC000) No consta;No consta;00;5
45981;C01;(C01) Andalucía;Andalucía;108;6
45984;C02;(C02) Resto de España;Resto de España;108;7
45230;04;(04) Almería;Almería;C01;35
45276;11;(11) Cádiz;Cádiz;C01;36
45354;14;(14) Córdoba;Córdoba;C01;37
45576;18;(18) Granada;Granada;C01;38
45657;21;(21) Huelva;Huelva;C01;39
45765;23;(23) Jaén;Jaén;C01;40
45873;29;(29) Málaga;Málaga;C01;41
45980;41;(41) Sevilla;Sevilla;C01;42
45983;P01NC;(P01NC) No consta provincia;No consta provincia;C01;43
45122;04001;(04001) Abla;Abla;04;1
45123;04002;(04002) Abrucena;Abrucena;04;2
45124;04003;(04003) Adra;Adra;04;3
45125;04004;(04004) Albanchez;Albanchez;04;4
45126;04005;(04005) Alboloduy;Alboloduy;04;5
45127;04006;(04006) Albox;Albox;04;6
45128;04007;(04007) Alcolea;Alcolea;04;7
45129;04008;(04008) Alcóntar;Alcóntar;04;8
45130;04009;(04009) Alcudia de Monteagud;Alcudia de Monteagud;04;9
45131;04010;(04010) Alhabia;Alhabia;04;10
45132;04011;(04011) Alhama de Almería;Alhama de Almería;04;11
45133;04012;(04012) Alicún;Alicún;04;12
45134;04013;(04013) Almería (capital);Almería (capital);04;13
45135;04014;(04014) Almócita;Almócita;04;14
45136;04015;(04015) Alsodux;Alsodux;04;15
45137;04016;(04016) Antas;Antas;04;16
45138;04017;(04017) Arboleas;Arboleas;04;17
45139;04018;(04018) Armuña de Almanzora;Armuña de Almanzora;04;18
45140;04019;(04019) Bacares;Bacares;04;19
45141;04020;(04020) Bayárcal;Bayárcal;04;20
45142;04021;(04021) Bayarque;Bayarque;04;21
45143;04022;(04022) Bédar;Bédar;04;22
45144;04023;(04023) Beires;Beires;04;23
45145;04024;(04024) Benahadux;Benahadux;04;24
45146;04025;(04025) Benínar;Benínar;04;25
45147;04026;(04026) Benitagla;Benitagla;04;26
45148;04027;(04027) Benizalón;Benizalón;04;27
45149;04028;(04028) Bentarique;Bentarique;04;28
45150;04029;(04029) Berja;Berja;04;29
45151;04030;(04030) Canjáyar;Canjáyar;04;30
45152;04031;(04031) Cantoria;Cantoria;04;31
45153;04032;(04032) Carboneras;Carboneras;04;32
45154;04033;(04033) Castro de Filabres;Castro de Filabres;04;33
45157;04036;(04036) Chercos;Chercos;04;34
45158;04037;(04037) Chirivel;Chirivel;04;35
45155;04034;(04034) Cóbdar;Cóbdar;04;36
45156;04035;(04035) Cuevas del Almanzora;Cuevas del Almanzora;04;37
45159;04038;(04038) Dalías;Dalías;04;38
45160;04039;(04039) Darrical;Darrical;04;39
45161;04040;(04040) Doña María Ocaña;Doña María Ocaña;04;40
45227;04902;(04902) El Ejido;El Ejido;04;41
45162;04041;(04041) Enix;Enix;04;42
45163;04042;(04042) Escúllar;Escúllar;04;43
45164;04043;(04043) Felix;Felix;04;44
45165;04044;(04044) Fines;Fines;04;45
45166;04045;(04045) Fiñana;Fiñana;04;46
45167;04046;(04046) Fondón;Fondón;04;47
45168;04047;(04047) Gádor;Gádor;04;48
45170;04049;(04049) Garrucha;Garrucha;04;49
45171;04050;(04050) Gérgal;Gérgal;04;50
45172;04051;(04051) Huécija;Huécija;04;51
45173;04052;(04052) Huércal de Almería;Huércal de Almería;04;52
45174;04053;(04053) Huércal-Overa;Huércal-Overa;04;53
45175;04054;(04054) Illar;Illar;04;54
45176;04055;(04055) Instinción;Instinción;04;55
45228;04903;(04903) La Mojonera;La Mojonera;04;56
45177;04056;(04056) Laroya;Laroya;04;57
45226;04901;(04901) Las Tres Villas;Las Tres Villas;04;58
45178;04057;(04057) Láujar de Andarax;Láujar de Andarax;04;59
45179;04058;(04058) Líjar;Líjar;04;60
45169;04048;(04048) Los Gallardos;Los Gallardos;04;61
45180;04059;(04059) Lubrín;Lubrín;04;62
45181;04060;(04060) Lucainena de las Torres;Lucainena de las Torres;04;63
45182;04061;(04061) Lúcar;Lúcar;04;64
45183;04062;(04062) Macael;Macael;04;65
45184;04063;(04063) María;María;04;66
45185;04064;(04064) Mojácar;Mojácar;04;67
45186;04065;(04065) Nacimiento;Nacimiento;04;68
45187;04066;(04066) Níjar;Níjar;04;69
45225;04504;(04504) Ocaña;Ocaña;04;70
45188;04067;(04067) Ohanes;Ohanes;04;71
45189;04068;(04068) Olula de Castro;Olula de Castro;04;72
45190;04069;(04069) Olula del Río;Olula del Río;04;73
45191;04070;(04070) Oria;Oria;04;74
45192;04071;(04071) Padules;Padules;04;75
45193;04072;(04072) Partaloa;Partaloa;04;76
45194;04073;(04073) Paterna del Río;Paterna del Río;04;77
45195;04074;(04074) Pechina;Pechina;04;78
45196;04075;(04075) Pulpí;Pulpí;04;79
45197;04076;(04076) Purchena;Purchena;04;80
45198;04077;(04077) Rágol;Rágol;04;81
45199;04078;(04078) Rioja;Rioja;04;82
45200;04079;(04079) Roquetas de Mar;Roquetas de Mar;04;83
45201;04080;(04080) Santa Cruz de Marchena;Santa Cruz de Marchena;04;84
45202;04081;(04081) Santa Fe de Mondújar;Santa Fe de Mondújar;04;85
45203;04082;(04082) Senés;Senés;04;86
45204;04083;(04083) Serón;Serón;04;87
45205;04084;(04084) Sierro;Sierro;04;88
45206;04085;(04085) Somontín;Somontín;04;89
45207;04086;(04086) Sorbas;Sorbas;04;90
45208;04087;(04087) Suflí;Suflí;04;91
45209;04088;(04088) Tabernas;Tabernas;04;92
45210;04089;(04089) Taberno;Taberno;04;93
45211;04090;(04090) Tahal;Tahal;04;94
45212;04091;(04091) Terque;Terque;04;95
45213;04092;(04092) Tíjola;Tíjola;04;96
45214;04093;(04093) Turre;Turre;04;97
45215;04094;(04094) Turrillas;Turrillas;04;98
45216;04095;(04095) Uleila del Campo;Uleila del Campo;04;99
45217;04096;(04096) Urrácal;Urrácal;04;100
45218;04097;(04097) Velefique;Velefique;04;101
45219;04098;(04098) Vélez-Blanco;Vélez-Blanco;04;102
45220;04099;(04099) Vélez-Rubio;Vélez-Rubio;04;103
45221;04100;(04100) Vera;Vera;04;104
45222;04101;(04101) Viator;Viator;04;105
45223;04102;(04102) Vícar;Vícar;04;106
45224;04103;(04103) Zurgena;Zurgena;04;107
45229;04NC;(04NC) Municipio de Almería sin especificar;Municipio de Almería sin especificar;04;108
45231;11001;(11001) Alcalá de los Gazules;Alcalá de los Gazules;11;1
45232;11002;(11002) Alcalá del Valle;Alcalá del Valle;11;2
45233;11003;(11003) Algar;Algar;11;3
45234;11004;(11004) Algeciras;Algeciras;11;4
45235;11005;(11005) Algodonales;Algodonales;11;5
45236;11006;(11006) Arcos de la Frontera;Arcos de la Frontera;11;6
45237;11007;(11007) Barbate;Barbate;11;7
45273;11901;(11901) Benalup-Casas Viejas;Benalup-Casas Viejas;11;8
45239;11009;(11009) Benaocaz;Benaocaz;11;9
45240;11010;(11010) Bornos;Bornos;11;10
45242;11012;(11012) Cádiz (capital);Cádiz (capital);11;11
45243;11013;(11013) Castellar de la Frontera;Castellar de la Frontera;11;12
45245;11015;(11015) Chiclana de la Frontera;Chiclana de la Frontera;11;13
45246;11016;(11016) Chipiona;Chipiona;11;14
45244;11014;(11014) Conil de la Frontera;Conil de la Frontera;11;15
45241;11011;(11011) El Bosque;El Bosque;11;16
45248;11018;(11018) El Gastor;El Gastor;11;17
45257;11027;(11027) El Puerto de Santa María;El Puerto de Santa María;11;18
45247;11017;(11017) Espera;Espera;11;19
45249;11019;(11019) Grazalema;Grazalema;11;20
45250;11020;(11020) Jerez de la Frontera;Jerez de la Frontera;11;21
45251;11021;(11021) Jimena de la Frontera;Jimena de la Frontera;11;22
45252;11022;(11022) La Línea de la Concepción;La Línea de la Concepción;11;23
45238;11008;(11008) Los Barrios;Los Barrios;11;24
45253;11023;(11023) Medina Sidonia;Medina Sidonia;11;25
45254;11024;(11024) Olvera;Olvera;11;26
45255;11025;(11025) Paterna de Rivera;Paterna de Rivera;11;27
45256;11026;(11026) Prado del Rey;Prado del Rey;11;28
45258;11028;(11028) Puerto Real;Puerto Real;11;29
45259;11029;(11029) Puerto Serrano;Puerto Serrano;11;30
45260;11030;(11030) Rota;Rota;11;31
45261;11031;(11031) San Fernando;San Fernando;11;32
45274;11902;(11902) San José del Valle;San José del Valle;11;33
