ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
21;TOTAL;(TOTAL) País de residencia;País de residencia;;0
3675;66;(66) Extranjero;Extranjero;;1
3683;NP000;(NP000) No procede;No procede;;2
3677;NC000;(NC000) No consta;No consta;;3
3403;6601;(6601) Europa;Europa;66;4
3481;6602;(6602) África;África;66;5
3545;6603;(6603) América;América;66;6
3614;6604;(6604) Asia;Asia;66;7
3664;6605;(6605) Oceanía;Oceanía;66;8
3669;66555;(66555) Apátridas;Apátridas;66;9
3674;66NC00;(66NC00) No consta;No consta;66;10
3375;0101;(0101) Unión Europea;Unión Europea;6601;13
3402;0102;(0102) Resto de Países Europeos;Resto de Países Europeos;6601;14
3363;126;(126) Alemania;Alemania;0101;50
3346;102;(102) Austria;Austria;0101;51
3347;103;(103) Bélgica;Bélgica;0101;52
3350;107;(107) Dinamarca;Dinamarca;0101;53
3351;109;(109) Finlandia;Finlandia;0101;54
3352;110;(110) Francia;Francia;0101;55
3353;111;(111) Grecia;Grecia;0101;56
3359;121;(121) Países Bajos;Países Bajos;0101;57
3355;113;(113) Irlanda;Irlanda;0101;58
3356;115;(115) Italia;Italia;0101;59
3357;117;(117) Luxemburgo;Luxemburgo;0101;60
3361;123;(123) Portugal;Portugal;0101;61
3362;125;(125) Reino Unido;Reino Unido;0101;62
3365;131;(131) Suecia;Suecia;0101;63
3348;104;(104) Bulgaria;Bulgaria;0101;64
3349;106;(106) Chipre;Chipre;0101;65
3371;146;(146) Croacia;Croacia;0101;66
3370;144;(144) Eslovaquia;Eslovaquia;0101;67
3372;147;(147) Eslovenia;Eslovenia;0101;68
3367;141;(141) Estonia;Estonia;0101;69
3354;112;(112) Hungría;Hungría;0101;70
3366;136;(136) Letonia;Letonia;0101;71
3368;142;(142) Lituania;Lituania;0101;72
3358;118;(118) Malta;Malta;0101;73
3360;122;(122) Polonia;Polonia;0101;74
3369;143;(143) República Checa;República Checa;0101;75
3364;128;(128) Rumanía;Rumanía;0101;76
3379;114;(114) Islandia;Islandia;0102;77
3382;120;(120) Noruega;Noruega;0102;78
3394;154;(154) Rusia;Rusia;0102;79
3386;132;(132) Suiza;Suiza;0102;80
3395;155;(155) Serbia y Montenegro;Serbia y Montenegro;0102;81
3377;101;(101) Albania;Albania;0102;82
