ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
24;TOTAL;(TOTAL) Edad 0-15-30-45-65-85+ (No simple);Edad 0-15-30-45-65-85+ (No simple);;0
4306;00;(00) TOTAL;TOTAL;;1
4172;000014;(000014) De 0 a 14 años;De 0 a 14 años;00;2
4191;015029;(015029) De 15 a 29 años;De 15 a 29 años;00;3
4210;030044;(030044) De 30 a 44 años;De 30 a 44 años;00;4
4235;045064;(045064) De 45 a 64 años;De 45 a 64 años;00;5
4313;NS00;(NS00) De 65 a 84 años;De 65 a 84 años;00;6
4305;065100;(065100) De 85 y más años;De 85 y más años;00;7
4310;NP00;(NP00) No procede;No procede;00;8
4307;NC00;(NC00) No consta;No consta;00;9
4159;000004;(000004) De 0 a 4 años;De 0 a 4 años;000014;10
4165;005009;(005009) De 5 a 9 años;De 5 a 9 años;000014;11
4171;010014;(010014) De 10 a 14 años;De 10 a 14 años;000014;12
4178;015019;(015019) De 15 a 19 años;De 15 a 19 años;015029;13
4184;020024;(020024) De 20 a 24 años;De 20 a 24 años;015029;14
4190;025029;(025029) De 25 a 29 años;De 25 a 29 años;015029;15
4197;030034;(030034) De 30 a 34 años;De 30 a 34 años;030044;16
4203;035039;(035039) De 35 a 39 años;De 35 a 39 años;030044;17
4209;040044;(040044) De 40 a 44 años;De 40 a 44 años;030044;18
4216;045049;(045049) De 45 a 49 años;De 45 a 49 años;045064;19
4222;050054;(050054) De 50 a 54 años;De 50 a 54 años;045064;20
4228;055059;(055059) De 55 a 59 años;De 55 a 59 años;045064;21
4234;060064;(060064) De 60 a 64 años;De 60 a 64 años;045064;22
4241;065069;(065069) De 65 a 69 años;De 65 a 69 años;NS00;33
4247;070074;(070074) De 70 a 74 años;De 70 a 74 años;NS00;34
4253;075079;(075079) De 75 a 79 años;De 75 a 79 años;NS00;35
4259;080084;(080084) De 80 a 84 años;De 80 a 84 años;NS00;36
4265;085089;(085089) De 85 a 89 años;De 85 a 89 años;065100;27
4271;090094;(090094) De 90 a 94 años;De 90 a 94 años;065100;28
4277;095099;(095099) De 95 a 99 años;De 95 a 99 años;065100;29
4304;100000;(100000) De 100 y más años;De 100 y más años;065100;30
4311;NP0;(NP0) No procede;No procede;NP00;31
4308;NC0;(NC0) No consta;No consta;NC00;32
