ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
21;TOTAL;(TOTAL) País de residencia;País de residencia;;0
3675;66;(66) Extranjero;Extranjero;;1
3683;NP000;(NP000) No procede;No procede;;2
3677;NC000;(NC000) No consta;No consta;;3
3403;6601;(6601) Europa;Europa;3675;4
3481;6602;(6602) África;África;3675;5
3545;6603;(6603) América;América;3675;6
3614;6604;(6604) Asia;Asia;3675;7
3664;6605;(6605) Oceanía;Oceanía;3675;8
3669;66555;(66555) Apátridas;Apátridas;3675;9
3674;66NC00;(66NC00) No consta;No consta;3675;10
3375;0101;(0101) Unión Europea;Unión Europea;3403;13
3402;0102;(0102) Resto de Países Europeos;Resto de Países Europeos;3403;14
3363;126;(126) Alemania;Alemania;3375;50
3346;102;(102) Austria;Austria;3375;51
3347;103;(103) Bélgica;Bélgica;3375;52
3350;107;(107) Dinamarca;Dinamarca;3375;53
3351;109;(109) Finlandia;Finlandia;3375;54
3352;110;(110) Francia;Francia;3375;55
3353;111;(111) Grecia;Grecia;3375;56
3359;121;(121) Países Bajos;Países Bajos;3375;57
3355;113;(113) Irlanda;Irlanda;3375;58
3356;115;(115) Italia;Italia;3375;59
3357;117;(117) Luxemburgo;Luxemburgo;3375;60
3361;123;(123) Portugal;Portugal;3375;61
3362;125;(125) Reino Unido;Reino Unido;3375;62
3365;131;(131) Suecia;Suecia;3375;63
3348;104;(104) Bulgaria;Bulgaria;3375;64
3349;106;(106) Chipre;Chipre;3375;65
3371;146;(146) Croacia;Croacia;3375;66
3370;144;(144) Eslovaquia;Eslovaquia;3375;67
3372;147;(147) Eslovenia;Eslovenia;3375;68
3367;141;(141) Estonia;Estonia;3375;69
3354;112;(112) Hungría;Hungría;3375;70
3366;136;(136) Letonia;Letonia;3375;71
3368;142;(142) Lituania;Lituania;3375;72
3358;118;(118) Malta;Malta;3375;73
3360;122;(122) Polonia;Polonia;3375;74
3369;143;(143) República Checa;República Checa;3375;75
3364;128;(128) Rumanía;Rumanía;3375;76
3379;114;(114) Islandia;Islandia;3402;77
3382;120;(120) Noruega;Noruega;3402;78
3394;154;(154) Rusia;Rusia;3402;79
3386;132;(132) Suiza;Suiza;3402;80
3395;155;(155) Serbia y Montenegro;Serbia y Montenegro;3402;81
3377;101;(101) Albania;Albania;3402;82
