ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
2548;Total;(Total) ECOICOP (2dígitos);ECOICOP (2dígitos);;0
215474;00;(00) Índice general;Índice general;;1
215340;01;(01) Grupo 1. Alimentos y bebidas no alcohólicas;Grupo 1. Alimentos y bebidas no alcohólicas;00;2
215347;02;(02) Grupo 2. Bebidas alcohólicas y tabaco;Grupo 2. Bebidas alcohólicas y tabaco;00;3
215353;03;(03) Grupo 3. Vestido y calzado;Grupo 3. Vestido y calzado;00;4
215372;04;(04) Grupo 4. Viviendas, agua, electricidad gas y otros combustibles;Grupo 4. Viviendas, agua, electricidad gas y otros combustibles;00;5
215387;05;(05) Grupo 5. Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Grupo 5. Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;00;6
215396;06;(06) Grupo 6. Sanidad;Grupo 6. Sanidad;00;7
215411;07;(07) Grupo 7. Transporte;Grupo 7. Transporte;00;8
215416;08;(08) Grupo 8. Comunicaciones;Grupo 8. Comunicaciones;00;9
215437;09;(09) Grupo 9. Ocio y cultura;Grupo 9. Ocio y cultura;00;10
215448;10;(10) Grupo 10. Enseñanza;Grupo 10. Enseñanza;00;11
215454;11;(11) Grupo 11. Restaurantes y hoteles;Grupo 11. Restaurantes y hoteles;00;12
215473;12;(12) Grupo 12. Otros bienes y servicios;Grupo 12. Otros bienes y servicios;00;13
