ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
1;TOTAL;(TOTAL) Mensual;Mensual;;0
181106;2070;(2070) 2070;2070;;2070
181087;2069;(2069) 2069;2069;;2069
181068;2068;(2068) 2068;2068;;2068
181049;2067;(2067) 2067;2067;;2067
181030;2066;(2066) 2066;2066;;2066
181011;2065;(2065) 2065;2065;;2065
180992;2064;(2064) 2064;2064;;2064
180973;2063;(2063) 2063;2063;;2063
180954;2062;(2062) 2062;2062;;2062
180935;2061;(2061) 2061;2061;;2061
180916;2060;(2060) 2060;2060;;2060
180897;2059;(2059) 2059;2059;;2059
180878;2058;(2058) 2058;2058;;2058
180859;2057;(2057) 2057;2057;;2057
180840;2056;(2056) 2056;2056;;2056
180821;2055;(2055) 2055;2055;;2055
180802;2054;(2054) 2054;2054;;2054
180783;2053;(2053) 2053;2053;;2053
180764;2052;(2052) 2052;2052;;2052
180745;2051;(2051) 2051;2051;;2051
180726;2050;(2050) 2050;2050;;2050
180707;2049;(2049) 2049;2049;;2049
180688;2048;(2048) 2048;2048;;2048
180669;2047;(2047) 2047;2047;;2047
180650;2046;(2046) 2046;2046;;2046
180631;2045;(2045) 2045;2045;;2045
180612;2044;(2044) 2044;2044;;2044
180593;2043;(2043) 2043;2043;;2043
180574;2042;(2042) 2042;2042;;2042
180555;2041;(2041) 2041;2041;;2041
180536;2040;(2040) 2040;2040;;2040
180517;2039;(2039) 2039;2039;;2039
180498;2038;(2038) 2038;2038;;2038
180479;2037;(2037) 2037;2037;;2037
180460;2036;(2036) 2036;2036;;2036
180441;2035;(2035) 2035;2035;;2035
180422;2034;(2034) 2034;2034;;2034
180403;2033;(2033) 2033;2033;;2033
180384;2032;(2032) 2032;2032;;2032
180365;2031;(2031) 2031;2031;;2031
180346;2030;(2030) 2030;2030;;2030
180327;2029;(2029) 2029;2029;;2029
180308;2028;(2028) 2028;2028;;2028
180289;2027;(2027) 2027;2027;;2027
180270;2026;(2026) 2026;2026;;2026
180251;2025;(2025) 2025;2025;;2025
180232;2024;(2024) 2024;2024;;2024
180213;2023;(2023) 2023;2023;;2023
180194;2022;(2022) 2022;2022;;2022
180175;2021;(2021) 2021;2021;;2021
180156;2020;(2020) 2020;2020;;2020
55536;2019;(2019) 2019;2019;;2019
55517;2018;(2018) 2018;2018;;2018
55498;2017;(2017) 2017;2017;;2017
2239;2016;(2016) 2016;2016;;2016
2204;2015;(2015) 2015;2015;;2015
